,경상남도 고성군,경상남도 고성군 고성읍,경상남도 고성군 삼산면,경상남도 고성군 하일면,경상남도 고성군 하이면,경상남도 고성군 상리면,경상남도 고성군 대가면,경상남도 고성군 영현면,경상남도 고성군 영오면,경상남도 고성군 개천면,경상남도 고성군 구만면,경상남도 고성군 회화면,경상남도 고성군 마암면,경상남도 고성군 동해면,경상남도 고성군 거류면
2021년01월_계_총인구수,"51,372","24,499","1,764","1,849","2,761","1,590","1,682",862,"1,443","1,123","1,019","3,607","1,753","3,096","4,324"
2021년01월_계_연령구간인구수,"51,372","24,499","1,764","1,849","2,761","1,590","1,682",862,"1,443","1,123","1,019","3,607","1,753","3,096","4,324"
2021년01월_계_0~9세,"2,547","1,850",39,27,100,23,36,14,37,25,27,143,22,66,138
2021년01월_계_10~19세,"4,157","2,700",85,102,182,66,65,27,55,70,35,286,51,143,290
2021년01월_계_20~29세,"3,903","2,257",81,87,256,79,83,44,105,67,50,258,83,176,277
2021년01월_계_30~39세,"3,826","2,378",88,90,188,61,74,32,75,43,40,238,69,159,291
2021년01월_계_40~49세,"6,333","3,731",170,141,301,134,128,50,131,73,68,417,161,281,547
2021년01월_계_50~59세,"9,136","4,347",300,292,490,281,298,118,265,182,177,637,356,581,812
2021년01월_계_60~69세,"9,798","3,767",461,456,588,362,408,209,316,263,245,792,394,719,818
2021년01월_계_70~79세,"6,758","2,207",316,384,374,311,303,202,225,184,200,510,342,563,637
2021년01월_계_80~89세,"4,259","1,107",196,233,242,235,235,146,198,182,148,284,238,355,460
2021년01월_계_90~99세,635,146,27,37,39,37,52,20,35,33,27,42,36,52,52
2021년01월_계_100세 이상,20,9,1,0,1,1,0,0,1,1,2,0,1,1,2
2021년01월_남_총인구수,"25,763","12,296",901,898,"1,443",781,857,376,706,549,509,"1,762",876,"1,596","2,213"
2021년01월_남_연령구간인구수,"25,763","12,296",901,898,"1,443",781,857,376,706,549,509,"1,762",876,"1,596","2,213"
2021년01월_남_0~9세,"1,285",953,19,13,46,11,16,8,12,13,11,69,11,31,72
2021년01월_남_10~19세,"2,280","1,495",49,58,94,39,38,13,30,36,14,148,27,83,156
2021년01월_남_20~29세,"2,284","1,301",50,51,165,47,45,22,69,41,36,135,50,98,174
2021년01월_남_30~39세,"2,104","1,228",61,53,118,30,51,15,46,26,26,122,46,108,174
2021년01월_남_40~49세,"3,518","1,948",101,93,177,84,74,27,83,47,39,223,92,197,333
2021년01월_남_50~59세,"4,977","2,248",174,165,272,143,182,63,147,104,109,332,215,340,483
2021년01월_남_60~69세,"4,904","1,810",241,207,306,200,218,99,166,132,141,409,212,369,394
2021년01월_남_70~79세,"2,977",940,143,174,175,138,148,85,91,86,82,235,147,261,272
2021년01월_남_80~89세,"1,313",345,59,75,81,81,68,42,59,57,44,84,72,99,147
2021년01월_남_90~99세,117,25,4,9,9,8,17,2,3,7,6,5,4,10,8
2021년01월_남_100세 이상,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0
2021년01월_여_총인구수,"25,609","12,203",863,951,"1,318",809,825,486,737,574,510,"1,845",877,"1,500","2,111"
2021년01월_여_연령구간인구수,"25,609","12,203",863,951,"1,318",809,825,486,737,574,510,"1,845",877,"1,500","2,111"
2021년01월_여_0~9세,"1,262",897,20,14,54,12,20,6,25,12,16,74,11,35,66
2021년01월_여_10~19세,"1,877","1,205",36,44,88,27,27,14,25,34,21,138,24,60,134
2021년01월_여_20~29세,"1,619",956,31,36,91,32,38,22,36,26,14,123,33,78,103
2021년01월_여_30~39세,"1,722","1,150",27,37,70,31,23,17,29,17,14,116,23,51,117
2021년01월_여_40~49세,"2,815","1,783",69,48,124,50,54,23,48,26,29,194,69,84,214
2021년01월_여_50~59세,"4,159","2,099",126,127,218,138,116,55,118,78,68,305,141,241,329
2021년01월_여_60~69세,"4,894","1,957",220,249,282,162,190,110,150,131,104,383,182,350,424
2021년01월_여_70~79세,"3,781","1,267",173,210,199,173,155,117,134,98,118,275,195,302,365
2021년01월_여_80~89세,"2,946",762,137,158,161,154,167,104,139,125,104,200,166,256,313
2021년01월_여_90~99세,518,121,23,28,30,29,35,18,32,26,21,37,32,42,44
2021년01월_여_100세 이상,16,6,1,0,1,1,0,0,1,1,1,0,1,1,2
