카테고리,경기도 구리시,경기도 구리시 갈매동,경기도 구리시 동구동,경기도 구리시 인창동,경기도 구리시 교문1동,경기도 구리시 교문2동,경기도 구리시 수택1동,경기도 구리시 수택2동,경기도 구리시 수택3동
2020년10월_계_총인구수,"197,781","31,483","38,249","23,506","16,336","22,420","18,241","25,609","21,937"
2020년10월_계_연령구간인구수,"197,781","31,483","38,249","23,506","16,336","22,420","18,241","25,609","21,937"
2020년10월_계_0~9세,"15,387","4,653","2,785","1,784",744,"1,649",759,"1,347","1,666"
2020년10월_계_10~19세,"18,300","2,235","4,067","2,393","1,107","2,806","1,283","2,121","2,288"
2020년10월_계_20~29세,"27,263","3,367","5,618","3,358","2,208","3,064","2,827","3,822","2,999"
2020년10월_계_30~39세,"26,540","6,147","4,663","3,052","2,020","2,553","2,154","3,185","2,766"
2020년10월_계_40~49세,"32,997","5,682","6,427","3,994","2,504","3,941","2,615","3,764","4,070"
2020년10월_계_50~59세,"35,825","4,231","7,264","4,298","3,254","3,931","3,821","5,069","3,957"
2020년10월_계_60~69세,"24,168","3,249","4,228","2,604","2,523","2,665","2,817","3,726","2,356"
2020년10월_계_70~79세,"11,683","1,421","2,079","1,364","1,314","1,202","1,352","1,719","1,232"
2020년10월_계_80~89세,"4,857",425,972,575,555,530,528,745,527
2020년10월_계_90~99세,680,68,140,77,81,74,76,96,68
2020년10월_계_100세 이상,81,5,6,7,26,5,9,15,8
2020년10월_남_총인구수,"98,145","15,626","18,900","11,504","8,309","10,899","9,051","12,794","11,062"
2020년10월_남_연령구간인구수,"98,145","15,626","18,900","11,504","8,309","10,899","9,051","12,794","11,062"
2020년10월_남_0~9세,"7,974","2,423","1,484",902,387,831,409,677,861
2020년10월_남_10~19세,"9,424","1,103","2,146","1,247",525,"1,428",668,"1,123","1,184"
2020년10월_남_20~29세,"14,001","1,678","2,903","1,683","1,157","1,581","1,391","2,021","1,587"
2020년10월_남_30~39세,"13,353","2,976","2,338","1,497","1,104","1,239","1,148","1,645","1,406"
2020년10월_남_40~49세,"16,431","3,030","3,055","1,937","1,349","1,812","1,319","1,946","1,983"
2020년10월_남_50~59세,"17,639","1,996","3,523","2,116","1,658","1,914","1,906","2,476","2,050"
2020년10월_남_60~69세,"12,108","1,574","2,152","1,270","1,282","1,319","1,425","1,869","1,217"
2020년10월_남_70~79세,"5,218",699,882,608,604,547,580,748,550
2020년10월_남_80~89세,"1,798",131,377,212,207,212,184,269,206
2020년10월_남_90~99세,174,14,38,29,25,16,19,16,17
2020년10월_남_100세 이상,25,2,2,3,11,0,2,4,1
2020년10월_여_총인구수,"99,636","15,857","19,349","12,002","8,027","11,521","9,190","12,815","10,875"
2020년10월_여_연령구간인구수,"99,636","15,857","19,349","12,002","8,027","11,521","9,190","12,815","10,875"
2020년10월_여_0~9세,"7,413","2,230","1,301",882,357,818,350,670,805
2020년10월_여_10~19세,"8,876","1,132","1,921","1,146",582,"1,378",615,998,"1,104"
2020년10월_여_20~29세,"13,262","1,689","2,715","1,675","1,051","1,483","1,436","1,801","1,412"
2020년10월_여_30~39세,"13,187","3,171","2,325","1,555",916,"1,314","1,006","1,540","1,360"
2020년10월_여_40~49세,"16,566","2,652","3,372","2,057","1,155","2,129","1,296","1,818","2,087"
2020년10월_여_50~59세,"18,186","2,235","3,741","2,182","1,596","2,017","1,915","2,593","1,907"
2020년10월_여_60~69세,"12,060","1,675","2,076","1,334","1,241","1,346","1,392","1,857","1,139"
2020년10월_여_70~79세,"6,465",722,"1,197",756,710,655,772,971,682
2020년10월_여_80~89세,"3,059",294,595,363,348,318,344,476,321
2020년10월_여_90~99세,506,54,102,48,56,58,57,80,51
2020년10월_여_100세 이상,56,3,4,4,15,5,7,11,7
