,경상북도 문경시,경상북도 문경시 문경읍,경상북도 문경시 문경읍갈평출장소,경상북도 문경시 가은읍,경상북도 문경시 가은읍북부출장소,경상북도 문경시 영순면,경상북도 문경시 산양면,경상북도 문경시 호계면,경상북도 문경시 산북면,경상북도 문경시 동로면,경상북도 문경시 마성면,경상북도 문경시 농암면,경상북도 문경시 점촌1동,경상북도 문경시 점촌2동,경상북도 문경시 점촌3동,경상북도 문경시 점촌4동,경상북도 문경시 점촌5동
2021년09월_계_총인구수,"71,096","5,808","1,111","3,199",858,"2,448","3,075","2,393","2,762","1,968","3,569","2,651","5,817","7,078","8,962","3,116","16,281"
2021년09월_계_연령구간인구수,"71,096","5,808","1,111","3,199",858,"2,448","3,075","2,393","2,762","1,968","3,569","2,651","5,817","7,078","8,962","3,116","16,281"
2021년09월_계_0~9세,"3,869",204,34,107,12,58,94,39,56,82,91,72,351,434,617,121,"1,497"
2021년09월_계_10~19세,"5,462",351,60,146,41,266,126,142,98,80,119,89,389,577,843,148,"1,987"
2021년09월_계_20~29세,"6,087",359,66,160,33,141,179,331,145,87,213,125,527,590,835,200,"2,096"
2021년09월_계_30~39세,"5,490",353,48,152,45,83,159,100,122,92,204,131,544,637,765,241,"1,814"
2021년09월_계_40~49세,"8,565",594,93,254,70,175,256,168,215,172,281,184,708,865,"1,309",312,"2,909"
2021년09월_계_50~59세,"11,834",994,225,511,187,329,475,380,467,343,625,505,985,"1,094","1,509",513,"2,692"
2021년09월_계_60~69세,"13,993","1,338",276,761,225,592,749,552,669,540,790,677,"1,168","1,428","1,603",697,"1,928"
2021년09월_계_70~79세,"9,162",950,172,565,140,385,534,354,511,314,685,462,746,952,945,520,927
2021년09월_계_80~89세,"5,739",569,119,464,91,354,419,286,413,223,494,334,363,448,469,327,366
2021년09월_계_90~99세,855,84,18,77,13,65,83,41,61,35,62,67,35,51,64,36,63
2021년09월_계_100세 이상,40,12,0,2,1,0,1,0,5,0,5,5,1,2,3,1,2
2021년09월_남_총인구수,"34,911","2,819",568,"1,562",448,"1,283","1,552","1,145","1,369","1,009","1,696","1,219","2,837","3,431","4,456","1,568","7,949"
2021년09월_남_연령구간인구수,"34,911","2,819",568,"1,562",448,"1,283","1,552","1,145","1,369","1,009","1,696","1,219","2,837","3,431","4,456","1,568","7,949"
2021년09월_남_0~9세,"1,986",100,17,56,3,24,50,19,32,42,39,39,199,219,331,48,768
2021년09월_남_10~19세,"2,963",181,33,88,24,175,64,80,53,44,68,48,216,302,486,86,"1,015"
2021년09월_남_20~29세,"3,446",214,43,97,19,83,120,132,95,52,126,71,303,345,506,120,"1,120"
2021년09월_남_30~39세,"2,897",205,27,86,18,51,85,58,71,51,115,70,292,337,387,137,907
2021년09월_남_40~49세,"4,583",328,54,142,37,110,172,96,133,107,179,113,394,463,686,191,"1,378"
2021년09월_남_50~59세,"6,152",517,130,273,113,192,273,213,267,179,353,253,455,556,745,301,"1,332"
2021년09월_남_60~69세,"6,843",659,145,403,140,312,372,292,360,313,397,326,518,631,736,348,891
2021년09월_남_70~79세,"3,997",394,76,246,61,191,251,155,225,138,277,194,313,422,400,237,417
2021년09월_남_80~89세,"1,870",201,40,154,33,130,151,93,117,76,130,92,138,149,160,96,110
2021년09월_남_90~99세,165,16,3,17,0,15,14,7,14,7,11,12,9,7,19,4,10
2021년09월_남_100세 이상,9,4,0,0,0,0,0,0,2,0,1,1,0,0,0,0,1
2021년09월_여_총인구수,"36,185","2,989",543,"1,637",410,"1,165","1,523","1,248","1,393",959,"1,873","1,432","2,980","3,647","4,506","1,548","8,332"
2021년09월_여_연령구간인구수,"36,185","2,989",543,"1,637",410,"1,165","1,523","1,248","1,393",959,"1,873","1,432","2,980","3,647","4,506","1,548","8,332"
2021년09월_여_0~9세,"1,883",104,17,51,9,34,44,20,24,40,52,33,152,215,286,73,729
2021년09월_여_10~19세,"2,499",170,27,58,17,91,62,62,45,36,51,41,173,275,357,62,972
2021년09월_여_20~29세,"2,641",145,23,63,14,58,59,199,50,35,87,54,224,245,329,80,976
2021년09월_여_30~39세,"2,593",148,21,66,27,32,74,42,51,41,89,61,252,300,378,104,907
2021년09월_여_40~49세,"3,982",266,39,112,33,65,84,72,82,65,102,71,314,402,623,121,"1,531"
2021년09월_여_50~59세,"5,682",477,95,238,74,137,202,167,200,164,272,252,530,538,764,212,"1,360"
2021년09월_여_60~69세,"7,150",679,131,358,85,280,377,260,309,227,393,351,650,797,867,349,"1,037"
2021년09월_여_70~79세,"5,165",556,96,319,79,194,283,199,286,176,408,268,433,530,545,283,510
2021년09월_여_80~89세,"3,869",368,79,310,58,224,268,193,296,147,364,242,225,299,309,231,256
2021년09월_여_90~99세,690,68,15,60,13,50,69,34,47,28,51,55,26,44,45,32,53
2021년09월_여_100세 이상,31,8,0,2,1,0,1,0,3,0,4,4,1,2,3,1,1
