,경상남도 창녕군,경상남도 창녕군 창녕읍,경상남도 창녕군 남지읍,경상남도 창녕군 고암면,경상남도 창녕군 성산면,경상남도 창녕군 대합면,경상남도 창녕군 이방면,경상남도 창녕군 유어면,경상남도 창녕군 대지면,경상남도 창녕군 계성면,경상남도 창녕군 영산면,경상남도 창녕군 장마면,경상남도 창녕군 도천면,경상남도 창녕군 길곡면,경상남도 창녕군 부곡면
2020년05월_계_총인구수,"61,873","17,251","12,325","2,074","1,637","3,866","2,530","1,822","2,583","2,389","5,605","1,863","2,790","1,523","3,615"
2020년05월_계_연령구간인구수,"61,873","17,251","12,325","2,074","1,637","3,866","2,530","1,822","2,583","2,389","5,605","1,863","2,790","1,523","3,615"
2020년05월_계_0~9세,"3,496","1,434",999,70,33,111,67,44,150,72,229,44,105,36,102
2020년05월_계_10~19세,"4,203","1,591",933,125,59,169,250,62,180,77,352,54,162,54,135
2020년05월_계_20~29세,"5,067","1,795",956,125,98,275,135,100,207,180,518,93,219,94,272
2020년05월_계_30~39세,"5,366","1,956","1,270",106,102,244,149,104,202,151,435,113,199,81,254
2020년05월_계_40~49세,"7,185","2,405","1,741",144,141,386,177,148,296,201,649,148,300,138,311
2020년05월_계_50~59세,"11,195","2,915","2,199",340,309,723,443,293,437,481,"1,159",345,520,302,729
2020년05월_계_60~69세,"11,716","2,566","2,101",404,395,802,550,428,487,517,"1,123",411,622,391,919
2020년05월_계_70~79세,"8,047","1,578","1,309",407,266,672,421,384,359,398,710,367,385,250,541
2020년05월_계_80~89세,"4,936",902,727,301,209,428,304,223,230,271,382,257,236,152,314
2020년05월_계_90~99세,636,105,83,52,25,55,30,36,31,39,48,31,40,25,36
2020년05월_계_100세 이상,26,4,7,0,0,1,4,0,4,2,0,0,2,0,2
2020년05월_남_총인구수,"30,755","8,574","6,178","1,031",790,"1,978","1,205",890,"1,337","1,187","2,820",906,"1,356",757,"1,746"
2020년05월_남_연령구간인구수,"30,755","8,574","6,178","1,031",790,"1,978","1,205",890,"1,337","1,187","2,820",906,"1,356",757,"1,746"
2020년05월_남_0~9세,"1,802",737,518,29,19,51,35,25,86,38,115,26,53,19,51
2020년05월_남_10~19세,"2,262",829,507,77,44,107,104,26,109,39,202,33,76,32,77
2020년05월_남_20~29세,"2,920",994,544,77,58,178,81,61,125,109,312,59,115,55,152
2020년05월_남_30~39세,"2,961","1,043",661,60,60,142,90,70,114,94,252,67,123,51,134
2020년05월_남_40~49세,"4,016","1,261",988,92,76,235,114,92,178,112,360,89,157,86,176
2020년05월_남_50~59세,"5,929","1,496","1,141",180,161,440,229,168,254,280,598,191,276,141,374
2020년05월_남_60~69세,"5,859","1,234","1,037",228,201,407,271,213,247,263,564,214,316,205,459
2020년05월_남_70~79세,"3,433",691,557,172,117,276,183,161,142,167,300,145,164,127,231
2020년05월_남_80~89세,"1,465",270,214,103,47,135,88,68,77,81,110,76,71,38,87
2020년05월_남_90~99세,106,19,10,13,7,7,9,6,5,4,7,6,5,3,5
2020년05월_남_100세 이상,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2020년05월_여_총인구수,"31,118","8,677","6,147","1,043",847,"1,888","1,325",932,"1,246","1,202","2,785",957,"1,434",766,"1,869"
2020년05월_여_연령구간인구수,"31,118","8,677","6,147","1,043",847,"1,888","1,325",932,"1,246","1,202","2,785",957,"1,434",766,"1,869"
2020년05월_여_0~9세,"1,694",697,481,41,14,60,32,19,64,34,114,18,52,17,51
2020년05월_여_10~19세,"1,941",762,426,48,15,62,146,36,71,38,150,21,86,22,58
2020년05월_여_20~29세,"2,147",801,412,48,40,97,54,39,82,71,206,34,104,39,120
2020년05월_여_30~39세,"2,405",913,609,46,42,102,59,34,88,57,183,46,76,30,120
2020년05월_여_40~49세,"3,169","1,144",753,52,65,151,63,56,118,89,289,59,143,52,135
2020년05월_여_50~59세,"5,266","1,419","1,058",160,148,283,214,125,183,201,561,154,244,161,355
2020년05월_여_60~69세,"5,857","1,332","1,064",176,194,395,279,215,240,254,559,197,306,186,460
2020년05월_여_70~79세,"4,614",887,752,235,149,396,238,223,217,231,410,222,221,123,310
2020년05월_여_80~89세,"3,471",632,513,198,162,293,216,155,153,190,272,181,165,114,227
2020년05월_여_90~99세,530,86,73,39,18,48,21,30,26,35,41,25,35,22,31
2020년05월_여_100세 이상,24,4,6,0,0,1,3,0,4,2,0,0,2,0,2
