,경기도 여주시,경기도 여주시 가남읍,경기도 여주시 점동면,경기도 여주시 흥천면,경기도 여주시 금사면,경기도 여주시 능서면,경기도 여주시 대신면,경기도 여주시 북내면,경기도 여주시 강천면,경기도 여주시 산북면,경기도 여주시 여흥동,경기도 여주시 중앙동,경기도 여주시 오학동
2021년05월_계_총인구수,"111,939","15,457","4,705","5,096","2,991","6,306","6,984","4,900","4,200","2,521","21,706","18,530","18,543"
2021년05월_계_연령구간인구수,"111,939","15,457","4,705","5,096","2,991","6,306","6,984","4,900","4,200","2,521","21,706","18,530","18,543"
2021년05월_계_0~9세,"7,208",976,194,175,88,273,207,158,144,114,"1,475","1,356","2,048"
2021년05월_계_10~19세,"9,442","1,271",251,278,141,426,407,337,265,134,"1,957","2,139","1,836"
2021년05월_계_20~29세,"12,143","1,660",442,398,231,540,606,414,335,194,"2,788","2,427","2,108"
2021년05월_계_30~39세,"11,346","1,770",299,360,183,468,440,295,299,177,"2,423","1,972","2,660"
2021년05월_계_40~49세,"15,826","2,205",405,520,260,684,665,567,453,265,"3,454","3,076","3,272"
2021년05월_계_50~59세,"20,049","2,789",862,920,577,"1,088","1,284",991,874,433,"3,868","3,322","3,041"
2021년05월_계_60~69세,"19,382","2,622","1,125","1,256",776,"1,413","1,672","1,055",925,611,"3,320","2,486","2,121"
2021년05월_계_70~79세,"10,199","1,349",676,728,464,815,974,616,553,365,"1,551","1,149",959
2021년05월_계_80~89세,"5,461",708,391,386,226,516,628,405,286,199,756,521,439
2021년05월_계_90~99세,854,103,56,73,45,82,99,61,66,28,107,78,56
2021년05월_계_100세 이상,29,4,4,2,0,1,2,1,0,1,7,4,3
2021년05월_남_총인구수,"56,898","8,016","2,440","2,661","1,553","3,246","3,645","2,535","2,173","1,266","10,837","9,302","9,224"
2021년05월_남_연령구간인구수,"56,898","8,016","2,440","2,661","1,553","3,246","3,645","2,535","2,173","1,266","10,837","9,302","9,224"
2021년05월_남_0~9세,"3,707",480,111,94,45,128,101,83,71,52,765,707,"1,070"
2021년05월_남_10~19세,"4,859",659,139,152,62,213,233,195,137,65,999,"1,088",917
2021년05월_남_20~29세,"6,654",923,261,225,153,303,367,231,200,100,"1,485","1,302","1,104"
2021년05월_남_30~39세,"5,993",999,163,208,98,253,258,159,152,101,"1,238","1,027","1,337"
2021년05월_남_40~49세,"8,182","1,176",230,279,149,405,369,297,253,147,"1,740","1,506","1,631"
2021년05월_남_50~59세,"10,526","1,505",462,509,310,607,693,570,487,223,"1,933","1,735","1,492"
2021년05월_남_60~69세,"9,862","1,324",572,658,409,740,896,555,466,314,"1,655","1,217","1,056"
2021년05월_남_70~79세,"4,884",655,351,367,230,404,451,279,283,173,722,516,453
2021년05월_남_80~89세,"2,028",265,134,151,91,175,244,150,114,83,276,191,154
2021년05월_남_90~99세,196,27,16,18,6,17,33,16,10,7,23,13,10
2021년05월_남_100세 이상,7,3,1,0,0,1,0,0,0,1,1,0,0
2021년05월_여_총인구수,"55,041","7,441","2,265","2,435","1,438","3,060","3,339","2,365","2,027","1,255","10,869","9,228","9,319"
2021년05월_여_연령구간인구수,"55,041","7,441","2,265","2,435","1,438","3,060","3,339","2,365","2,027","1,255","10,869","9,228","9,319"
2021년05월_여_0~9세,"3,501",496,83,81,43,145,106,75,73,62,710,649,978
2021년05월_여_10~19세,"4,583",612,112,126,79,213,174,142,128,69,958,"1,051",919
2021년05월_여_20~29세,"5,489",737,181,173,78,237,239,183,135,94,"1,303","1,125","1,004"
2021년05월_여_30~39세,"5,353",771,136,152,85,215,182,136,147,76,"1,185",945,"1,323"
2021년05월_여_40~49세,"7,644","1,029",175,241,111,279,296,270,200,118,"1,714","1,570","1,641"
2021년05월_여_50~59세,"9,523","1,284",400,411,267,481,591,421,387,210,"1,935","1,587","1,549"
2021년05월_여_60~69세,"9,520","1,298",553,598,367,673,776,500,459,297,"1,665","1,269","1,065"
2021년05월_여_70~79세,"5,315",694,325,361,234,411,523,337,270,192,829,633,506
2021년05월_여_80~89세,"3,433",443,257,235,135,341,384,255,172,116,480,330,285
2021년05월_여_90~99세,658,76,40,55,39,65,66,45,56,21,84,65,46
2021년05월_여_100세 이상,22,1,3,2,0,0,2,1,0,0,6,4,3
