,충청남도 청양군,충청남도 청양군 청양읍,충청남도 청양군 운곡면,충청남도 청양군 대치면,충청남도 청양군 정산면,충청남도 청양군 목면,충청남도 청양군 청남면,충청남도 청양군 장평면,충청남도 청양군 남양면,충청남도 청양군 화성면,충청남도 청양군 비봉면
2020년12월_계_총인구수,"30,948","10,023","2,162","2,276","3,598","1,532","1,927","2,335","2,767","2,200","2,128"
2020년12월_계_연령구간인구수,"30,948","10,023","2,162","2,276","3,598","1,532","1,927","2,335","2,767","2,200","2,128"
2020년12월_계_0~9세,"1,269",647,54,77,146,37,52,78,82,51,45
2020년12월_계_10~19세,"2,056",997,90,86,267,84,107,109,101,109,106
2020년12월_계_20~29세,"2,657","1,252",156,157,325,92,123,136,176,129,111
2020년12월_계_30~39세,"2,087",914,106,125,266,72,105,115,140,122,122
2020년12월_계_40~49세,"3,120","1,254",177,213,413,131,169,196,227,170,170
2020년12월_계_50~59세,"5,312","1,687",362,431,619,311,306,376,490,345,385
2020년12월_계_60~69세,"6,159","1,552",468,530,676,325,436,523,606,528,515
2020년12월_계_70~79세,"4,514",989,381,339,506,244,348,454,497,399,357
2020년12월_계_80~89세,"3,304",617,331,288,335,202,245,310,403,299,274
2020년12월_계_90~99세,451,107,37,29,43,34,34,36,45,47,39
2020년12월_계_100세 이상,19,7,0,1,2,0,2,2,0,1,4
2020년12월_남_총인구수,"15,691","5,035","1,080","1,197","1,868",800,991,"1,181","1,374","1,114","1,051"
2020년12월_남_연령구간인구수,"15,691","5,035","1,080","1,197","1,868",800,991,"1,181","1,374","1,114","1,051"
2020년12월_남_0~9세,648,326,28,36,76,24,25,41,43,26,23
2020년12월_남_10~19세,"1,093",509,53,52,146,49,59,52,58,55,60
2020년12월_남_20~29세,"1,539",721,91,95,201,51,73,66,97,78,66
2020년12월_남_30~39세,"1,198",474,64,81,160,41,65,74,89,78,72
2020년12월_남_40~49세,"1,818",655,101,136,234,85,114,138,138,111,106
2020년12월_남_50~59세,"2,899",886,199,246,331,176,179,215,279,183,205
2020년12월_남_60~69세,"3,145",750,248,277,357,180,229,263,305,267,269
2020년12월_남_70~79세,"2,043",467,171,163,225,110,156,197,217,190,147
2020년12월_남_80~89세,"1,176",216,115,102,118,74,81,125,140,110,95
2020년12월_남_90~99세,127,27,10,9,20,10,9,10,8,16,8
2020년12월_남_100세 이상,5,4,0,0,0,0,1,0,0,0,0
2020년12월_여_총인구수,"15,257","4,988","1,082","1,079","1,730",732,936,"1,154","1,393","1,086","1,077"
2020년12월_여_연령구간인구수,"15,257","4,988","1,082","1,079","1,730",732,936,"1,154","1,393","1,086","1,077"
2020년12월_여_0~9세,621,321,26,41,70,13,27,37,39,25,22
2020년12월_여_10~19세,963,488,37,34,121,35,48,57,43,54,46
2020년12월_여_20~29세,"1,118",531,65,62,124,41,50,70,79,51,45
2020년12월_여_30~39세,889,440,42,44,106,31,40,41,51,44,50
2020년12월_여_40~49세,"1,302",599,76,77,179,46,55,58,89,59,64
2020년12월_여_50~59세,"2,413",801,163,185,288,135,127,161,211,162,180
2020년12월_여_60~69세,"3,014",802,220,253,319,145,207,260,301,261,246
2020년12월_여_70~79세,"2,471",522,210,176,281,134,192,257,280,209,210
2020년12월_여_80~89세,"2,128",401,216,186,217,128,164,185,263,189,179
2020년12월_여_90~99세,324,80,27,20,23,24,25,26,37,31,31
2020년12월_여_100세 이상,14,3,0,1,2,0,1,2,0,1,4
