카테고리,강원도 고성군,강원도 고성군 간성읍,강원도 고성군 거진읍,강원도 고성군 현내면,강원도 고성군 죽왕면,강원도 고성군 토성면,강원도 고성군 수동면
2021년03월_계_총인구수,"26,743","6,895","6,204","2,377","3,698","7,569",0
2021년03월_계_연령구간인구수,"26,743","6,895","6,204","2,377","3,698","7,569",0
2021년03월_계_0~9세,"1,289",543,201,56,138,351,0
2021년03월_계_10~19세,"1,603",556,333,98,191,425,0
2021년03월_계_20~29세,"2,743",853,505,150,380,855,0
2021년03월_계_30~39세,"2,247",778,348,154,300,667,0
2021년03월_계_40~49세,"3,042",883,608,201,379,971,0
2021년03월_계_50~59세,"4,750","1,124","1,118",428,662,"1,418",0
2021년03월_계_60~69세,"5,328","1,049","1,400",606,786,"1,487",0
2021년03월_계_70~79세,"3,466",655,999,421,509,882,0
2021년03월_계_80~89세,"1,913",376,570,221,307,439,0
2021년03월_계_90~99세,344,73,118,40,42,71,0
2021년03월_계_100세 이상,18,5,4,2,4,3,0
2021년03월_남_총인구수,"13,770","3,607","3,083","1,166","1,919","3,995",0
2021년03월_남_연령구간인구수,"13,770","3,607","3,083","1,166","1,919","3,995",0
2021년03월_남_0~9세,659,279,103,25,70,182,0
2021년03월_남_10~19세,876,310,176,58,99,233,0
2021년03월_남_20~29세,"1,742",531,327,88,238,558,0
2021년03월_남_30~39세,"1,279",427,195,94,183,380,0
2021년03월_남_40~49세,"1,684",470,331,126,217,540,0
2021년03월_남_50~59세,"2,573",613,627,223,349,761,0
2021년03월_남_60~69세,"2,721",530,690,312,411,778,0
2021년03월_남_70~79세,"1,492",304,413,167,225,383,0
2021년03월_남_80~89세,665,121,199,64,116,165,0
2021년03월_남_90~99세,76,21,22,9,11,13,0
2021년03월_남_100세 이상,3,1,0,0,0,2,0
2021년03월_여_총인구수,"12,973","3,288","3,121","1,211","1,779","3,574",0
2021년03월_여_연령구간인구수,"12,973","3,288","3,121","1,211","1,779","3,574",0
2021년03월_여_0~9세,630,264,98,31,68,169,0
2021년03월_여_10~19세,727,246,157,40,92,192,0
2021년03월_여_20~29세,"1,001",322,178,62,142,297,0
2021년03월_여_30~39세,968,351,153,60,117,287,0
2021년03월_여_40~49세,"1,358",413,277,75,162,431,0
2021년03월_여_50~59세,"2,177",511,491,205,313,657,0
2021년03월_여_60~69세,"2,607",519,710,294,375,709,0
2021년03월_여_70~79세,"1,974",351,586,254,284,499,0
2021년03월_여_80~89세,"1,248",255,371,157,191,274,0
2021년03월_여_90~99세,268,52,96,31,31,58,0
2021년03월_여_100세 이상,15,4,4,2,4,1,0
