,경상남도 함양군,경상남도 함양군 함양읍,경상남도 함양군 마천면,경상남도 함양군 휴천면,경상남도 함양군 유림면,경상남도 함양군 수동면,경상남도 함양군 지곡면,경상남도 함양군 안의면,경상남도 함양군 서하면,경상남도 함양군 서상면,경상남도 함양군 백전면,경상남도 함양군 병곡면
2020년03월_계_총인구수,"39,404","18,574","2,188","1,604","1,679","2,417","2,095","4,601","1,459","1,867","1,564","1,356"
2020년03월_계_연령구간인구수,"39,404","18,574","2,188","1,604","1,679","2,417","2,095","4,601","1,459","1,867","1,564","1,356"
2020년03월_계_0~9세,"1,927","1,385",43,33,24,71,69,145,27,53,46,31
2020년03월_계_10~19세,"3,058","1,965",114,72,72,149,106,254,51,109,79,87
2020년03월_계_20~29세,"3,234","1,946",117,79,100,202,115,282,89,127,83,94
2020년03월_계_30~39세,"2,723","1,705",95,67,73,145,117,261,61,85,62,52
2020년03월_계_40~49세,"4,563","2,714",203,152,106,227,189,443,104,166,133,126
2020년03월_계_50~59세,"7,013","3,255",468,319,285,397,357,741,280,325,316,270
2020년03월_계_60~69세,"6,974","2,606",473,324,343,504,424,945,364,375,352,264
2020년03월_계_70~79세,"5,583","1,807",386,317,368,396,407,818,240,351,276,217
2020년03월_계_80~89세,"3,758","1,048",245,207,252,289,277,607,215,245,188,185
2020년03월_계_90~99세,537,134,40,33,50,36,34,97,28,29,28,28
2020년03월_계_100세 이상,34,9,4,1,6,1,0,8,0,2,1,2
2020년03월_남_총인구수,"18,991","9,012","1,042",802,780,"1,192","1,005","2,179",697,869,765,648
2020년03월_남_연령구간인구수,"18,991","9,012","1,042",802,780,"1,192","1,005","2,179",697,869,765,648
2020년03월_남_0~9세,980,702,20,18,10,38,31,76,15,27,26,17
2020년03월_남_10~19세,"1,570","1,009",56,34,32,73,52,136,31,52,43,52
2020년03월_남_20~29세,"1,851","1,094",70,42,65,123,75,160,55,66,46,55
2020년03월_남_30~39세,"1,409",837,51,40,45,86,66,142,33,44,38,27
2020년03월_남_40~49세,"2,508","1,394",116,98,66,139,106,278,62,99,76,74
2020년03월_남_50~59세,"3,713","1,685",253,202,151,220,191,388,138,173,158,154
2020년03월_남_60~69세,"3,452","1,216",249,177,179,260,227,452,188,189,180,135
2020년03월_남_70~79세,"2,259",737,148,120,164,153,165,327,100,144,124,77
2020년03월_남_80~89세,"1,128",315,72,66,58,89,84,195,69,65,65,50
2020년03월_남_90~99세,114,22,7,5,9,11,8,22,6,8,9,7
2020년03월_남_100세 이상,7,1,0,0,1,0,0,3,0,2,0,0
2020년03월_여_총인구수,"20,413","9,562","1,146",802,899,"1,225","1,090","2,422",762,998,799,708
2020년03월_여_연령구간인구수,"20,413","9,562","1,146",802,899,"1,225","1,090","2,422",762,998,799,708
2020년03월_여_0~9세,947,683,23,15,14,33,38,69,12,26,20,14
2020년03월_여_10~19세,"1,488",956,58,38,40,76,54,118,20,57,36,35
2020년03월_여_20~29세,"1,383",852,47,37,35,79,40,122,34,61,37,39
2020년03월_여_30~39세,"1,314",868,44,27,28,59,51,119,28,41,24,25
2020년03월_여_40~49세,"2,055","1,320",87,54,40,88,83,165,42,67,57,52
2020년03월_여_50~59세,"3,300","1,570",215,117,134,177,166,353,142,152,158,116
2020년03월_여_60~69세,"3,522","1,390",224,147,164,244,197,493,176,186,172,129
2020년03월_여_70~79세,"3,324","1,070",238,197,204,243,242,491,140,207,152,140
2020년03월_여_80~89세,"2,630",733,173,141,194,200,193,412,146,180,123,135
2020년03월_여_90~99세,423,112,33,28,41,25,26,75,22,21,19,21
2020년03월_여_100세 이상,27,8,4,1,5,1,0,5,0,0,1,2
