카테고리,경상북도 김천시,경상북도 김천시 아포읍,경상북도 김천시 농소면,경상북도 김천시 남면,경상북도 김천시 개령면,경상북도 김천시 감문면,경상북도 김천시 어모면,경상북도 김천시 봉산면,경상북도 김천시 대항면,경상북도 김천시 감천면,경상북도 김천시 조마면,경상북도 김천시 구성면,경상북도 김천시 지례면,경상북도 김천시 부항면,경상북도 김천시 대덕면,경상북도 김천시 증산면,경상북도 김천시 자산동,경상북도 김천시 평화남산동,경상북도 김천시 양금동,경상북도 김천시 대신동,경상북도 김천시 대곡동,경상북도 김천시 지좌동,경상북도 김천시 율곡동
2020년09월_계_총인구수,"140,468","7,127","3,020","3,149","2,494","3,325","4,081","3,201","3,496","1,949","2,247","2,831","1,593","1,259","2,204","1,057","6,818","7,724","3,986","24,977","20,496","11,029","22,405"
2020년09월_계_연령구간인구수,"140,468","7,127","3,020","3,149","2,494","3,325","4,081","3,201","3,496","1,949","2,247","2,831","1,593","1,259","2,204","1,057","6,818","7,724","3,986","24,977","20,496","11,029","22,405"
2020년09월_계_0~9세,"10,578",382,112,76,64,79,153,94,95,58,59,53,39,27,52,12,224,234,142,"2,159","1,432",903,"4,129"
2020년09월_계_10~19세,"12,120",431,133,148,100,109,196,145,189,77,94,88,57,36,198,36,383,445,243,"3,048","2,304","1,110","2,550"
2020년09월_계_20~29세,"14,711",561,257,257,198,179,312,270,306,152,143,176,91,67,119,50,651,822,330,"3,626","2,387","1,402","2,355"
2020년09월_계_30~39세,"15,300",582,212,195,144,179,215,193,220,128,122,140,70,51,113,29,571,715,267,"2,853","2,120","1,311","4,870"
2020년09월_계_40~49세,"19,419",842,308,306,214,252,426,289,329,181,205,202,120,115,160,90,835,877,411,"4,103","2,994","1,847","4,313"
2020년09월_계_50~59세,"23,963","1,459",555,602,483,596,752,644,742,379,440,538,275,218,385,232,"1,143","1,363",692,"4,234","3,742","1,936","2,553"
2020년09월_계_60~69세,"21,644","1,401",642,688,600,794,882,745,782,408,521,659,366,311,468,275,"1,507","1,599",843,"2,698","2,963","1,448","1,044"
2020년09월_계_70~79세,"13,470",841,443,483,403,591,673,505,467,289,350,515,311,235,384,155,"1,009","1,056",666,"1,386","1,606",718,384
2020년09월_계_80~89세,"8,036",534,318,328,248,473,397,279,306,243,273,390,227,173,288,159,441,533,353,768,830,300,175
2020년09월_계_90~99세,"1,171",92,40,61,39,72,71,35,56,33,38,68,34,24,34,17,54,75,36,95,115,52,30
2020년09월_계_100세 이상,56,2,0,5,1,1,4,2,4,1,2,2,3,2,3,2,0,5,3,7,3,2,2
2020년09월_남_총인구수,"70,504","3,589","1,577","1,624","1,261","1,661","2,072","1,639","1,788","1,008","1,116","1,400",797,628,"1,106",513,"3,477","3,781","1,925","12,381","10,217","5,625","11,319"
2020년09월_남_연령구간인구수,"70,504","3,589","1,577","1,624","1,261","1,661","2,072","1,639","1,788","1,008","1,116","1,400",797,628,"1,106",513,"3,477","3,781","1,925","12,381","10,217","5,625","11,319"
2020년09월_남_0~9세,"5,469",201,55,41,39,50,85,52,54,38,30,26,20,16,35,7,126,119,78,"1,116",720,456,"2,105"
2020년09월_남_10~19세,"6,535",225,69,82,54,60,124,85,102,47,52,56,34,19,107,20,183,241,132,"1,565","1,349",616,"1,313"
2020년09월_남_20~29세,"8,285",326,149,161,128,112,192,148,191,77,84,88,60,39,76,34,388,473,175,"2,009","1,407",786,"1,182"
2020년09월_남_30~39세,"8,074",306,132,107,77,103,116,113,125,93,67,85,43,32,70,13,349,430,139,"1,443","1,088",734,"2,409"
2020년09월_남_40~49세,"10,248",472,197,189,137,162,237,177,185,114,124,128,73,73,91,53,512,493,230,"1,997","1,458",942,"2,204"
2020년09월_남_50~59세,"12,519",770,331,344,267,332,408,348,409,206,238,314,161,128,210,127,609,678,357,"2,114","1,781","1,007","1,380"
