카테고리,강원도 평창군,강원도 평창군 평창읍,강원도 평창군 미탄면,강원도 평창군 방림면,강원도 평창군 방림면계촌출장소,강원도 평창군 대화면,강원도 평창군 봉평면,강원도 평창군 용평면,강원도 평창군 진부면,강원도 평창군 대관령면
2021년11월_계_총인구수,"41,023","8,457","1,654",856,"1,676","5,173","5,732","3,049","8,536","5,890"
2021년11월_계_연령구간인구수,"41,023","8,457","1,654",856,"1,676","5,173","5,732","3,049","8,536","5,890"
2021년11월_계_0~9세,"1,735",400,31,19,53,202,263,108,384,275
2021년11월_계_10~19세,"2,739",698,68,35,67,309,426,181,606,349
2021년11월_계_20~29세,"3,244",749,106,47,81,372,393,205,719,572
2021년11월_계_30~39세,"2,829",631,63,38,83,294,418,148,546,608
2021년11월_계_40~49세,"5,060","1,049",162,66,145,599,760,354,"1,063",862
2021년11월_계_50~59세,"7,804","1,554",354,159,335,966,"1,123",656,"1,574","1,083"
2021년11월_계_60~69세,"9,456","1,799",458,253,520,"1,271","1,348",751,"1,907","1,149"
2021년11월_계_70~79세,"4,901",925,250,140,245,656,616,359,"1,073",637
2021년11월_계_80~89세,"2,859",563,134,88,122,444,348,260,581,319
2021년11월_계_90~99세,378,85,27,10,24,58,34,27,79,34
2021년11월_계_100세 이상,18,4,1,1,1,2,3,0,4,2
2021년11월_남_총인구수,"21,095","4,318",868,448,874,"2,636","3,012","1,532","4,288","3,119"
2021년11월_남_연령구간인구수,"21,095","4,318",868,448,874,"2,636","3,012","1,532","4,288","3,119"
2021년11월_남_0~9세,857,201,14,14,25,89,121,51,208,134
2021년11월_남_10~19세,"1,439",350,36,18,34,159,232,97,308,205
2021년11월_남_20~29세,"1,931",441,65,30,41,218,235,124,422,355
2021년11월_남_30~39세,"1,535",342,38,22,45,159,227,69,276,357
2021년11월_남_40~49세,"2,776",558,99,36,79,337,414,192,560,501
2021년11월_남_50~59세,"4,197",822,203,79,179,520,614,351,837,592
2021년11월_남_60~69세,"4,946",935,248,144,290,678,718,387,974,572
2021년11월_남_70~79세,"2,306",449,122,62,132,302,310,164,489,276
2021년11월_남_80~89세,"1,032",203,40,41,46,161,133,89,202,117
2021년11월_남_90~99세,73,16,3,1,3,13,8,8,11,10
2021년11월_남_100세 이상,3,1,0,1,0,0,0,0,1,0
2021년11월_여_총인구수,"19,928","4,139",786,408,802,"2,537","2,720","1,517","4,248","2,771"
2021년11월_여_연령구간인구수,"19,928","4,139",786,408,802,"2,537","2,720","1,517","4,248","2,771"
2021년11월_여_0~9세,878,199,17,5,28,113,142,57,176,141
2021년11월_여_10~19세,"1,300",348,32,17,33,150,194,84,298,144
2021년11월_여_20~29세,"1,313",308,41,17,40,154,158,81,297,217
2021년11월_여_30~39세,"1,294",289,25,16,38,135,191,79,270,251
2021년11월_여_40~49세,"2,284",491,63,30,66,262,346,162,503,361
2021년11월_여_50~59세,"3,607",732,151,80,156,446,509,305,737,491
2021년11월_여_60~69세,"4,510",864,210,109,230,593,630,364,933,577
2021년11월_여_70~79세,"2,595",476,128,78,113,354,306,195,584,361
2021년11월_여_80~89세,"1,827",360,94,47,76,283,215,171,379,202
2021년11월_여_90~99세,305,69,24,9,21,45,26,19,68,24
2021년11월_여_100세 이상,15,3,1,0,1,2,3,0,3,2
