,광주광역시,광주광역시 동구,광주광역시 서구,광주광역시 남구,광주광역시 북구,광주광역시 광산구
2021년05월_계_총인구수,"1,443,154","103,007","293,364","213,717","428,262","404,804"
2021년05월_계_연령구간인구수,"1,443,154","103,007","293,364","213,717","428,262","404,804"
2021년05월_계_0~9세,"116,808","7,262","20,932","17,095","32,734","38,785"
2021년05월_계_10~19세,"154,488","7,311","30,652","22,572","42,128","51,825"
2021년05월_계_20~29세,"208,001","14,768","45,019","27,644","61,820","58,750"
2021년05월_계_30~39세,"183,175","13,454","35,778","25,088","55,009","53,846"
2021년05월_계_40~49세,"238,125","14,042","47,686","33,962","66,607","75,828"
2021년05월_계_50~59세,"234,190","15,501","49,412","32,860","71,487","64,930"
2021년05월_계_60~69세,"167,438","14,906","35,009","28,413","54,545","34,565"
2021년05월_계_70~79세,"93,732","10,278","19,298","17,388","29,612","17,156"
2021년05월_계_80~89세,"40,969","4,782","8,317","7,508","12,469","7,893"
2021년05월_계_90~99세,"5,985",667,"1,212","1,148","1,782","1,176"
2021년05월_계_100세 이상,243,36,49,39,69,50
2021년05월_남_총인구수,"714,101","50,853","143,812","102,803","212,637","203,996"
2021년05월_남_연령구간인구수,"714,101","50,853","143,812","102,803","212,637","203,996"
2021년05월_남_0~9세,"59,943","3,744","10,868","8,707","16,750","19,874"
2021년05월_남_10~19세,"80,051","3,772","16,158","11,268","22,217","26,636"
2021년05월_남_20~29세,"108,619","7,562","23,058","14,218","32,539","31,242"
2021년05월_남_30~39세,"93,653","6,983","18,142","12,481","28,646","27,401"
2021년05월_남_40~49세,"118,291","7,330","23,050","16,741","33,428","37,742"
2021년05월_남_50~59세,"116,299","7,679","24,246","15,565","35,078","33,731"
2021년05월_남_60~69세,"79,766","7,033","16,424","13,021","25,910","17,378"
2021년05월_남_70~79세,"41,627","4,551","8,581","7,769","13,295","7,431"
2021년05월_남_80~89세,"14,545","2,002","3,009","2,780","4,415","2,339"
2021년05월_남_90~99세,"1,279",188,272,248,354,217
2021년05월_남_100세 이상,28,9,4,5,5,5
2021년05월_여_총인구수,"729,053","52,154","149,552","110,914","215,625","200,808"
2021년05월_여_연령구간인구수,"729,053","52,154","149,552","110,914","215,625","200,808"
2021년05월_여_0~9세,"56,865","3,518","10,064","8,388","15,984","18,911"
2021년05월_여_10~19세,"74,437","3,539","14,494","11,304","19,911","25,189"
2021년05월_여_20~29세,"99,382","7,206","21,961","13,426","29,281","27,508"
2021년05월_여_30~39세,"89,522","6,471","17,636","12,607","26,363","26,445"
2021년05월_여_40~49세,"119,834","6,712","24,636","17,221","33,179","38,086"
2021년05월_여_50~59세,"117,891","7,822","25,166","17,295","36,409","31,199"
2021년05월_여_60~69세,"87,672","7,873","18,585","15,392","28,635","17,187"
2021년05월_여_70~79세,"52,105","5,727","10,717","9,619","16,317","9,725"
2021년05월_여_80~89세,"26,424","2,780","5,308","4,728","8,054","5,554"
2021년05월_여_90~99세,"4,706",479,940,900,"1,428",959
2021년05월_여_100세 이상,215,27,45,34,64,45
