카테고리,전라북도 전주시,전라북도 전주시 완산구,전라북도 전주시 완산구 중앙동,전라북도 전주시 완산구 풍남동,전라북도 전주시 완산구 노송동,전라북도 전주시 완산구 완산동,전라북도 전주시 완산구 동서학동,전라북도 전주시 완산구 서서학동,전라북도 전주시 완산구 중화산1동,전라북도 전주시 완산구 중화산2동,전라북도 전주시 완산구 서신동,전라북도 전주시 완산구 평화1동,전라북도 전주시 완산구 평화2동,전라북도 전주시 완산구 삼천1동,전라북도 전주시 완산구 삼천2동,전라북도 전주시 완산구 삼천3동,전라북도 전주시 완산구 효자1동,전라북도 전주시 완산구 효자2동,전라북도 전주시 완산구 효자3동,전라북도 전주시 완산구 효자4동,전라북도 전주시 완산구 효자5동,전라북도 전주시 덕진구,전라북도 전주시 덕진구 진북동,전라북도 전주시 덕진구 인후1동,전라북도 전주시 덕진구 인후2동,전라북도 전주시 덕진구 인후3동,전라북도 전주시 덕진구 덕진동,전라북도 전주시 덕진구 금암1동,전라북도 전주시 덕진구 금암2동,전라북도 전주시 덕진구 팔복동,전라북도 전주시 덕진구 우아1동,전라북도 전주시 덕진구 우아2동,전라북도 전주시 덕진구 호성동,전라북도 전주시 덕진구 송천1동,전라북도 전주시 덕진구 송천2동,전라북도 전주시 덕진구 조촌동,전라북도 전주시 덕진구 여의동,전라북도 전주시 덕진구 혁신동,전라북도 전주시효자출장소
2021년06월_계_총인구수,"657,428","337,968","7,494","4,067","12,239","5,080","6,357","8,627","14,523","19,617","41,392","12,919","46,160","11,642","13,443","22,092","10,901","10,183","14,775","39,621","36,836","319,460","14,234","18,501","11,303","32,173","20,595","7,689","9,906","7,600","10,273","14,544","20,292","62,317","26,498","12,583","30,847","20,105",0
2021년06월_계_연령구간인구수,"657,428","337,968","7,494","4,067","12,239","5,080","6,357","8,627","14,523","19,617","41,392","12,919","46,160","11,642","13,443","22,092","10,901","10,183","14,775","39,621","36,836","319,460","14,234","18,501","11,303","32,173","20,595","7,689","9,906","7,600","10,273","14,544","20,292","62,317","26,498","12,583","30,847","20,105",0
2021년06월_계_0~9세,"52,657","23,940",319,92,597,210,288,301,902,"1,380","3,301",564,"3,877",683,660,"1,493",588,501,952,"4,325","2,907","28,717",607,"1,455",537,"2,511","2,005",202,410,285,677,831,"1,426","8,007","2,016",851,"3,816","3,081",0
2021년06월_계_10~19세,"70,652","35,328",452,160,797,362,428,633,"1,294","2,592","4,921",825,"5,323","1,061","1,203","2,402",933,884,"1,502","5,005","4,551","35,324","1,062","2,334",717,"4,056","1,605",334,629,482,817,"1,217","2,476","8,806","3,081",991,"3,062","3,655",0
2021년06월_계_20~29세,"93,163","49,255",872,393,"1,396",528,686,"1,006","2,282","3,230","6,386","1,377","5,872","1,667","1,994","3,095","1,382","1,475","2,057","6,191","7,366","43,908","1,711","2,342","1,551","4,740","3,452","2,319","1,522",871,"1,421","2,051","2,727","7,932","3,969","1,546","3,828","1,926",0
2021년06월_계_30~39세,"81,444","39,519",765,336,"1,277",489,555,729,"1,661","2,342","5,290","1,285","5,146","1,198","1,309","2,124","1,066","1,055","1,616","5,277","5,999","41,925","1,301","1,880","1,306","3,975","3,505",936,"1,027",741,"1,380","1,922","1,958","9,347","2,935","1,756","5,215","2,741",0
2021년06월_계_40~49세,"105,864","52,403",897,497,"1,656",668,778,"1,146","1,890","3,420","6,934","1,720","7,441","1,617","1,690","3,359","1,498","1,361","2,091","6,942","6,798","53,461","1,788","3,099","1,438","6,041","3,064",835,"1,212","1,081","1,508","2,421","3,090","12,012","4,077","1,829","5,220","4,746",0
2021년06월_계_50~59세,"106,504","57,056","1,242",646,"1,924",817,"1,041","1,499","2,465","3,272","7,090","2,258","7,755","2,199","2,591","4,331","1,799","1,802","2,504","6,138","5,683","49,448","2,277","2,845","1,843","5,195","2,770","1,053","1,594","1,408","1,730","2,609","3,565","8,720","4,668","2,196","4,580","2,395",0
2021년06월_계_60~69세,"79,452","43,681","1,412",880,"2,149",885,"1,278","1,675","2,211","2,007","4,114","2,371","6,199","1,801","2,323","2,942","1,820","1,685","2,193","3,617","2,119","35,771","2,379","2,284","1,885","2,966","2,198","1,009","1,655","1,394","1,517","1,946","2,896","4,613","3,222","1,797","2,991","1,019",0
2021년06월_계_70~79세,"44,523","24,180",983,689,"1,558",713,828,"1,100","1,185",894,"2,195","1,638","3,022",942,"1,170","1,459","1,232","1,018","1,215","1,415",924,"20,343","1,943","1,567","1,366","1,781","1,344",645,"1,271",922,810,979,"1,367","1,909","1,686",989,"1,410",354,0
2021년06월_계_80~89세,"20,190","10,893",475,315,772,354,409,478,556,409,"1,033",762,"1,333",407,439,743,513,345,546,578,426,"9,297","1,045",617,597,800,567,313,535,369,357,497,691,829,736,555,632,157,0
2021년06월_계_90~99세,"2,886","1,656",68,59,108,54,64,56,74,68,127,116,186,64,63,142,68,56,96,130,57,"1,230",118,75,60,105,82,43,49,46,55,69,93,140,105,73,87,30,0
2021년06월_계_100세 이상,93,57,9,0,5,0,2,4,3,3,1,3,6,3,1,2,2,1,3,3,6,36,3,3,3,3,3,0,2,1,1,2,3,2,3,0,6,1,0
2021년06월_남_총인구수,"323,491","164,603","3,762","2,032","5,994","2,500","3,173","4,215","6,993","9,775","20,084","6,212","22,298","5,650","6,492","10,704","5,228","4,837","6,942","19,280","18,432","158,888","6,981","8,902","5,610","15,783","10,392","4,117","4,888","4,145","5,140","7,569","9,730","30,904","12,959","6,470","15,529","9,769",0
