카테고리,강원도 양구군,강원도 양구군 양구읍,강원도 양구군 남면,강원도 양구군 동면,강원도 양구군 방산면,강원도 양구군 해안면
2020년01월_계_총인구수,"22,526","14,369","3,347","2,113","1,356","1,341"
2020년01월_계_연령구간인구수,"22,526","14,369","3,347","2,113","1,356","1,341"
2020년01월_계_0~9세,"1,829","1,545",114,79,50,41
2020년01월_계_10~19세,"2,089","1,641",191,103,69,85
2020년01월_계_20~29세,"3,210","1,869",419,504,295,123
2020년01월_계_30~39세,"2,640","2,056",241,142,114,87
2020년01월_계_40~49세,"2,615","1,883",321,168,83,160
2020년01월_계_50~59세,"3,672","2,100",679,365,225,303
2020년01월_계_60~69세,"3,133","1,676",640,319,249,249
2020년01월_계_70~79세,"2,090",992,461,289,160,188
2020년01월_계_80~89세,"1,077",528,238,118,102,91
2020년01월_계_90~99세,155,66,40,26,9,14
2020년01월_계_100세 이상,16,13,3,0,0,0
2020년01월_남_총인구수,"11,937","7,363","1,827","1,228",793,726
2020년01월_남_연령구간인구수,"11,937","7,363","1,827","1,228",793,726
2020년01월_남_0~9세,909,763,60,39,23,24
2020년01월_남_10~19세,"1,067",818,104,51,40,54
2020년01월_남_20~29세,"2,161","1,136",312,396,244,73
2020년01월_남_30~39세,"1,455","1,091",155,92,68,49
2020년01월_남_40~49세,"1,424",997,187,98,47,95
2020년01월_남_50~59세,"1,953","1,077",384,193,131,168
2020년01월_남_60~69세,"1,654",865,335,181,134,139
2020년01월_남_70~79세,903,415,201,129,68,90
2020년01월_남_80~89세,361,173,78,42,36,32
2020년01월_남_90~99세,44,23,10,7,2,2
2020년01월_남_100세 이상,6,5,1,0,0,0
2020년01월_여_총인구수,"10,589","7,006","1,520",885,563,615
2020년01월_여_연령구간인구수,"10,589","7,006","1,520",885,563,615
2020년01월_여_0~9세,920,782,54,40,27,17
2020년01월_여_10~19세,"1,022",823,87,52,29,31
2020년01월_여_20~29세,"1,049",733,107,108,51,50
2020년01월_여_30~39세,"1,185",965,86,50,46,38
2020년01월_여_40~49세,"1,191",886,134,70,36,65
2020년01월_여_50~59세,"1,719","1,023",295,172,94,135
2020년01월_여_60~69세,"1,479",811,305,138,115,110
2020년01월_여_70~79세,"1,187",577,260,160,92,98
2020년01월_여_80~89세,716,355,160,76,66,59
2020년01월_여_90~99세,111,43,30,19,7,12
2020년01월_여_100세 이상,10,8,2,0,0,0
