,대구광역시 수성구,대구광역시 수성구 범어1동,대구광역시 수성구 범어2동,대구광역시 수성구 범어3동,대구광역시 수성구 범어4동,대구광역시 수성구 만촌1동,대구광역시 수성구 만촌2동,대구광역시 수성구 만촌3동,대구광역시 수성구 수성1가동,대구광역시 수성구 수성2.3가동,대구광역시 수성구 수성4가동,대구광역시 수성구 황금1동,대구광역시 수성구 황금2동,대구광역시 수성구 중동,대구광역시 수성구 상동,대구광역시 수성구 파동,대구광역시 수성구 두산동,대구광역시 수성구 지산1동,대구광역시 수성구 지산2동,대구광역시 수성구 범물1동,대구광역시 수성구 범물2동,대구광역시 수성구 고산1동,대구광역시 수성구 고산2동,대구광역시 수성구 고산3동
2021년06월_계_총인구수,"419,979","16,979","15,698","16,369","20,033","22,977","11,113","20,027","18,234","12,059","14,934","24,037","11,008","11,060","16,573","12,743","14,148","22,247","18,938","11,486","17,276","30,999","27,445","33,596"
2021년06월_계_연령구간인구수,"419,979","16,979","15,698","16,369","20,033","22,977","11,113","20,027","18,234","12,059","14,934","24,037","11,008","11,060","16,573","12,743","14,148","22,247","18,938","11,486","17,276","30,999","27,445","33,596"
2021년06월_계_0~9세,"29,294","1,613","1,071","1,918","1,670","1,782",479,"1,324","1,215","1,046",823,"2,032",532,707,979,963,866,953,"1,054",345,"1,295","2,186","2,022","2,419"
2021년06월_계_10~19세,"49,884","2,160","1,772","2,012","4,474","2,422","1,095","3,849","2,167","1,701","1,394","4,041",847,724,"1,292",983,"1,143","1,788","1,793",630,"1,866","4,527","3,121","4,083"
2021년06월_계_20~29세,"54,234","2,010","2,250","2,088","1,921","2,939","1,826","2,480","2,155","1,264","2,071","2,692","1,753","1,412","2,041","1,215","2,165","3,249","2,501","1,303","2,106","4,292","3,802","4,699"
2021년06월_계_30~39세,"42,182","1,880","1,989","2,045","1,346","2,310","1,148","1,338","1,568","1,084","1,458","1,931","1,318","1,455","1,945","1,486","1,877","2,248","1,876",934,"1,808","2,797","2,926","3,415"
2021년06월_계_40~49세,"71,326","3,073","2,681","3,254","5,016","3,621","1,636","4,425","3,067","2,362","2,111","4,742","1,743","1,775","2,438","1,884","2,260","3,044","2,769","1,266","2,861","5,438","4,418","5,442"
2021년06월_계_50~59세,"74,596","2,838","2,652","2,620","2,923","4,089","2,066","3,404","3,168","1,873","2,934","4,205","1,892","1,912","2,856","2,046","2,749","4,174","3,564","2,134","3,106","5,776","4,963","6,652"
2021년06월_계_60~69세,"53,303","1,730","1,813","1,316","1,414","3,054","1,545","1,714","2,292","1,431","2,164","2,507","1,516","1,648","2,704","2,180","1,829","3,569","2,991","2,412","2,611","3,497","3,518","3,848"
2021년06월_계_70~79세,"28,843","1,064",984,739,837,"1,757",836,990,"1,632",868,"1,229","1,184",961,930,"1,495","1,335",838,"2,077","1,470","1,533","1,088","1,526","1,648","1,822"
2021년06월_계_80~89세,"14,348",545,436,329,379,888,438,448,862,385,666,605,401,439,699,559,364,994,825,817,463,847,884,"1,075"
2021년06월_계_90~99세,"1,904",59,48,46,51,111,43,54,106,44,83,93,45,57,124,87,54,147,95,108,67,109,135,138
2021년06월_계_100세 이상,65,7,2,2,2,4,1,1,2,1,1,5,0,1,0,5,3,4,0,4,5,4,8,3
2021년06월_남_총인구수,"203,195","8,089","7,637","7,857","9,851","11,222","5,537","10,480","8,397","5,841","6,954","11,524","5,306","5,514","8,000","6,134","6,928","10,572","8,929","5,228","8,375","15,045","13,592","16,183"
2021년06월_남_연령구간인구수,"203,195","8,089","7,637","7,857","9,851","11,222","5,537","10,480","8,397","5,841","6,954","11,524","5,306","5,514","8,000","6,134","6,928","10,572","8,929","5,228","8,375","15,045","13,592","16,183"
2021년06월_남_0~9세,"15,098",806,547,960,899,941,238,758,581,543,417,"1,039",264,375,522,477,440,508,539,173,648,"1,135","1,021","1,267"
2021년06월_남_10~19세,"26,311","1,037",932,978,"2,377","1,261",625,"2,507",994,863,671,"2,046",420,389,673,540,577,"1,003",916,323,"1,000","2,315","1,704","2,160"
2021년06월_남_20~29세,"29,035","1,039","1,140","1,082","1,036","1,617",990,"1,471","1,135",651,"1,078","1,458",860,725,"1,048",675,"1,159","1,747","1,324",703,"1,151","2,308","2,138","2,500"
2021년06월_남_30~39세,"20,657",836,955,913,591,"1,122",633,600,758,494,711,871,679,770,"1,006",743,942,"1,178",927,489,909,"1,376","1,469","1,685"
2021년06월_남_40~49세,"32,561","1,444","1,239","1,519","2,228","1,670",747,"1,917","1,385","1,129",911,"2,103",850,903,"1,168",916,"1,076","1,393","1,252",616,"1,310","2,386","2,022","2,377"
2021년06월_남_50~59세,"36,071","1,393","1,298","1,326","1,576","1,979","1,023","1,801","1,510",980,"1,359","2,078",950,976,"1,375",960,"1,331","1,901","1,603",969,"1,434","2,742","2,385","3,122"
2021년06월_남_60~69세,"25,164",842,869,629,638,"1,451",728,814,"1,023",653,995,"1,173",682,779,"1,270",962,873,"1,604","1,388","1,112","1,237","1,757","1,748","1,937"
2021년06월_남_70~79세,"12,547",441,467,314,359,794,382,422,660,365,532,518,422,410,668,633,376,862,654,594,519,682,731,742
2021년06월_남_80~89세,"5,280",229,179,121,135,355,164,174,328,151,252,219,164,174,251,206,138,343,299,228,155,314,338,363
2021년06월_남_90~99세,455,21,11,15,10,32,7,16,23,12,28,18,15,13,19,21,15,32,27,20,10,28,34,28
2021년06월_남_100세 이상,16,1,0,0,2,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,2,2,2,2
2021년06월_여_총인구수,"216,784","8,890","8,061","8,512","10,182","11,755","5,576","9,547","9,837","6,218","7,980","12,513","5,702","5,546","8,573","6,609","7,220","11,675","10,009","6,258","8,901","15,954","13,853","17,413"
2021년06월_여_연령구간인구수,"216,784","8,890","8,061","8,512","10,182","11,755","5,576","9,547","9,837","6,218","7,980","12,513","5,702","5,546","8,573","6,609","7,220","11,675","10,009","6,258","8,901","15,954","13,853","17,413"
2021년06월_여_0~9세,"14,196",807,524,958,771,841,241,566,634,503,406,993,268,332,457,486,426,445,515,172,647,"1,051","1,001","1,152"
2021년06월_여_10~19세,"23,573","1,123",840,"1,034","2,097","1,161",470,"1,342","1,173",838,723,"1,995",427,335,619,443,566,785,877,307,866,"2,212","1,417","1,923"
2021년06월_여_20~29세,"25,199",971,"1,110","1,006",885,"1,322",836,"1,009","1,020",613,993,"1,234",893,687,993,540,"1,006","1,502","1,177",600,955,"1,984","1,664","2,199"
2021년06월_여_30~39세,"21,525","1,044","1,034","1,132",755,"1,188",515,738,810,590,747,"1,060",639,685,939,743,935,"1,070",949,445,899,"1,421","1,457","1,730"
