,경기도,경기도 수원시,경기도 수원시 장안구,경기도 수원시 권선구,경기도 수원시 팔달구,경기도 수원시 영통구,경기도 성남시,경기도 성남시 수정구,경기도 성남시 중원구,경기도 성남시 분당구,경기도 의정부시,경기도 안양시,경기도 안양시 만안구,경기도 안양시 동안구,경기도 부천시,경기도 광명시,경기도 평택시,경기도 동두천시,경기도 안산시,경기도 안산시 상록구,경기도 안산시 단원구,경기도 고양시,경기도 고양시 덕양구,경기도 고양시 일산동구,경기도 고양시 일산서구,경기도 과천시,경기도 구리시,경기도 남양주시,경기도 오산시,경기도 시흥시,경기도 군포시,경기도 의왕시,경기도 하남시,경기도 용인시,경기도 용인시 처인구,경기도 용인시 기흥구,경기도 용인시 수지구,경기도 파주시,경기도 이천시,경기도 안성시,경기도 김포시,경기도 화성시,경기도 광주시,경기도 양주시,경기도 포천시,경기도 여주시,경기도 연천군,경기도 가평군,경기도 양평군
2021년09월_계_총인구수,"13,542,284","1,184,754","272,625","364,671","182,925","364,533","931,760","235,530","213,280","482,950","463,562","548,074","239,356","308,718","809,083","294,895","557,450","93,479","654,270","351,800","302,470","1,080,787","481,890","299,928","298,969","69,732","193,410","728,664","230,395","511,900","269,507","163,715","312,159","1,080,027","261,553","441,960","376,514","477,819","223,482","189,747","485,647","878,879","386,301","236,028","148,434","112,151","42,842","62,334","120,997"
2021년09월_계_연령구간인구수,"13,542,284","1,184,754","272,625","364,671","182,925","364,533","931,760","235,530","213,280","482,950","463,562","548,074","239,356","308,718","809,083","294,895","557,450","93,479","654,270","351,800","302,470","1,080,787","481,890","299,928","298,969","69,732","193,410","728,664","230,395","511,900","269,507","163,715","312,159","1,080,027","261,553","441,960","376,514","477,819","223,482","189,747","485,647","878,879","386,301","236,028","148,434","112,151","42,842","62,334","120,997"
2021년09월_계_0~9세,"1,111,291","92,503","17,527","30,455","10,173","34,348","66,429","14,908","12,638","38,883","33,364","38,234","15,041","23,193","53,978","22,258","49,777","5,936","42,428","22,351","20,077","79,202","37,639","20,154","21,409","6,025","14,321","63,595","22,245","48,222","19,050","12,798","31,512","96,281","20,268","40,623","35,390","43,452","18,157","13,354","54,483","102,101","33,578","19,921","8,155","6,997","2,578","3,189","7,168"
2021년09월_계_10~19세,"1,325,381","115,927","27,932","32,638","13,860","41,497","85,751","16,893","15,885","52,973","41,766","51,132","18,294","32,838","68,414","29,821","53,945","8,443","61,889","33,401","28,488","102,715","41,193","28,783","32,739","6,762","17,462","78,269","24,885","50,352","25,662","14,175","27,552","122,166","26,290","50,496","45,380","49,883","23,409","18,158","49,471","99,903","34,218","24,315","11,880","9,453","3,057","4,561","9,985"
2021년09월_계_20~29세,"1,808,560","185,586","43,624","53,250","30,542","58,170","128,756","33,928","30,383","64,445","64,724","75,932","34,052","41,880","113,915","37,204","77,286","11,067","106,258","58,289","47,969","148,191","62,335","44,398","41,458","9,319","26,327","86,290","31,378","69,629","37,159","23,016","38,161","138,588","34,964","57,265","46,359","58,974","31,299","23,263","52,841","108,368","45,145","27,783","18,063","12,075","5,158","6,153","10,652"
2021년09월_계_30~39세,"1,899,120","177,144","32,563","56,648","26,922","61,011","135,377","34,843","30,989","69,545","60,002","77,185","33,362","43,823","112,880","40,452","84,772","10,015","85,244","43,980","41,264","142,605","68,591","38,285","35,729","9,880","25,296","89,590","37,770","78,202","37,211","22,855","51,951","141,711","33,561","57,679","50,471","67,906","30,805","22,874","75,848","150,979","56,045","28,294","14,632","11,185","4,110","5,571","10,729"
2021년09월_계_40~49세,"2,294,174","199,734","44,152","60,625","27,745","67,212","153,544","36,304","31,993","85,247","73,814","86,006","34,429","51,577","126,086","50,210","96,407","13,859","104,840","56,112","48,728","178,775","78,590","50,069","50,116","10,414","31,811","131,567","43,768","92,260","42,897","24,197","55,553","198,119","43,448","82,770","71,901","82,030","34,862","30,159","91,647","169,569","67,552","39,986","19,848","15,765","4,772","7,803","16,320"
2021년09월_계_50~59세,"2,260,916","196,759","48,879","61,457","31,187","55,236","154,939","39,959","37,177","77,803","80,975","96,045","42,916","53,129","145,156","49,107","89,792","16,380","127,944","69,199","58,745","196,508","83,694","56,501","56,313","12,159","34,932","120,897","33,857","89,627","47,505","29,355","44,796","169,833","43,807","69,026","57,000","75,750","35,504","31,730","68,786","120,517","64,843","39,228","29,122","20,060","6,960","11,084","20,766"
2021년09월_계_60~69세,"1,646,357","129,805","33,038","42,904","24,411","29,452","119,217","34,477","32,113","52,627","60,824","74,791","36,387","38,404","117,366","39,266","59,932","13,927","78,010","41,454","36,556","131,027","61,419","35,492","34,116","8,757","25,878","89,571","21,685","52,415","35,687","22,983","38,181","112,996","33,956","43,781","35,259","53,733","28,218","27,452","53,156","76,916","51,785","31,089","26,528","19,902","7,933","12,850","24,477"
2021년09월_계_70~79세,"771,593","56,714","15,710","17,549","12,027","11,428","57,583","16,810","15,255","25,518","31,252","31,882","16,587","15,295","47,313","17,690","28,663","8,595","30,136","16,918","13,218","61,546","30,281","15,483","15,782","3,961","11,531","45,821","9,930","20,070","15,145","9,173","17,059","65,890","16,214","26,420","23,256","28,736","13,153","13,789","26,467","32,812","22,778","16,551","12,333","10,177","4,891","6,754","13,198"
