카테고리,전라남도 구례군,전라남도 구례군 구례읍,전라남도 구례군 문척면,전라남도 구례군 간전면,전라남도 구례군 토지면,전라남도 구례군 마산면,전라남도 구례군 광의면,전라남도 구례군 용방면,전라남도 구례군 산동면
2020년02월_계_총인구수,"26,086","11,068","1,318","1,523","2,570","2,773","2,306","1,516","3,012"
2020년02월_계_연령구간인구수,"26,086","11,068","1,318","1,523","2,570","2,773","2,306","1,516","3,012"
2020년02월_계_0~9세,"1,218",714,41,55,56,127,70,62,93
2020년02월_계_10~19세,"1,944","1,124",74,72,156,189,114,67,148
2020년02월_계_20~29세,"2,114","1,113",86,91,161,210,122,107,224
2020년02월_계_30~39세,"1,827",954,60,76,132,194,145,106,160
2020년02월_계_40~49세,"3,099","1,526",157,151,244,353,189,175,304
2020년02월_계_50~59세,"4,762","1,957",258,286,594,464,385,235,583
2020년02월_계_60~69세,"4,423","1,623",260,277,504,483,439,265,572
2020년02월_계_70~79세,"3,922","1,257",209,312,389,422,476,297,560
2020년02월_계_80~89세,"2,421",688,151,179,285,288,321,177,332
2020년02월_계_90~99세,338,106,22,22,46,40,43,25,34
2020년02월_계_100세 이상,18,6,0,2,3,3,2,0,2
2020년02월_남_총인구수,"12,687","5,370",658,753,"1,255","1,373","1,082",741,"1,455"
2020년02월_남_연령구간인구수,"12,687","5,370",658,753,"1,255","1,373","1,082",741,"1,455"
2020년02월_남_0~9세,605,338,21,30,31,66,36,34,49
2020년02월_남_10~19세,"1,025",602,40,31,77,104,63,38,70
2020년02월_남_20~29세,"1,121",584,46,46,96,112,55,57,125
2020년02월_남_30~39세,982,479,31,39,80,113,85,64,91
2020년02월_남_40~49세,"1,713",774,90,104,141,197,115,104,188
2020년02월_남_50~59세,"2,623","1,015",154,177,326,269,222,134,326
2020년02월_남_60~69세,"2,148",785,133,135,246,236,209,127,277
2020년02월_남_70~79세,"1,596",532,85,123,149,173,193,118,223
2020년02월_남_80~89세,802,237,55,62,96,95,96,61,100
2020년02월_남_90~99세,69,23,3,6,13,7,8,4,5
2020년02월_남_100세 이상,3,1,0,0,0,1,0,0,1
2020년02월_여_총인구수,"13,399","5,698",660,770,"1,315","1,400","1,224",775,"1,557"
2020년02월_여_연령구간인구수,"13,399","5,698",660,770,"1,315","1,400","1,224",775,"1,557"
2020년02월_여_0~9세,613,376,20,25,25,61,34,28,44
2020년02월_여_10~19세,919,522,34,41,79,85,51,29,78
2020년02월_여_20~29세,993,529,40,45,65,98,67,50,99
2020년02월_여_30~39세,845,475,29,37,52,81,60,42,69
2020년02월_여_40~49세,"1,386",752,67,47,103,156,74,71,116
2020년02월_여_50~59세,"2,139",942,104,109,268,195,163,101,257
2020년02월_여_60~69세,"2,275",838,127,142,258,247,230,138,295
2020년02월_여_70~79세,"2,326",725,124,189,240,249,283,179,337
2020년02월_여_80~89세,"1,619",451,96,117,189,193,225,116,232
2020년02월_여_90~99세,269,83,19,16,33,33,35,21,29
2020년02월_여_100세 이상,15,5,0,2,3,2,2,0,1
