카테고리,경상북도 포항시,경상북도 포항시 남구,경상북도 포항시 남구 구룡포읍,경상북도 포항시 남구 연일읍,경상북도 포항시 남구 오천읍,경상북도 포항시 남구 대송면,경상북도 포항시 남구 동해면,경상북도 포항시 남구 장기면,경상북도 포항시 남구 호미곶면,경상북도 포항시 남구 상대동,경상북도 포항시 남구 해도동,경상북도 포항시 남구 송도동,경상북도 포항시 남구 청림동,경상북도 포항시 남구 제철동,경상북도 포항시 남구 효곡동,경상북도 포항시 남구 대이동,경상북도 포항시 북구,경상북도 포항시 북구 흥해읍,경상북도 포항시 북구 신광면,경상북도 포항시 북구 청하면,경상북도 포항시 북구 송라면,경상북도 포항시 북구 기계면,경상북도 포항시 북구 죽장면,경상북도 포항시 북구 죽장면상옥출장소,경상북도 포항시 북구 기북면,경상북도 포항시 북구 중앙동,경상북도 포항시 북구 양학동,경상북도 포항시 북구 죽도동,경상북도 포항시 북구 용흥동,경상북도 포항시 북구 우창동,경상북도 포항시 북구 두호동,경상북도 포항시 북구 장량동,경상북도 포항시 북구 환여동
2020년03월_계_총인구수,"505,479","233,066","7,777","31,242","54,745","3,608","9,949","4,188","1,946","25,424","17,699","12,864","4,855","3,000","30,770","24,999","272,413","40,601","2,880","4,888","2,572","5,046","2,139",597,"1,286","16,011","17,480","19,965","22,750","32,146","22,221","72,183","9,648"
2020년03월_계_연령구간인구수,"505,479","233,066","7,777","31,242","54,745","3,608","9,949","4,188","1,946","25,424","17,699","12,864","4,855","3,000","30,770","24,999","272,413","40,601","2,880","4,888","2,572","5,046","2,139",597,"1,286","16,011","17,480","19,965","22,750","32,146","22,221","72,183","9,648"
2020년03월_계_0~9세,"41,406","18,436",165,"2,573","6,053",82,592,77,38,"1,302",661,458,238,183,"3,704","2,310","22,970","4,042",76,127,40,112,34,7,23,626,"1,314",845,"1,568","3,111","1,533","8,542",970
2020년03월_계_10~19세,"47,793","21,711",275,"3,790","5,834",162,807,137,77,"1,598",853,752,278,212,"3,837","3,099","26,082","3,647",99,231,91,215,60,18,39,855,"1,967","1,038","2,184","3,129","2,462","8,883","1,164"
2020년03월_계_20~29세,"57,474","26,882",532,"3,767","6,222",305,"1,028",224,108,"3,325","1,829","1,121",614,709,"3,651","3,447","30,592","4,246",176,317,174,310,79,35,53,"1,689","2,193","2,366","2,484","4,020","2,877","8,658",915
2020년03월_계_30~39세,"61,457","28,244",495,"3,382","8,624",285,949,189,92,"3,111","1,753","1,121",564,365,"3,995","3,319","33,213","5,291",138,290,110,248,79,14,56,"1,798","1,934","2,446","2,407","4,436","2,204","10,511","1,251"
2020년03월_계_40~49세,"78,221","36,203",803,"5,323","10,032",352,"1,319",330,187,"3,484","2,305","1,515",539,361,"5,210","4,443","42,018","6,285",239,507,212,423,138,44,106,"2,028","2,809","2,586","3,379","4,946","3,322","13,306","1,688"
2020년03월_계_50~59세,"91,389","42,287","1,505","6,111","8,413",751,"1,857",727,362,"4,745","3,518","2,524",891,520,"5,616","4,747","49,102","7,078",501,923,489,924,410,119,209,"2,881","3,528","3,585","4,273","6,093","4,577","11,996","1,516"
2020년03월_계_60~69세,"74,903","35,199","1,891","3,963","5,929",884,"1,737",962,448,"4,950","4,070","3,102",949,385,"3,560","2,369","39,704","5,451",713,"1,070",621,"1,203",577,192,339,"3,266","2,438","4,050","3,908","4,073","3,384","7,056","1,363"
2020년03월_계_70~79세,"35,907","16,747","1,351","1,607","2,458",520,"1,110",853,386,"2,263","2,074","1,665",571,185,855,849,"19,160","2,901",498,849,468,892,414,101,255,"2,008",924,"2,236","1,811","1,632","1,319","2,274",578
2020년03월_계_80~89세,"14,783","6,449",666,645,"1,050",230,481,597,218,562,564,524,187,73,286,366,"8,334","1,441",386,499,312,623,302,52,180,750,317,715,642,621,488,830,176
2020년03월_계_90~99세,"2,043",856,89,74,116,36,66,87,29,84,67,77,22,7,54,48,"1,187",211,52,73,54,94,46,15,24,100,53,92,89,82,53,124,25
2020년03월_계_100세 이상,103,52,5,7,14,1,3,5,1,0,5,5,2,0,2,2,51,8,2,2,1,2,0,0,2,10,3,6,5,3,2,3,2
2020년03월_남_총인구수,"255,465","120,030","3,925","15,931","28,963","1,887","5,028","2,060",937,"13,080","9,090","6,468","2,603","1,783","15,612","12,663","135,435","20,318","1,440","2,401","1,255","2,420","1,069",306,627,"7,890","8,658","9,880","11,152","15,719","11,034","36,491","4,775"
2020년03월_남_연령구간인구수,"255,465","120,030","3,925","15,931","28,963","1,887","5,028","2,060",937,"13,080","9,090","6,468","2,603","1,783","15,612","12,663","135,435","20,318","1,440","2,401","1,255","2,420","1,069",306,627,"7,890","8,658","9,880","11,152","15,719","11,034","36,491","4,775"
2020년03월_남_0~9세,"21,455","9,556",83,"1,356","3,112",43,305,44,22,673,338,251,122,98,"1,904","1,205","11,899","2,122",38,67,15,49,16,4,10,323,661,432,781,"1,623",818,"4,450",490
2020년03월_남_10~19세,"25,187","11,458",155,"1,969","3,106",85,413,65,44,843,469,398,151,114,"2,019","1,627","13,729","1,890",62,121,46,95,35,9,24,434,"1,061",538,"1,181","1,679","1,285","4,672",597
