,충청남도 서산시,충청남도 서산시 대산읍,충청남도 서산시 인지면,충청남도 서산시 부석면,충청남도 서산시 팔봉면,충청남도 서산시 지곡면,충청남도 서산시 성연면,충청남도 서산시 음암면,충청남도 서산시 운산면,충청남도 서산시 해미면,충청남도 서산시 고북면,충청남도 서산시 부춘동,충청남도 서산시 동문1동,충청남도 서산시 동문2동,충청남도 서산시 수석동,충청남도 서산시 석남동
2020년06월_계_총인구수,"174,884","13,769","7,398","5,389","3,366","8,107","14,506","9,510","5,177","7,494","6,405","19,646","19,245","9,057","16,291","29,524"
2020년06월_계_연령구간인구수,"174,884","13,769","7,398","5,389","3,366","8,107","14,506","9,510","5,177","7,494","6,405","19,646","19,245","9,057","16,291","29,524"
2020년06월_계_0~9세,"15,673",755,547,124,62,649,"2,720",570,134,281,394,"1,832","1,831",618,"1,464","3,692"
2020년06월_계_10~19세,"17,403","1,115",714,225,118,736,"1,081",795,291,468,515,"2,139","2,393",915,"2,026","3,872"
2020년06월_계_20~29세,"19,164","1,823",638,284,177,671,"1,605",869,304,769,582,"2,645","2,245","1,125","2,005","3,422"
2020년06월_계_30~39세,"22,381","1,495",698,278,153,998,"3,724",889,275,494,589,"2,826","2,321",931,"2,058","4,652"
2020년06월_계_40~49세,"27,839","2,001","1,131",505,311,"1,251","2,100","1,433",570,890,910,"3,348","3,522","1,506","2,916","5,445"
2020년06월_계_50~59세,"28,169","3,085","1,286",901,609,"1,341","1,501","1,679",912,"1,376",844,"3,185","3,198","1,557","2,569","4,126"
2020년06월_계_60~69세,"21,221","1,819","1,058","1,306",834,"1,150",910,"1,449","1,084","1,396","1,061","1,955","1,936","1,268","1,705","2,290"
2020년06월_계_70~79세,"13,732",972,738,"1,013",667,761,502,"1,041",924,"1,128",838,"1,064","1,135",750,968,"1,231"
2020년06월_계_80~89세,"8,062",609,512,670,379,473,321,701,602,606,581,548,565,322,502,671
2020년06월_계_90~99세,"1,178",92,72,82,52,77,39,80,79,83,84,94,91,58,76,119
2020년06월_계_100세 이상,62,3,4,1,4,0,3,4,2,3,7,10,8,7,2,4
2020년06월_남_총인구수,"90,822","7,895","3,764","2,748","1,713","4,338","7,590","4,896","2,607","3,872","3,309","10,162","10,007","4,593","8,233","15,095"
2020년06월_남_연령구간인구수,"90,822","7,895","3,764","2,748","1,713","4,338","7,590","4,896","2,607","3,872","3,309","10,162","10,007","4,593","8,233","15,095"
2020년06월_남_0~9세,"8,065",392,286,59,38,318,"1,425",296,70,148,213,970,933,320,737,"1,860"
2020년06월_남_10~19세,"9,228",587,382,124,56,392,532,436,153,264,274,"1,111","1,420",472,982,"2,043"
2020년06월_남_20~29세,"11,272","1,260",377,175,108,418,884,513,179,459,368,"1,496","1,317",648,"1,128","1,942"
2020년06월_남_30~39세,"12,338",986,357,174,88,613,"2,005",486,151,298,342,"1,563","1,228",510,"1,147","2,390"
2020년06월_남_40~49세,"14,873","1,166",601,323,194,735,"1,153",795,353,518,529,"1,736","1,759",783,"1,469","2,759"
2020년06월_남_50~59세,"15,006","1,833",716,482,342,716,780,885,504,734,458,"1,634","1,651",801,"1,327","2,143"
2020년06월_남_60~69세,"10,591",998,527,660,418,611,463,736,517,706,505,948,940,597,821,"1,144"
2020년06월_남_70~79세,"6,385",459,333,488,331,352,236,488,447,522,375,477,535,329,437,576
2020년06월_남_80~89세,"2,818",188,168,245,126,171,106,249,217,209,225,208,204,117,169,216
2020년06월_남_90~99세,238,26,17,18,10,12,5,12,15,14,19,19,18,16,16,21
2020년06월_남_100세 이상,8,0,0,0,2,0,1,0,1,0,1,0,2,0,0,1
2020년06월_여_총인구수,"84,062","5,874","3,634","2,641","1,653","3,769","6,916","4,614","2,570","3,622","3,096","9,484","9,238","4,464","8,058","14,429"
2020년06월_여_연령구간인구수,"84,062","5,874","3,634","2,641","1,653","3,769","6,916","4,614","2,570","3,622","3,096","9,484","9,238","4,464","8,058","14,429"
2020년06월_여_0~9세,"7,608",363,261,65,24,331,"1,295",274,64,133,181,862,898,298,727,"1,832"
2020년06월_여_10~19세,"8,175",528,332,101,62,344,549,359,138,204,241,"1,028",973,443,"1,044","1,829"
2020년06월_여_20~29세,"7,892",563,261,109,69,253,721,356,125,310,214,"1,149",928,477,877,"1,480"
2020년06월_여_30~39세,"10,043",509,341,104,65,385,"1,719",403,124,196,247,"1,263","1,093",421,911,"2,262"
2020년06월_여_40~49세,"12,966",835,530,182,117,516,947,638,217,372,381,"1,612","1,763",723,"1,447","2,686"
2020년06월_여_50~59세,"13,163","1,252",570,419,267,625,721,794,408,642,386,"1,551","1,547",756,"1,242","1,983"
2020년06월_여_60~69세,"10,630",821,531,646,416,539,447,713,567,690,556,"1,007",996,671,884,"1,146"
2020년06월_여_70~79세,"7,347",513,405,525,336,409,266,553,477,606,463,587,600,421,531,655
2020년06월_여_80~89세,"5,244",421,344,425,253,302,215,452,385,397,356,340,361,205,333,455
2020년06월_여_90~99세,940,66,55,64,42,65,34,68,64,69,65,75,73,42,60,98
2020년06월_여_100세 이상,54,3,4,1,2,0,2,4,1,3,6,10,6,7,2,3
