카테고리,부산광역시 영도구,부산광역시 영도구 남항동,부산광역시 영도구 영선제1동,부산광역시 영도구 영선제2동,부산광역시 영도구 신선동,부산광역시 영도구 봉래제1동,부산광역시 영도구 봉래제2동,부산광역시 영도구 청학제1동,부산광역시 영도구 청학제2동,부산광역시 영도구 동삼제1동,부산광역시 영도구 동삼제2동,부산광역시 영도구 동삼제3동
2021년08월_계_총인구수,"111,386","10,820","3,976","8,401","8,477","6,841","7,692","6,229","17,773","27,691","3,427","10,059"
2021년08월_계_연령구간인구수,"111,386","10,820","3,976","8,401","8,477","6,841","7,692","6,229","17,773","27,691","3,427","10,059"
2021년08월_계_0~9세,"4,969",382,154,343,212,320,490,319,940,"1,364",167,278
2021년08월_계_10~19세,"7,162",515,223,526,439,392,504,422,"1,366","2,077",175,523
2021년08월_계_20~29세,"11,648","1,066",406,863,750,679,737,546,"1,839","3,351",557,854
2021년08월_계_30~39세,"10,340","1,024",353,798,594,660,820,567,"1,727","2,686",322,789
2021년08월_계_40~49세,"14,785","1,398",514,"1,031","1,011",922,"1,119",893,"2,518","3,766",441,"1,172"
2021년08월_계_50~59세,"18,733","1,849",659,"1,424","1,498","1,087","1,229","1,003","3,038","4,764",453,"1,729"
2021년08월_계_60~69세,"22,391","2,294",865,"1,658","1,794","1,440","1,332","1,217","3,408","5,314",660,"2,409"
2021년08월_계_70~79세,"14,518","1,547",549,"1,193","1,412",859,"1,009",875,"2,041","2,990",472,"1,571"
2021년08월_계_80~89세,"6,084",651,229,501,698,406,417,336,804,"1,228",156,658
2021년08월_계_90~99세,703,92,23,62,67,55,34,50,89,143,22,66
2021년08월_계_100세 이상,53,2,1,2,2,21,1,1,3,8,2,10
2021년08월_남_총인구수,"54,888","5,399","1,902","4,071","4,264","3,378","3,742","3,055","8,827","13,524","1,820","4,906"
2021년08월_남_연령구간인구수,"54,888","5,399","1,902","4,071","4,264","3,378","3,742","3,055","8,827","13,524","1,820","4,906"
2021년08월_남_0~9세,"2,528",197,82,179,116,173,229,171,477,664,92,148
2021년08월_남_10~19세,"3,661",269,112,274,231,189,247,222,715,"1,052",89,261
2021년08월_남_20~29세,"6,403",555,208,479,421,360,398,289,"1,007","1,846",361,479
2021년08월_남_30~39세,"5,583",568,182,428,337,362,440,300,949,"1,422",177,418
2021년08월_남_40~49세,"7,716",765,270,508,589,502,581,471,"1,278","1,860",257,635
2021년08월_남_50~59세,"9,651","1,029",314,700,860,572,644,528,"1,537","2,308",245,914
2021년08월_남_60~69세,"10,718","1,112",383,779,878,688,614,571,"1,625","2,562",325,"1,181"
2021년08월_남_70~79세,"6,340",653,253,523,581,382,422,377,934,"1,353",211,651
2021년08월_남_80~89세,"2,139",237,94,184,242,134,158,114,289,426,55,206
2021년08월_남_90~99세,144,14,4,17,8,15,9,12,16,30,7,12
2021년08월_남_100세 이상,5,0,0,0,1,1,0,0,0,1,1,1
2021년08월_여_총인구수,"56,498","5,421","2,074","4,330","4,213","3,463","3,950","3,174","8,946","14,167","1,607","5,153"
2021년08월_여_연령구간인구수,"56,498","5,421","2,074","4,330","4,213","3,463","3,950","3,174","8,946","14,167","1,607","5,153"
2021년08월_여_0~9세,"2,441",185,72,164,96,147,261,148,463,700,75,130
2021년08월_여_10~19세,"3,501",246,111,252,208,203,257,200,651,"1,025",86,262
2021년08월_여_20~29세,"5,245",511,198,384,329,319,339,257,832,"1,505",196,375
2021년08월_여_30~39세,"4,757",456,171,370,257,298,380,267,778,"1,264",145,371
2021년08월_여_40~49세,"7,069",633,244,523,422,420,538,422,"1,240","1,906",184,537
2021년08월_여_50~59세,"9,082",820,345,724,638,515,585,475,"1,501","2,456",208,815
2021년08월_여_60~69세,"11,673","1,182",482,879,916,752,718,646,"1,783","2,752",335,"1,228"
2021년08월_여_70~79세,"8,178",894,296,670,831,477,587,498,"1,107","1,637",261,920
2021년08월_여_80~89세,"3,945",414,135,317,456,272,259,222,515,802,101,452
2021년08월_여_90~99세,559,78,19,45,59,40,25,38,73,113,15,54
2021년08월_여_100세 이상,48,2,1,2,1,20,1,1,3,7,1,9
