,경상북도 구미시,경상북도 구미시 선산읍,경상북도 구미시 고아읍,경상북도 구미시 산동읍,경상북도 구미시 무을면,경상북도 구미시 옥성면,경상북도 구미시 도개면,경상북도 구미시 해평면,경상북도 구미시 장천면,경상북도 구미시 송정동,경상북도 구미시 원평동,경상북도 구미시 도량동,경상북도 구미시 지산동,경상북도 구미시 선주원남동,경상북도 구미시 형곡1동,경상북도 구미시 형곡2동,경상북도 구미시 신평1동,경상북도 구미시 신평2동,경상북도 구미시 비산동,경상북도 구미시 광평동,경상북도 구미시 상모사곡동,경상북도 구미시 임오동,경상북도 구미시 인동동,경상북도 구미시 진미동,경상북도 구미시 양포동,경상북도 구미시 공단동
2021년10월_계_총인구수,"413,366","14,685","38,138","26,784","1,831","1,681","2,179","4,016","3,050","24,126","6,338","29,226","2,173","39,001","14,210","16,628","3,253","3,152","13,126","4,300","31,025","18,781","48,138","16,593","46,488","4,444"
2021년10월_계_연령구간인구수,"413,366","14,685","38,138","26,784","1,831","1,681","2,179","4,016","3,050","24,126","6,338","29,226","2,173","39,001","14,210","16,628","3,253","3,152","13,126","4,300","31,025","18,781","48,138","16,593","46,488","4,444"
2021년10월_계_0~9세,"39,134",830,"3,574","5,586",43,10,34,52,66,"1,737",121,"2,233",68,"3,603",970,792,135,277,"1,642",297,"2,727","2,037","4,438",861,"6,407",594
2021년10월_계_10~19세,"44,180","1,114","3,878","2,478",56,52,100,143,188,"2,384",195,"3,320",113,"4,978","1,538","1,830",166,218,"1,090",347,"3,672","2,481","5,885","1,054","6,675",225
2021년10월_계_20~29세,"54,997","1,336","4,571","2,342",93,97,132,272,225,"3,260",709,"3,655",208,"5,098","1,868","2,617",581,380,"1,767",607,"4,692","2,388","7,165","4,326","5,915",693
2021년10월_계_30~39세,"63,468","1,204","4,824","7,700",71,64,95,204,163,"3,312",727,"3,319",144,"4,857","1,569","1,616",507,545,"2,767",660,"4,340","2,855","8,240","4,359","8,276","1,050"
2021년10월_계_40~49세,"72,583","1,895","5,813","4,736",121,135,183,383,333,"3,834",957,"4,817",269,"7,337","2,288","2,588",444,417,"2,153",746,"5,999","3,856","9,491","2,768","10,275",745
2021년10월_계_50~59세,"69,979","2,880","7,929","2,119",351,314,387,793,583,"4,392","1,324","5,959",453,"7,121","2,960","3,780",596,610,"2,211",826,"6,070","3,203","7,132","1,810","5,550",626
2021년10월_계_60~69세,"42,982","2,819","4,739","1,104",497,441,531,937,672,"3,505","1,334","3,972",547,"4,147","1,982","2,413",488,414,"1,070",493,"2,379","1,317","3,741",931,"2,118",391
2021년10월_계_70~79세,"16,383","1,485","1,654",390,306,271,365,667,461,"1,212",661,"1,284",242,"1,240",738,706,247,185,297,230,739,415,"1,351",334,813,90
2021년10월_계_80~89세,"8,384",944,983,282,247,256,307,495,317,451,264,598,112,543,269,255,78,93,112,82,347,193,607,123,403,23
2021년10월_계_90~99세,"1,238",172,169,46,46,40,45,67,40,39,44,69,16,76,27,29,11,10,17,11,57,35,87,25,54,6
2021년10월_계_100세 이상,38,6,4,1,0,1,0,3,2,0,2,0,1,1,1,2,0,3,0,1,3,1,1,2,2,1
2021년10월_남_총인구수,"212,427","7,264","19,292","13,978",912,865,"1,119","2,099","1,554","11,875","3,460","14,283","1,127","19,801","7,030","8,334","1,834","1,708","6,882","2,318","16,167","9,815","24,937","9,059","24,253","2,461"
2021년10월_남_연령구간인구수,"212,427","7,264","19,292","13,978",912,865,"1,119","2,099","1,554","11,875","3,460","14,283","1,127","19,801","7,030","8,334","1,834","1,708","6,882","2,318","16,167","9,815","24,937","9,059","24,253","2,461"
2021년10월_남_0~9세,"20,099",432,"1,861","2,815",21,5,18,26,45,872,59,"1,173",33,"1,829",502,415,70,145,841,160,"1,350","1,044","2,349",435,"3,277",322
