,울산광역시 북구,울산광역시 북구 농소1동,울산광역시 북구 농소2동,울산광역시 북구 농소3동,울산광역시 북구 강동동,울산광역시 북구 효문동,울산광역시 북구 송정동,울산광역시 북구 양정동,울산광역시 북구 염포동
2021년05월_계_총인구수,"218,303","37,087","40,152","38,775","16,489","29,737","36,041","10,030","9,992"
2021년05월_계_연령구간인구수,"218,303","37,087","40,152","38,775","16,489","29,737","36,041","10,030","9,992"
2021년05월_계_0~9세,"24,616","4,520","5,315","3,616","2,634","2,688","4,384",713,746
2021년05월_계_10~19세,"23,533","3,954","4,703","6,196","1,371","2,157","3,617",764,771
2021년05월_계_20~29세,"27,159","4,124","4,412","4,905","1,166","4,566","4,952","1,754","1,280"
2021년05월_계_30~39세,"33,526","5,678","6,622","3,783","3,363","4,925","6,143","1,618","1,394"
2021년05월_계_40~49세,"38,670","6,673","7,518","8,389","2,848","4,325","5,928","1,459","1,530"
2021년05월_계_50~59세,"38,543","6,180","6,298","7,195","2,144","6,285","6,611","1,950","1,880"
2021년05월_계_60~69세,"21,086","3,812","3,455","2,803","1,860","3,345","2,973","1,219","1,619"
2021년05월_계_70~79세,"7,611","1,521","1,237","1,270",681,985,963,401,553
2021년05월_계_80~89세,"3,088",538,521,538,361,396,405,129,200
2021년05월_계_90~99세,453,83,70,76,58,64,65,23,14
2021년05월_계_100세 이상,18,4,1,4,3,1,0,0,5
2021년05월_남_총인구수,"113,119","18,966","20,422","19,742","8,458","15,945","18,389","5,829","5,368"
2021년05월_남_연령구간인구수,"113,119","18,966","20,422","19,742","8,458","15,945","18,389","5,829","5,368"
2021년05월_남_0~9세,"12,653","2,314","2,746","1,856","1,305","1,413","2,281",361,377
2021년05월_남_10~19세,"12,221","2,016","2,408","3,259",701,"1,134","1,868",410,425
2021년05월_남_20~29세,"15,554","2,320","2,403","2,749",666,"2,652","2,733","1,231",800
2021년05월_남_30~39세,"17,417","2,851","3,328","1,833","1,670","2,816","3,110","1,009",800
2021년05월_남_40~49세,"19,854","3,489","3,886","3,936","1,602","2,318","2,906",838,879
2021년05월_남_50~59세,"19,759","3,116","3,147","3,880","1,083","3,197","3,299","1,095",942
2021년05월_남_60~69세,"11,093","1,999","1,755","1,489",978,"1,803","1,598",639,832
2021년05월_남_70~79세,"3,562",687,578,563,334,480,479,207,234
2021년05월_남_80~89세,934,159,160,164,109,123,106,37,76
2021년05월_남_90~99세,68,15,11,12,10,8,9,2,1
2021년05월_남_100세 이상,4,0,0,1,0,1,0,0,2
2021년05월_여_총인구수,"105,184","18,121","19,730","19,033","8,031","13,792","17,652","4,201","4,624"
2021년05월_여_연령구간인구수,"105,184","18,121","19,730","19,033","8,031","13,792","17,652","4,201","4,624"
2021년05월_여_0~9세,"11,963","2,206","2,569","1,760","1,329","1,275","2,103",352,369
2021년05월_여_10~19세,"11,312","1,938","2,295","2,937",670,"1,023","1,749",354,346
2021년05월_여_20~29세,"11,605","1,804","2,009","2,156",500,"1,914","2,219",523,480
2021년05월_여_30~39세,"16,109","2,827","3,294","1,950","1,693","2,109","3,033",609,594
2021년05월_여_40~49세,"18,816","3,184","3,632","4,453","1,246","2,007","3,022",621,651
2021년05월_여_50~59세,"18,784","3,064","3,151","3,315","1,061","3,088","3,312",855,938
2021년05월_여_60~69세,"9,993","1,813","1,700","1,314",882,"1,542","1,375",580,787
2021년05월_여_70~79세,"4,049",834,659,707,347,505,484,194,319
2021년05월_여_80~89세,"2,154",379,361,374,252,273,299,92,124
2021년05월_여_90~99세,385,68,59,64,48,56,56,21,13
2021년05월_여_100세 이상,14,4,1,3,3,0,0,0,3
