,충청북도 단양군,충청북도 단양군 단양읍,충청북도 단양군 매포읍,충청북도 단양군 대강면,충청북도 단양군 가곡면,충청북도 단양군 영춘면,충청북도 단양군 어상천면,충청북도 단양군 적성면,충청북도 단양군 단성면
2021년08월_계_총인구수,"28,513","10,389","5,301","2,462","2,066","3,217","1,878","1,514","1,686"
2021년08월_계_연령구간인구수,"28,513","10,389","5,301","2,462","2,066","3,217","1,878","1,514","1,686"
2021년08월_계_0~9세,"1,125",612,246,58,51,66,41,20,31
2021년08월_계_10~19세,"1,899",912,398,100,133,173,64,30,89
2021년08월_계_20~29세,"2,086","1,063",430,123,104,129,83,62,92
2021년08월_계_30~39세,"1,864",970,388,89,71,127,65,76,78
2021년08월_계_40~49세,"3,122","1,428",660,191,174,298,132,115,124
2021년08월_계_50~59세,"5,410","1,915",964,487,391,659,382,284,328
2021년08월_계_60~69세,"6,690","1,904","1,068",697,585,880,592,474,490
2021년08월_계_70~79세,"3,819",982,726,412,339,536,308,257,259
2021년08월_계_80~89세,"2,197",528,376,260,194,304,189,174,172
2021년08월_계_90~99세,287,71,44,42,22,45,22,21,20
2021년08월_계_100세 이상,14,4,1,3,2,0,0,1,3
2021년08월_남_총인구수,"14,447","5,196","2,757","1,227","1,099","1,539","1,029",777,823
2021년08월_남_연령구간인구수,"14,447","5,196","2,757","1,227","1,099","1,539","1,029",777,823
2021년08월_남_0~9세,592,315,136,26,31,33,24,9,18
2021년08월_남_10~19세,"1,017",468,222,54,85,96,42,12,38
2021년08월_남_20~29세,"1,213",590,269,61,58,86,60,32,57
2021년08월_남_30~39세,"1,003",511,219,48,40,64,35,49,37
2021년08월_남_40~49세,"1,720",745,380,107,105,152,82,76,73
2021년08월_남_50~59세,"2,891","1,023",527,274,205,327,207,157,171
2021년08월_남_60~69세,"3,454",932,538,368,309,428,344,267,268
2021년08월_남_70~79세,"1,700",417,315,183,180,233,150,115,107
2021년08월_남_80~89세,781,180,139,95,79,111,76,54,47
2021년08월_남_90~99세,73,15,11,10,7,9,9,6,6
2021년08월_남_100세 이상,3,0,1,1,0,0,0,0,1
2021년08월_여_총인구수,"14,066","5,193","2,544","1,235",967,"1,678",849,737,863
2021년08월_여_연령구간인구수,"14,066","5,193","2,544","1,235",967,"1,678",849,737,863
2021년08월_여_0~9세,533,297,110,32,20,33,17,11,13
2021년08월_여_10~19세,882,444,176,46,48,77,22,18,51
2021년08월_여_20~29세,873,473,161,62,46,43,23,30,35
2021년08월_여_30~39세,861,459,169,41,31,63,30,27,41
2021년08월_여_40~49세,"1,402",683,280,84,69,146,50,39,51
2021년08월_여_50~59세,"2,519",892,437,213,186,332,175,127,157
2021년08월_여_60~69세,"3,236",972,530,329,276,452,248,207,222
2021년08월_여_70~79세,"2,119",565,411,229,159,303,158,142,152
2021년08월_여_80~89세,"1,416",348,237,165,115,193,113,120,125
2021년08월_여_90~99세,214,56,33,32,15,36,13,15,14
2021년08월_여_100세 이상,11,4,0,2,2,0,0,1,2
