카테고리,충청북도 단양군,충청북도 단양군 단양읍,충청북도 단양군 매포읍,충청북도 단양군 대강면,충청북도 단양군 가곡면,충청북도 단양군 영춘면,충청북도 단양군 어상천면,충청북도 단양군 적성면,충청북도 단양군 단성면
2020년02월_계_총인구수,"29,592","10,803","5,530","2,510","2,106","3,342","1,972","1,558","1,771"
2020년02월_계_연령구간인구수,"29,592","10,803","5,530","2,510","2,106","3,342","1,972","1,558","1,771"
2020년02월_계_0~9세,"1,280",681,282,60,58,93,51,21,34
2020년02월_계_10~19세,"2,086",999,421,109,142,179,86,38,112
2020년02월_계_20~29세,"2,406","1,195",511,127,108,156,103,83,123
2020년02월_계_30~39세,"2,156","1,078",448,114,92,170,90,77,87
2020년02월_계_40~49세,"3,496","1,544",743,201,201,359,165,132,151
2020년02월_계_50~59세,"5,821","2,036","1,003",543,417,701,432,315,374
2020년02월_계_60~69세,"6,061","1,722",973,628,537,799,525,438,439
2020년02월_계_70~79세,"3,928",989,757,446,356,547,319,259,255
2020년02월_계_80~89세,"2,081",489,355,236,173,301,183,173,171
2020년02월_계_90~99세,254,68,36,40,19,34,17,22,18
2020년02월_계_100세 이상,23,2,1,6,3,3,1,0,7
2020년02월_남_총인구수,"14,987","5,434","2,861","1,238","1,127","1,609","1,066",787,865
2020년02월_남_연령구간인구수,"14,987","5,434","2,861","1,238","1,127","1,609","1,066",787,865
2020년02월_남_0~9세,665,352,152,31,34,46,23,11,16
2020년02월_남_10~19세,"1,096",502,223,54,100,94,57,13,53
2020년02월_남_20~29세,"1,404",682,307,63,61,98,70,44,79
2020년02월_남_30~39세,"1,154",556,249,55,56,96,56,47,39
2020년02월_남_40~49세,"1,940",821,434,116,114,183,103,85,84
2020년02월_남_50~59세,"3,065","1,068",538,295,222,354,225,167,196
2020년02월_남_60~69세,"3,124",846,487,335,278,380,313,251,234
2020년02월_남_70~79세,"1,740",422,324,191,190,253,145,111,104
2020년02월_남_80~89세,728,171,137,85,66,98,65,53,53
2020년02월_남_90~99세,63,12,9,11,6,6,8,5,6
2020년02월_남_100세 이상,8,2,1,2,0,1,1,0,1
2020년02월_여_총인구수,"14,605","5,369","2,669","1,272",979,"1,733",906,771,906
2020년02월_여_연령구간인구수,"14,605","5,369","2,669","1,272",979,"1,733",906,771,906
2020년02월_여_0~9세,615,329,130,29,24,47,28,10,18
2020년02월_여_10~19세,990,497,198,55,42,85,29,25,59
2020년02월_여_20~29세,"1,002",513,204,64,47,58,33,39,44
2020년02월_여_30~39세,"1,002",522,199,59,36,74,34,30,48
2020년02월_여_40~49세,"1,556",723,309,85,87,176,62,47,67
2020년02월_여_50~59세,"2,756",968,465,248,195,347,207,148,178
2020년02월_여_60~69세,"2,937",876,486,293,259,419,212,187,205
2020년02월_여_70~79세,"2,188",567,433,255,166,294,174,148,151
2020년02월_여_80~89세,"1,353",318,218,151,107,203,118,120,118
2020년02월_여_90~99세,191,56,27,29,13,28,9,17,12
2020년02월_여_100세 이상,15,0,0,4,3,2,0,0,6
