카테고리,서울특별시 서초구,서울특별시 서초구 서초1동,서울특별시 서초구 서초2동,서울특별시 서초구 서초3동,서울특별시 서초구 서초4동,서울특별시 서초구 잠원동,서울특별시 서초구 반포본동,서울특별시 서초구 반포1동,서울특별시 서초구 반포2동,서울특별시 서초구 반포3동,서울특별시 서초구 반포4동,서울특별시 서초구 방배본동,서울특별시 서초구 방배1동,서울특별시 서초구 방배2동,서울특별시 서초구 방배3동,서울특별시 서초구 방배4동,서울특별시 서초구 양재1동,서울특별시 서초구 양재2동,서울특별시 서초구 내곡동
2021년08월_계_총인구수,"417,568","20,616","25,170","32,437","30,910","26,845","7,125","34,007","15,737","22,205","19,053","20,859","16,916","19,708","19,266","23,508","43,356","22,157","17,693"
2021년08월_계_연령구간인구수,"417,568","20,616","25,170","32,437","30,910","26,845","7,125","34,007","15,737","22,205","19,053","20,859","16,916","19,708","19,266","23,508","43,356","22,157","17,693"
2021년08월_계_0~9세,"32,470","1,399","2,229","1,756","2,890","2,003",331,"3,247","1,736","1,902","1,626","1,439","1,096","1,122","1,284","1,600","3,573","1,384","1,853"
2021년08월_계_10~19세,"44,778","1,918","2,316","2,837","4,130","3,341","1,098","3,761","2,813","2,978","2,180","2,747","1,317","1,624","1,839","2,646","4,330","1,586","1,317"
2021년08월_계_20~29세,"53,378","2,842","3,383","5,468","3,511","3,394",926,"4,214","1,328","2,452","2,209","2,649","2,382","2,684","2,377","3,074","5,210","3,372","1,903"
2021년08월_계_30~39세,"60,785","3,479","4,757","5,535","3,480","3,504",563,"5,569","1,382","2,477","2,507","2,350","2,878","3,041","2,518","3,409","6,412","4,358","2,566"
2021년08월_계_40~49세,"75,997","3,731","4,660","5,056","6,205","5,192","1,296","7,026","3,617","4,516","3,545","3,861","2,744","2,999","2,964","4,318","7,567","3,669","3,031"
2021년08월_계_50~59세,"62,894","2,973","3,361","4,925","4,832","4,537","1,374","4,488","2,170","3,579","2,883","3,481","2,444","3,061","3,206","3,593","6,226","3,341","2,420"
2021년08월_계_60~69세,"48,304","2,377","2,523","3,746","3,105","2,825",789,"3,274","1,374","2,283","2,327","2,296","2,149","2,892","2,905","2,464","5,753","2,685","2,537"
2021년08월_계_70~79세,"27,045","1,311","1,410","2,166","1,859","1,362",526,"1,756",922,"1,368","1,248","1,315","1,321","1,635","1,496","1,602","3,022","1,287","1,439"
2021년08월_계_80~89세,"10,059",495,455,815,753,572,192,562,341,532,438,611,511,551,572,706,"1,031",387,535
2021년08월_계_90~99세,"1,746",90,69,125,129,109,24,102,46,107,87,103,69,94,101,93,226,84,88
2021년08월_계_100세 이상,112,1,7,8,16,6,6,8,8,11,3,7,5,5,4,3,6,4,4
2021년08월_남_총인구수,"199,722","9,937","12,017","15,658","15,050","12,887","3,371","16,559","7,498","10,568","8,945","9,642","7,916","9,253","9,342","10,738","20,710","11,053","8,578"
2021년08월_남_연령구간인구수,"199,722","9,937","12,017","15,658","15,050","12,887","3,371","16,559","7,498","10,568","8,945","9,642","7,916","9,253","9,342","10,738","20,710","11,053","8,578"
2021년08월_남_0~9세,"16,704",737,"1,090",915,"1,548","1,039",181,"1,635",925,989,836,734,545,572,672,792,"1,824",742,928
2021년08월_남_10~19세,"22,787",995,"1,219","1,616","2,131","1,720",557,"1,908","1,371","1,521","1,115","1,280",699,808,940,"1,218","2,227",789,673
2021년08월_남_20~29세,"25,670","1,363","1,542","2,504","1,716","1,627",455,"1,949",645,"1,227","1,074","1,237","1,125","1,360","1,239","1,363","2,568","1,688",988
2021년08월_남_30~39세,"27,948","1,623","2,149","2,601","1,472","1,587",255,"2,590",522,"1,100","1,094","1,017","1,322","1,392","1,191","1,506","3,070","2,273","1,184"
2021년08월_남_40~49세,"35,657","1,787","2,233","2,370","2,877","2,372",541,"3,500","1,628","2,017","1,587","1,708","1,277","1,401","1,368","1,928","3,678","1,853","1,532"
2021년08월_남_50~59세,"31,042","1,437","1,681","2,421","2,524","2,313",683,"2,377","1,188","1,821","1,364","1,737","1,123","1,389","1,499","1,725","2,970","1,657","1,133"
2021년08월_남_60~69세,"22,304","1,128","1,172","1,781","1,464","1,341",377,"1,514",640,"1,041","1,059","1,061",958,"1,283","1,380","1,132","2,524","1,267","1,182"
2021년08월_남_70~79세,"12,652",626,667,"1,048",896,625,218,818,409,600,594,578,606,766,752,727,"1,399",611,712
2021년08월_남_80~89세,"4,451",210,239,364,373,231,94,242,159,220,195,258,231,257,271,327,397,159,224
2021년08월_남_90~99세,477,31,22,34,46,29,9,25,7,31,26,32,26,24,30,19,52,13,21
2021년08월_남_100세 이상,30,0,3,4,3,3,1,1,4,1,1,0,4,1,0,1,1,1,1
2021년08월_여_총인구수,"217,846","10,679","13,153","16,779","15,860","13,958","3,754","17,448","8,239","11,637","10,108","11,217","9,000","10,455","9,924","12,770","22,646","11,104","9,115"
2021년08월_여_연령구간인구수,"217,846","10,679","13,153","16,779","15,860","13,958","3,754","17,448","8,239","11,637","10,108","11,217","9,000","10,455","9,924","12,770","22,646","11,104","9,115"
2021년08월_여_0~9세,"15,766",662,"1,139",841,"1,342",964,150,"1,612",811,913,790,705,551,550,612,808,"1,749",642,925
2021년08월_여_10~19세,"21,991",923,"1,097","1,221","1,999","1,621",541,"1,853","1,442","1,457","1,065","1,467",618,816,899,"1,428","2,103",797,644
2021년08월_여_20~29세,"27,708","1,479","1,841","2,964","1,795","1,767",471,"2,265",683,"1,225","1,135","1,412","1,257","1,324","1,138","1,711","2,642","1,684",915
2021년08월_여_30~39세,"32,837","1,856","2,608","2,934","2,008","1,917",308,"2,979",860,"1,377","1,413","1,333","1,556","1,649","1,327","1,903","3,342","2,085","1,382"
2021년08월_여_40~49세,"40,340","1,944","2,427","2,686","3,328","2,820",755,"3,526","1,989","2,499","1,958","2,153","1,467","1,598","1,596","2,390","3,889","1,816","1,499"
