,서울특별시 송파구,서울특별시 송파구 풍납1동,서울특별시 송파구 풍납2동,서울특별시 송파구 거여1동,서울특별시 송파구 거여2동,서울특별시 송파구 마천1동,서울특별시 송파구 마천2동,서울특별시 송파구 방이1동,서울특별시 송파구 방이2동,서울특별시 송파구 오륜동,서울특별시 송파구 오금동,서울특별시 송파구 송파1동,서울특별시 송파구 송파2동,서울특별시 송파구 석촌동,서울특별시 송파구 삼전동,서울특별시 송파구 가락본동,서울특별시 송파구 가락1동,서울특별시 송파구 가락2동,서울특별시 송파구 문정1동,서울특별시 송파구 문정2동,서울특별시 송파구 장지동,서울특별시 송파구 위례동,서울특별시 송파구 잠실본동,서울특별시 송파구 잠실2동,서울특별시 송파구 잠실3동,서울특별시 송파구 잠실4동,서울특별시 송파구 잠실6동,서울특별시 송파구 잠실7동
2021년04월_계_총인구수,"660,160","13,432","25,277","12,739","19,068","19,306","19,194","15,958","26,277","18,303","38,933","24,390","19,599","31,981","31,003","26,762","27,179","32,748","20,384","29,192","29,735","32,102","28,288","35,587","34,713","21,386","16,892","9,732"
2021년04월_계_연령구간인구수,"660,160","13,432","25,277","12,739","19,068","19,306","19,194","15,958","26,277","18,303","38,933","24,390","19,599","31,981","31,003","26,762","27,179","32,748","20,384","29,192","29,735","32,102","28,288","35,587","34,713","21,386","16,892","9,732"
2021년04월_계_0~9세,"49,108",667,"1,919",630,"1,331",893,872,"1,037","1,167","1,282","2,776","1,177","1,530","1,567","1,513","1,590","3,079","2,534","1,300","1,655","2,317","5,101","1,230","4,018","3,207","2,729","1,423",564
2021년04월_계_10~19세,"58,170",855,"2,026",967,"1,505","1,592","1,325","1,651","1,237","2,708","3,124","1,355","1,847","1,845","1,967","1,856","2,245","3,471","1,496","1,435","2,690","4,235","1,736","5,822","4,044","2,393","1,721","1,022"
2021년04월_계_20~29세,"92,675","1,656","3,830","1,833","2,240","2,319","2,441","2,453","5,274","2,175","5,468","4,532","2,762","5,481","5,319","4,118","3,306","4,535","3,178","5,221","4,062","3,033","5,089","3,308","3,775","1,993","2,001","1,273"
2021년04월_계_30~39세,"107,997","1,867","4,202","1,732","2,685","2,185","2,228","2,239","6,034","1,694","5,549","5,328","2,859","6,911","6,532","4,710","5,018","4,749","3,539","7,430","4,717","5,401","6,117","3,861","4,243","2,944","2,241",982
2021년04월_계_40~49세,"107,983","1,879","4,038","1,847","2,977","2,769","2,705","2,612","3,668","3,297","5,713","3,465","3,082","4,841","5,118","3,873","4,356","5,604","2,880","4,340","4,727","6,489","4,409","8,580","6,226","4,353","2,776","1,359"
2021년04월_계_50~59세,"101,452","2,319","3,646","2,305","3,298","3,555","3,625","2,673","3,626","3,124","6,804","3,414","3,165","4,655","4,465","4,654","3,983","5,244","3,338","3,507","4,836","3,778","4,097","4,912","5,192","2,928","2,637","1,672"
2021년04월_계_60~69세,"85,310","2,475","3,333","1,942","2,805","3,279","3,442","2,000","3,208","2,491","5,737","3,063","2,708","3,949","3,708","3,743","3,410","4,139","2,963","3,168","3,820","2,550","3,405","2,950","4,694","2,446","2,419","1,463"
2021년04월_계_70~79세,"40,580","1,191","1,630","1,054","1,554","1,898","1,743",858,"1,507","1,071","2,534","1,483","1,156","1,995","1,728","1,546","1,391","1,703","1,203","1,630","1,737","1,058","1,615","1,584","2,484","1,168","1,150",909
2021년04월_계_80~89세,"14,294",460,569,373,562,720,708,367,480,365,"1,005",493,405,639,540,584,320,657,409,687,671,355,509,484,713,363,440,416
2021년04월_계_90~99세,"2,477",62,81,53,105,94,102,62,73,95,209,79,80,91,106,85,68,107,73,113,153,99,76,66,130,68,79,68
2021년04월_계_100세 이상,114,1,3,3,6,2,3,6,3,1,14,1,5,7,7,3,3,5,5,6,5,3,5,2,5,1,5,4
2021년04월_남_총인구수,"318,374","6,581","12,028","6,458","9,349","9,878","9,740","7,691","12,294","9,002","18,868","11,403","9,403","15,254","14,634","13,242","13,172","16,099","10,086","13,488","14,357","15,609","13,350","17,045","16,531","10,275","7,985","4,552"
2021년04월_남_연령구간인구수,"318,374","6,581","12,028","6,458","9,349","9,878","9,740","7,691","12,294","9,002","18,868","11,403","9,403","15,254","14,634","13,242","13,172","16,099","10,086","13,488","14,357","15,609","13,350","17,045","16,531","10,275","7,985","4,552"
2021년04월_남_0~9세,"25,299",375,998,334,688,465,426,505,624,695,"1,435",608,792,789,773,804,"1,654","1,323",679,827,"1,182","2,575",615,"2,054","1,668","1,418",697,296
2021년04월_남_10~19세,"29,756",439,"1,015",496,812,817,684,853,672,"1,495","1,657",664,911,915,"1,037",965,"1,096","1,849",783,731,"1,379","2,111",876,"2,919","2,043","1,237",875,425
2021년04월_남_20~29세,"44,058",875,"1,691",974,"1,147","1,208","1,309","1,242","2,174","1,147","2,843","2,011","1,293","2,514","2,386","2,015","1,649","2,275","1,591","2,012","2,028","1,523","2,221","1,575","1,808",978,954,615
2021년04월_남_30~39세,"51,718",973,"1,991",919,"1,363","1,207","1,223","1,081","2,930",713,"2,727","2,604","1,333","3,330","3,188","2,392","2,341","2,306","1,823","3,423","2,366","2,482","2,995","1,553","1,806","1,209",990,450
2021년04월_남_40~49세,"52,075",918,"1,946",925,"1,469","1,443","1,421","1,202","1,809","1,452","2,671","1,619","1,486","2,402","2,473","1,915","2,107","2,689","1,405","2,101","2,321","3,271","2,156","3,992","2,886","2,116","1,288",592
2021년04월_남_50~59세,"49,211","1,128","1,776","1,171","1,597","1,902","1,865","1,250","1,687","1,544","3,175","1,560","1,527","2,253","2,088","2,273","1,866","2,554","1,560","1,712","2,233","1,854","1,930","2,661","2,566","1,435","1,228",816
2021년04월_남_60~69세,"40,202","1,131","1,581",942,"1,323","1,646","1,712",950,"1,460","1,189","2,709","1,392","1,275","1,831","1,648","1,851","1,616","1,979","1,457","1,491","1,805","1,158","1,553","1,338","2,173","1,139","1,168",685
2021년04월_남_70~79세,"19,834",545,789,533,728,904,797,459,719,594,"1,256",703,614,912,835,754,709,846,605,837,807,522,772,736,"1,246",585,566,461
2021년04월_남_80~89세,"5,608",176,222,149,205,258,291,132,196,148,347,218,158,281,183,244,119,249,165,313,212,103,207,205,305,143,187,192
2021년04월_남_90~99세,587,20,18,13,16,28,12,17,21,24,45,24,14,26,22,27,15,28,17,38,24,10,24,12,28,15,29,20
2021년04월_남_100세 이상,26,1,1,2,1,0,0,0,2,1,3,0,0,1,1,2,0,1,1,3,0,0,1,0,2,0,3,0
2021년04월_여_총인구수,"341,786","6,851","13,249","6,281","9,719","9,428","9,454","8,267","13,983","9,301","20,065","12,987","10,196","16,727","16,369","13,520","14,007","16,649","10,298","15,704","15,378","16,493","14,938","18,542","18,182","11,111","8,907","5,180"
2021년04월_여_연령구간인구수,"341,786","6,851","13,249","6,281","9,719","9,428","9,454","8,267","13,983","9,301","20,065","12,987","10,196","16,727","16,369","13,520","14,007","16,649","10,298","15,704","15,378","16,493","14,938","18,542","18,182","11,111","8,907","5,180"
2021년04월_여_0~9세,"23,809",292,921,296,643,428,446,532,543,587,"1,341",569,738,778,740,786,"1,425","1,211",621,828,"1,135","2,526",615,"1,964","1,539","1,311",726,268
2021년04월_여_10~19세,"28,414",416,"1,011",471,693,775,641,798,565,"1,213","1,467",691,936,930,930,891,"1,149","1,622",713,704,"1,311","2,124",860,"2,903","2,001","1,156",846,597
2021년04월_여_20~29세,"48,617",781,"2,139",859,"1,093","1,111","1,132","1,211","3,100","1,028","2,625","2,521","1,469","2,967","2,933","2,103","1,657","2,260","1,587","3,209","2,034","1,510","2,868","1,733","1,967","1,015","1,047",658
2021년04월_여_30~39세,"56,279",894,"2,211",813,"1,322",978,"1,005","1,158","3,104",981,"2,822","2,724","1,526","3,581","3,344","2,318","2,677","2,443","1,716","4,007","2,351","2,919","3,122","2,308","2,437","1,735","1,251",532
2021년04월_여_40~49세,"55,908",961,"2,092",922,"1,508","1,326","1,284","1,410","1,859","1,845","3,042","1,846","1,596","2,439","2,645","1,958","2,249","2,915","1,475","2,239","2,406","3,218","2,253","4,588","3,340","2,237","1,488",767
2021년04월_여_50~59세,"52,241","1,191","1,870","1,134","1,701","1,653","1,760","1,423","1,939","1,580","3,629","1,854","1,638","2,402","2,377","2,381","2,117","2,690","1,778","1,795","2,603","1,924","2,167","2,251","2,626","1,493","1,409",856
