카테고리,인천광역시 옹진군,인천광역시 옹진군 북도면,인천광역시 옹진군 북도면장봉출장소,인천광역시 옹진군 백령면,인천광역시 옹진군 대청면,인천광역시 옹진군 대청면소청출장소,인천광역시 옹진군 덕적면,인천광역시 옹진군 영흥면,인천광역시 옹진군 자월면,인천광역시 옹진군 자월면이작출장소,인천광역시 옹진군 연평면
2020년05월_계_총인구수,"20,390","1,162",994,"5,200","1,242",237,"1,921","6,258",935,378,"2,063"
2020년05월_계_연령구간인구수,"20,390","1,162",994,"5,200","1,242",237,"1,921","6,258",935,378,"2,063"
2020년05월_계_0~9세,979,38,31,367,58,2,44,306,22,15,96
2020년05월_계_10~19세,"1,139",52,30,302,64,9,94,400,40,16,132
2020년05월_계_20~29세,"2,685",85,55,"1,041",192,43,135,562,83,24,465
2020년05월_계_30~39세,"1,948",84,59,627,126,19,88,633,47,23,242
2020년05월_계_40~49세,"2,425",112,128,653,115,15,197,804,96,37,268
2020년05월_계_50~59세,"3,649",213,203,730,238,31,363,"1,280",182,77,332
2020년05월_계_60~69세,"3,874",316,266,740,209,51,466,"1,233",218,83,292
2020년05월_계_70~79세,"2,329",157,146,428,164,50,324,717,149,61,133
2020년05월_계_80~89세,"1,118",90,56,245,68,14,169,271,85,35,85
2020년05월_계_90~99세,233,14,18,64,8,3,40,48,13,7,18
2020년05월_계_100세 이상,11,1,2,3,0,0,1,4,0,0,0
2020년05월_남_총인구수,"11,602",610,529,"3,091",716,150,"1,042","3,479",492,193,"1,300"
2020년05월_남_연령구간인구수,"11,602",610,529,"3,091",716,150,"1,042","3,479",492,193,"1,300"
2020년05월_남_0~9세,502,17,17,194,28,0,19,166,13,8,40
2020년05월_남_10~19세,631,27,19,149,37,8,50,231,22,8,80
2020년05월_남_20~29세,"1,952",46,30,824,137,37,81,366,47,10,374
2020년05월_남_30~39세,"1,214",46,34,386,84,16,54,389,27,15,163
2020년05월_남_40~49세,"1,547",65,79,431,77,11,128,488,63,20,185
2020년05월_남_50~59세,"2,099",129,120,415,131,22,231,694,106,47,204
2020년05월_남_60~69세,"2,064",165,134,391,119,28,262,660,113,40,152
2020년05월_남_70~79세,"1,145",79,79,203,68,22,149,378,67,36,64
2020년05월_남_80~89세,396,32,16,82,32,6,58,97,32,8,33
2020년05월_남_90~99세,48,3,0,15,3,0,10,9,2,1,5
2020년05월_남_100세 이상,4,1,1,1,0,0,0,1,0,0,0
2020년05월_여_총인구수,"8,788",552,465,"2,109",526,87,879,"2,779",443,185,763
2020년05월_여_연령구간인구수,"8,788",552,465,"2,109",526,87,879,"2,779",443,185,763
2020년05월_여_0~9세,477,21,14,173,30,2,25,140,9,7,56
2020년05월_여_10~19세,508,25,11,153,27,1,44,169,18,8,52
2020년05월_여_20~29세,733,39,25,217,55,6,54,196,36,14,91
2020년05월_여_30~39세,734,38,25,241,42,3,34,244,20,8,79
2020년05월_여_40~49세,878,47,49,222,38,4,69,316,33,17,83
2020년05월_여_50~59세,"1,550",84,83,315,107,9,132,586,76,30,128
2020년05월_여_60~69세,"1,810",151,132,349,90,23,204,573,105,43,140
2020년05월_여_70~79세,"1,184",78,67,225,96,28,175,339,82,25,69
2020년05월_여_80~89세,722,58,40,163,36,8,111,174,53,27,52
2020년05월_여_90~99세,185,11,18,49,5,3,30,39,11,6,13
2020년05월_여_100세 이상,7,0,1,2,0,0,1,3,0,0,0
