카테고리,경상남도 함안군,경상남도 함안군 가야읍,경상남도 함안군 칠원읍,경상남도 함안군 함안면,경상남도 함안군 군북면,경상남도 함안군 법수면,경상남도 함안군 대산면,경상남도 함안군 칠서면,경상남도 함안군 칠북면,경상남도 함안군 산인면,경상남도 함안군 여항면
2020년09월_계_총인구수,"64,438","18,767","19,602","2,400","6,195","2,898","3,513","5,424","1,961","2,764",914
2020년09월_계_연령구간인구수,"64,438","18,767","19,602","2,400","6,195","2,898","3,513","5,424","1,961","2,764",914
2020년09월_계_0~9세,"4,232","1,342","1,989",57,308,64,64,303,23,66,16
2020년09월_계_10~19세,"6,006","2,000","2,646",114,306,88,143,466,65,151,27
2020년09월_계_20~29세,"5,497","2,048","1,572",161,465,182,243,437,119,219,51
2020년09월_계_30~39세,"5,771","1,936","2,122",155,542,146,144,419,88,170,49
2020년09월_계_40~49세,"9,447","2,913","3,833",215,594,277,311,811,168,262,63
2020년09월_계_50~59세,"11,355","3,403","3,135",418,"1,061",567,614,"1,055",362,558,182
2020년09월_계_60~69세,"10,854","2,700","2,432",548,"1,260",711,811,923,503,699,267
2020년09월_계_70~79세,"6,700","1,461","1,223",416,910,492,683,633,365,366,151
2020년09월_계_80~89세,"4,023",844,555,281,661,330,434,334,247,243,94
2020년09월_계_90~99세,542,115,91,35,86,41,66,43,21,30,14
2020년09월_계_100세 이상,11,5,4,0,2,0,0,0,0,0,0
2020년09월_남_총인구수,"32,687","9,458","9,934","1,193","3,204","1,469","1,743","2,797","1,013","1,406",470
2020년09월_남_연령구간인구수,"32,687","9,458","9,934","1,193","3,204","1,469","1,743","2,797","1,013","1,406",470
2020년09월_남_0~9세,"2,129",692,982,26,151,30,37,161,9,31,10
2020년09월_남_10~19세,"3,197","1,093","1,392",63,173,48,70,219,36,87,16
2020년09월_남_20~29세,"3,197","1,192",866,93,290,112,149,250,78,136,31
2020년09월_남_30~39세,"2,939",976,995,87,311,88,83,222,54,92,31
2020년09월_남_40~49세,"5,139","1,507","1,966",127,382,184,197,461,114,159,42
2020년09월_남_50~59세,"6,219","1,775","1,721",227,617,329,358,603,214,277,98
2020년09월_남_60~69세,"5,621","1,341","1,241",296,673,373,409,498,262,384,144
2020년09월_남_70~79세,"2,922",603,582,182,385,198,292,280,156,175,69
2020년09월_남_80~89세,"1,210",251,166,87,198,97,135,99,87,62,28
2020년09월_남_90~99세,111,28,22,5,22,10,13,4,3,3,1
2020년09월_남_100세 이상,3,0,1,0,2,0,0,0,0,0,0
2020년09월_여_총인구수,"31,751","9,309","9,668","1,207","2,991","1,429","1,770","2,627",948,"1,358",444
2020년09월_여_연령구간인구수,"31,751","9,309","9,668","1,207","2,991","1,429","1,770","2,627",948,"1,358",444
2020년09월_여_0~9세,"2,103",650,"1,007",31,157,34,27,142,14,35,6
2020년09월_여_10~19세,"2,809",907,"1,254",51,133,40,73,247,29,64,11
2020년09월_여_20~29세,"2,300",856,706,68,175,70,94,187,41,83,20
2020년09월_여_30~39세,"2,832",960,"1,127",68,231,58,61,197,34,78,18
2020년09월_여_40~49세,"4,308","1,406","1,867",88,212,93,114,350,54,103,21
2020년09월_여_50~59세,"5,136","1,628","1,414",191,444,238,256,452,148,281,84
2020년09월_여_60~69세,"5,233","1,359","1,191",252,587,338,402,425,241,315,123
2020년09월_여_70~79세,"3,778",858,641,234,525,294,391,353,209,191,82
2020년09월_여_80~89세,"2,813",593,389,194,463,233,299,235,160,181,66
2020년09월_여_90~99세,431,87,69,30,64,31,53,39,18,27,13
2020년09월_여_100세 이상,8,5,3,0,0,0,0,0,0,0,0
