카테고리,부산광역시 기장군,부산광역시 기장군 기장읍,부산광역시 기장군 장안읍,부산광역시 기장군 정관읍,부산광역시 기장군 일광면,부산광역시 기장군 철마면
2020년05월_계_총인구수,"169,142","53,945","8,746","82,207","16,106","8,138"
2020년05월_계_연령구간인구수,"169,142","53,945","8,746","82,207","16,106","8,138"
2020년05월_계_0~9세,"19,168","3,493",430,"12,858","1,943",444
2020년05월_계_10~19세,"16,992","4,710",471,"10,333","1,045",433
2020년05월_계_20~29세,"16,249","6,373","1,013","6,626","1,470",767
2020년05월_계_30~39세,"24,945","5,858","1,070","14,401","2,880",736
2020년05월_계_40~49세,"31,041","8,657",987,"18,033","2,333","1,031"
2020년05월_계_50~59세,"23,102","9,553","1,616","8,194","2,283","1,456"
2020년05월_계_60~69세,"20,097","7,917","1,602","6,680","2,198","1,700"
2020년05월_계_70~79세,"11,875","4,894",953,"3,658","1,311","1,059"
2020년05월_계_80~89세,"4,922","2,160",510,"1,248",551,453
2020년05월_계_90~99세,707,308,84,170,88,57
2020년05월_계_100세 이상,44,22,10,6,4,2
2020년05월_남_총인구수,"83,765","26,301","4,678","40,575","8,118","4,093"
2020년05월_남_연령구간인구수,"83,765","26,301","4,678","40,575","8,118","4,093"
2020년05월_남_0~9세,"9,737","1,798",223,"6,530",981,205
2020년05월_남_10~19세,"8,902","2,447",272,"5,396",545,242
2020년05월_남_20~29세,"8,629","3,412",605,"3,334",834,444
2020년05월_남_30~39세,"12,304","3,051",642,"6,757","1,477",377
2020년05월_남_40~49세,"16,052","4,319",581,"9,316","1,262",574
2020년05월_남_50~59세,"11,643","4,724",881,"4,164","1,151",723
2020년05월_남_60~69세,"9,332","3,703",838,"2,901","1,071",819
2020년05월_남_70~79세,"5,384","2,058",463,"1,722",606,535
2020년05월_남_80~89세,"1,650",736,151,428,176,159
2020년05월_남_90~99세,125,51,17,27,15,15
2020년05월_남_100세 이상,7,2,5,0,0,0
2020년05월_여_총인구수,"85,377","27,644","4,068","41,632","7,988","4,045"
2020년05월_여_연령구간인구수,"85,377","27,644","4,068","41,632","7,988","4,045"
2020년05월_여_0~9세,"9,431","1,695",207,"6,328",962,239
2020년05월_여_10~19세,"8,090","2,263",199,"4,937",500,191
2020년05월_여_20~29세,"7,620","2,961",408,"3,292",636,323
2020년05월_여_30~39세,"12,641","2,807",428,"7,644","1,403",359
2020년05월_여_40~49세,"14,989","4,338",406,"8,717","1,071",457
2020년05월_여_50~59세,"11,459","4,829",735,"4,030","1,132",733
2020년05월_여_60~69세,"10,765","4,214",764,"3,779","1,127",881
2020년05월_여_70~79세,"6,491","2,836",490,"1,936",705,524
2020년05월_여_80~89세,"3,272","1,424",359,820,375,294
2020년05월_여_90~99세,582,257,67,143,73,42
2020년05월_여_100세 이상,37,20,5,6,4,2
