카테고리,전라북도 정읍시,전라북도 정읍시 신태인읍,전라북도 정읍시 북면,전라북도 정읍시 입암면,전라북도 정읍시 소성면,전라북도 정읍시 고부면,전라북도 정읍시 영원면,전라북도 정읍시 덕천면,전라북도 정읍시 이평면,전라북도 정읍시 정우면,전라북도 정읍시 태인면,전라북도 정읍시 감곡면,전라북도 정읍시 옹동면,전라북도 정읍시 칠보면,전라북도 정읍시 산내면,전라북도 정읍시 산외면,전라북도 정읍시 수성동,전라북도 정읍시 장명동,전라북도 정읍시 내장상동,전라북도 정읍시 시기동,전라북도 정읍시 초산동,전라북도 정읍시 연지동,전라북도 정읍시 농소동,전라북도 정읍시 상교동
2021년02월_계_총인구수,"108,344","5,534","4,288","2,853","2,078","2,801","1,794","1,805","2,121","2,593","3,444","2,778","1,689","2,326","1,224","2,104","17,505","2,999","20,586","3,366","10,389","6,044","4,108","3,915"
2021년02월_계_연령구간인구수,"108,344","5,534","4,288","2,853","2,078","2,801","1,794","1,805","2,121","2,593","3,444","2,778","1,689","2,326","1,224","2,104","17,505","2,999","20,586","3,366","10,389","6,044","4,108","3,915"
2021년02월_계_0~9세,"6,244",246,172,55,61,70,49,41,41,84,70,53,49,87,32,56,"1,414",148,"1,609",155,957,473,187,135
2021년02월_계_10~19세,"9,601",366,273,151,73,116,70,103,100,109,159,67,65,142,51,87,"2,011",287,"2,729",270,"1,323",508,310,231
2021년02월_계_20~29세,"10,536",382,377,192,109,148,110,133,118,169,240,132,86,153,75,115,"2,207",334,"2,449",339,"1,210",611,422,425
2021년02월_계_30~39세,"8,791",379,311,138,114,198,83,88,94,143,167,168,106,110,50,98,"1,908",230,"1,879",248,"1,054",634,292,299
2021년02월_계_40~49세,"14,737",645,454,239,186,264,159,181,193,233,345,218,145,236,81,191,"3,127",474,"3,410",377,"1,729",945,482,423
2021년02월_계_50~59세,"18,364",896,844,551,353,440,259,350,333,455,572,431,279,402,241,366,"2,990",542,"3,385",530,"1,684",971,803,687
2021년02월_계_60~69세,"17,144","1,011",814,587,412,611,392,362,429,534,708,667,336,442,285,447,"1,985",420,"2,553",618,"1,231",873,739,688
2021년02월_계_70~79세,"13,371",953,588,490,421,529,374,296,423,471,620,585,334,411,236,414,"1,204",337,"1,626",517,785,681,506,570
2021년02월_계_80~89세,"8,257",574,395,393,312,373,251,211,337,349,486,395,238,306,151,290,572,200,807,243,371,290,324,389
2021년02월_계_90~99세,"1,182",74,54,55,36,48,45,38,52,43,74,58,49,34,22,40,67,24,122,53,38,55,38,63
2021년02월_계_100세 이상,117,8,6,2,1,4,2,2,1,3,3,4,2,3,0,0,20,3,17,16,7,3,5,5
2021년02월_남_총인구수,"53,690","2,710","2,160","1,423","1,061","1,401",885,911,"1,051","1,298","1,695","1,392",851,"1,195",618,"1,056","8,872","1,479","9,890","1,607","5,130","3,002","1,985","2,018"
2021년02월_남_연령구간인구수,"53,690","2,710","2,160","1,423","1,061","1,401",885,911,"1,051","1,298","1,695","1,392",851,"1,195",618,"1,056","8,872","1,479","9,890","1,607","5,130","3,002","1,985","2,018"
2021년02월_남_0~9세,"3,203",121,79,25,37,34,30,22,22,48,40,29,24,39,15,26,723,68,809,83,515,248,93,73
2021년02월_남_10~19세,"5,095",223,149,86,41,50,37,59,63,52,82,39,33,90,28,41,"1,073",146,"1,373",137,751,253,163,126
2021년02월_남_20~29세,"5,813",214,208,120,67,104,62,75,74,103,135,75,48,90,47,61,"1,236",179,"1,269",188,662,320,238,238
2021년02월_남_30~39세,"4,665",221,169,79,70,129,53,60,53,80,107,104,71,72,34,61,"1,004",117,903,124,503,323,155,173
2021년02월_남_40~49세,"7,742",365,250,142,117,181,104,108,125,147,213,148,97,139,48,117,"1,587",247,"1,595",202,808,515,245,242
2021년02월_남_50~59세,"9,892",483,471,327,214,249,152,199,199,274,334,259,159,246,137,233,"1,577",293,"1,690",262,831,494,421,388
2021년02월_남_60~69세,"8,509",498,428,311,210,316,197,183,221,276,339,324,176,236,162,235,961,221,"1,218",279,582,418,354,364
2021년02월_남_70~79세,"5,769",392,271,199,193,213,167,137,178,198,258,278,149,174,92,180,512,136,730,212,337,305,205,253
2021년02월_남_80~89세,"2,723",171,127,126,104,115,76,58,102,110,158,125,81,104,51,93,178,68,275,105,133,115,98,150
2021년02월_남_90~99세,257,22,8,8,8,8,7,10,14,10,27,11,13,5,4,9,15,3,23,13,7,10,12,10
2021년02월_남_100세 이상,22,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,6,1,5,2,1,1,1,1
2021년02월_여_총인구수,"54,654","2,824","2,128","1,430","1,017","1,400",909,894,"1,070","1,295","1,749","1,386",838,"1,131",606,"1,048","8,633","1,520","10,696","1,759","5,259","3,042","2,123","1,897"
2021년02월_여_연령구간인구수,"54,654","2,824","2,128","1,430","1,017","1,400",909,894,"1,070","1,295","1,749","1,386",838,"1,131",606,"1,048","8,633","1,520","10,696","1,759","5,259","3,042","2,123","1,897"
2021년02월_여_0~9세,"3,041",125,93,30,24,36,19,19,19,36,30,24,25,48,17,30,691,80,800,72,442,225,94,62
2021년02월_여_10~19세,"4,506",143,124,65,32,66,33,44,37,57,77,28,32,52,23,46,938,141,"1,356",133,572,255,147,105
2021년02월_여_20~29세,"4,723",168,169,72,42,44,48,58,44,66,105,57,38,63,28,54,971,155,"1,180",151,548,291,184,187
2021년02월_여_30~39세,"4,126",158,142,59,44,69,30,28,41,63,60,64,35,38,16,37,904,113,976,124,551,311,137,126
2021년02월_여_40~49세,"6,995",280,204,97,69,83,55,73,68,86,132,70,48,97,33,74,"1,540",227,"1,815",175,921,430,237,181
2021년02월_여_50~59세,"8,472",413,373,224,139,191,107,151,134,181,238,172,120,156,104,133,"1,413",249,"1,695",268,853,477,382,299
2021년02월_여_60~69세,"8,635",513,386,276,202,295,195,179,208,258,369,343,160,206,123,212,"1,024",199,"1,335",339,649,455,385,324
2021년02월_여_70~79세,"7,602",561,317,291,228,316,207,159,245,273,362,307,185,237,144,234,692,201,896,305,448,376,301,317
