카테고리,울산광역시 동구,울산광역시 동구 방어동,울산광역시 동구 일산동,울산광역시 동구 화정동,울산광역시 동구 대송동,울산광역시 동구 전하1동,울산광역시 동구 전하2동,울산광역시 동구 남목1동,울산광역시 동구 남목2동,울산광역시 동구 남목3동
2021년12월_계_총인구수,"154,096","40,170","5,772","19,473","11,562","14,720","20,581","8,744","21,063","12,011"
2021년12월_계_연령구간인구수,"154,096","40,170","5,772","19,473","11,562","14,720","20,581","8,744","21,063","12,011"
2021년12월_계_0~9세,"13,711","3,384",231,"2,038",847,"1,264","1,962",593,"2,233","1,159"
2021년12월_계_10~19세,"15,654","4,167",350,"1,920","1,132","1,381","2,332",928,"2,155","1,289"
2021년12월_계_20~29세,"16,724","4,446",701,"1,912","1,454","1,780","2,247",853,"2,255","1,076"
2021년12월_계_30~39세,"21,336","5,655",749,"2,710","1,409","2,013","2,570","1,010","3,567","1,653"
2021년12월_계_40~49세,"26,172","7,344",827,"3,251","1,933","2,344","3,455","1,425","3,508","2,085"
2021년12월_계_50~59세,"24,775","6,631","1,018","3,117","2,222","2,293","3,652","1,354","2,742","1,746"
2021년12월_계_60~69세,"23,831","5,624","1,186","2,903","1,795","2,324","3,010","1,705","3,306","1,978"
2021년12월_계_70~79세,"8,881","2,149",533,"1,138",568,"1,020","1,006",667,"1,050",750
2021년12월_계_80~89세,"2,645",676,158,429,179,268,295,191,212,237
2021년12월_계_90~99세,359,92,19,53,22,32,50,18,35,38
2021년12월_계_100세 이상,8,2,0,2,1,1,2,0,0,0
2021년12월_남_총인구수,"80,417","21,602","3,089","9,995","6,062","7,582","10,441","4,473","11,118","6,055"
2021년12월_남_연령구간인구수,"80,417","21,602","3,089","9,995","6,062","7,582","10,441","4,473","11,118","6,055"
2021년12월_남_0~9세,"6,981","1,722",114,"1,025",437,653,965,309,"1,163",593
2021년12월_남_10~19세,"8,295","2,244",187,"1,016",613,769,"1,169",467,"1,163",667
2021년12월_남_20~29세,"9,374","2,560",396,"1,056",807,887,"1,241",494,"1,335",598
2021년12월_남_30~39세,"11,721","3,256",471,"1,380",792,"1,094","1,315",567,"1,977",869
2021년12월_남_40~49세,"14,262","4,221",484,"1,778","1,006","1,285","1,765",750,"1,876","1,097"
2021년12월_남_50~59세,"12,480","3,507",532,"1,591","1,137","1,127","1,826",657,"1,290",813
2021년12월_남_60~69세,"11,802","2,809",561,"1,444",916,"1,111","1,525",830,"1,625",981
2021년12월_남_70~79세,"4,539","1,062",279,559,286,550,527,329,586,361
2021년12월_남_80~89세,908,214,61,133,67,98,103,68,94,70
2021년12월_남_90~99세,54,7,4,13,1,7,5,2,9,6
2021년12월_남_100세 이상,1,0,0,0,0,1,0,0,0,0
2021년12월_여_총인구수,"73,679","18,568","2,683","9,478","5,500","7,138","10,140","4,271","9,945","5,956"
2021년12월_여_연령구간인구수,"73,679","18,568","2,683","9,478","5,500","7,138","10,140","4,271","9,945","5,956"
2021년12월_여_0~9세,"6,730","1,662",117,"1,013",410,611,997,284,"1,070",566
2021년12월_여_10~19세,"7,359","1,923",163,904,519,612,"1,163",461,992,622
2021년12월_여_20~29세,"7,350","1,886",305,856,647,893,"1,006",359,920,478
2021년12월_여_30~39세,"9,615","2,399",278,"1,330",617,919,"1,255",443,"1,590",784
2021년12월_여_40~49세,"11,910","3,123",343,"1,473",927,"1,059","1,690",675,"1,632",988
2021년12월_여_50~59세,"12,295","3,124",486,"1,526","1,085","1,166","1,826",697,"1,452",933
2021년12월_여_60~69세,"12,029","2,815",625,"1,459",879,"1,213","1,485",875,"1,681",997
2021년12월_여_70~79세,"4,342","1,087",254,579,282,470,479,338,464,389
2021년12월_여_80~89세,"1,737",462,97,296,112,170,192,123,118,167
2021년12월_여_90~99세,305,85,15,40,21,25,45,16,26,32
2021년12월_여_100세 이상,7,2,0,2,1,0,2,0,0,0
