,경기도 여주시,경기도 여주시 가남읍,경기도 여주시 점동면,경기도 여주시 흥천면,경기도 여주시 금사면,경기도 여주시 능서면,경기도 여주시 대신면,경기도 여주시 북내면,경기도 여주시 강천면,경기도 여주시 산북면,경기도 여주시 여흥동,경기도 여주시 중앙동,경기도 여주시 오학동
2021년01월_계_총인구수,"112,044","15,588","4,641","5,109","3,000","6,384","7,067","4,898","4,181","2,550","21,884","18,509","18,233"
2021년01월_계_연령구간인구수,"112,044","15,588","4,641","5,109","3,000","6,384","7,067","4,898","4,181","2,550","21,884","18,509","18,233"
2021년01월_계_0~9세,"7,366","1,016",174,174,90,285,224,155,138,116,"1,542","1,379","2,073"
2021년01월_계_10~19세,"9,558","1,294",262,284,146,436,411,352,267,144,"1,979","2,191","1,792"
2021년01월_계_20~29세,"12,225","1,668",450,414,232,554,615,406,350,199,"2,829","2,407","2,101"
2021년01월_계_30~39세,"11,496","1,804",297,363,190,496,446,311,291,177,"2,480","1,979","2,662"
2021년01월_계_40~49세,"16,033","2,253",409,528,272,685,688,580,475,277,"3,540","3,129","3,197"
2021년01월_계_50~59세,"20,132","2,804",870,949,584,"1,139","1,334",998,857,454,"3,862","3,312","2,969"
2021년01월_계_60~69세,"18,754","2,560","1,070","1,217",760,"1,376","1,638","1,016",893,599,"3,235","2,381","2,009"
2021년01월_계_70~79세,"10,252","1,355",663,725,462,836,996,610,557,366,"1,577","1,156",949
2021년01월_계_80~89세,"5,333",713,390,382,221,494,615,407,287,186,718,502,418
2021년01월_계_90~99세,840,111,53,70,42,82,95,57,64,30,112,67,57
2021년01월_계_100세 이상,55,10,3,3,1,1,5,6,2,2,10,6,6
2021년01월_남_총인구수,"56,897","8,046","2,403","2,667","1,556","3,268","3,688","2,535","2,166","1,286","10,934","9,279","9,069"
2021년01월_남_연령구간인구수,"56,897","8,046","2,403","2,667","1,556","3,268","3,688","2,535","2,166","1,286","10,934","9,279","9,069"
2021년01월_남_0~9세,"3,788",493,100,95,44,125,115,81,73,53,799,727,"1,083"
2021년01월_남_10~19세,"4,913",669,147,159,65,223,231,203,137,67,"1,013","1,112",887
2021년01월_남_20~29세,"6,707",931,265,234,152,308,381,222,207,113,"1,508","1,277","1,109"
2021년01월_남_30~39세,"6,062","1,013",163,209,104,259,257,173,156,102,"1,272","1,031","1,323"
2021년01월_남_40~49세,"8,268","1,191",230,287,154,412,370,311,258,150,"1,780","1,532","1,593"
2021년01월_남_50~59세,"10,569","1,511",467,522,318,624,725,574,479,239,"1,931","1,714","1,465"
2021년01월_남_60~69세,"9,531","1,289",542,633,396,719,876,536,447,297,"1,610","1,184","1,002"
2021년01월_남_70~79세,"4,874",655,341,361,230,412,459,269,285,176,730,509,447
2021년01월_남_80~89세,"1,973",257,133,152,86,169,241,148,112,79,264,181,151
2021년01월_남_90~99세,196,33,14,15,7,16,31,17,11,9,23,12,8
2021년01월_남_100세 이상,16,4,1,0,0,1,2,1,1,1,4,0,1
2021년01월_여_총인구수,"55,147","7,542","2,238","2,442","1,444","3,116","3,379","2,363","2,015","1,264","10,950","9,230","9,164"
2021년01월_여_연령구간인구수,"55,147","7,542","2,238","2,442","1,444","3,116","3,379","2,363","2,015","1,264","10,950","9,230","9,164"
2021년01월_여_0~9세,"3,578",523,74,79,46,160,109,74,65,63,743,652,990
2021년01월_여_10~19세,"4,645",625,115,125,81,213,180,149,130,77,966,"1,079",905
2021년01월_여_20~29세,"5,518",737,185,180,80,246,234,184,143,86,"1,321","1,130",992
2021년01월_여_30~39세,"5,434",791,134,154,86,237,189,138,135,75,"1,208",948,"1,339"
2021년01월_여_40~49세,"7,765","1,062",179,241,118,273,318,269,217,127,"1,760","1,597","1,604"
2021년01월_여_50~59세,"9,563","1,293",403,427,266,515,609,424,378,215,"1,931","1,598","1,504"
2021년01월_여_60~69세,"9,223","1,271",528,584,364,657,762,480,446,302,"1,625","1,197","1,007"
2021년01월_여_70~79세,"5,378",700,322,364,232,424,537,341,272,190,847,647,502
2021년01월_여_80~89세,"3,360",456,257,230,135,325,374,259,175,107,454,321,267
2021년01월_여_90~99세,644,78,39,55,35,66,64,40,53,21,89,55,49
2021년01월_여_100세 이상,39,6,2,3,1,0,3,5,1,1,6,6,5
