,강원도 철원군,강원도 철원군 철원읍,강원도 철원군 김화읍,강원도 철원군 갈말읍,강원도 철원군 동송읍,강원도 철원군 서면,강원도 철원군 서면와수출장소,강원도 철원군 근남면,강원도 철원군 근북면,강원도 철원군 근동면,강원도 철원군 원동면,강원도 철원군 원남면,강원도 철원군 임남면
2021년07월_계_총인구수,"43,832","5,337","3,527","11,890","15,129","1,913","3,724","2,208",104,0,0,0,0
2021년07월_계_연령구간인구수,"43,832","5,337","3,527","11,890","15,129","1,913","3,724","2,208",104,0,0,0,0
2021년07월_계_0~9세,"3,234",429,352,790,"1,100",165,226,172,0,0,0,0,0
2021년07월_계_10~19세,"3,673",467,260,967,"1,427",86,328,135,3,0,0,0,0
2021년07월_계_20~29세,"5,470",634,496,"1,567","1,710",368,427,267,1,0,0,0,0
2021년07월_계_30~39세,"4,601",574,457,"1,218","1,524",239,332,255,2,0,0,0,0
2021년07월_계_40~49세,"5,555",650,390,"1,578","2,015",188,530,196,8,0,0,0,0
2021년07월_계_50~59세,"6,990",856,454,"1,989","2,490",225,629,329,18,0,0,0,0
2021년07월_계_60~69세,"7,028",825,518,"1,941","2,417",281,611,416,19,0,0,0,0
2021년07월_계_70~79세,"4,581",583,353,"1,185","1,539",220,382,286,33,0,0,0,0
2021년07월_계_80~89세,"2,329",283,211,560,780,120,222,134,19,0,0,0,0
2021년07월_계_90~99세,355,36,34,88,124,19,36,17,1,0,0,0,0
2021년07월_계_100세 이상,16,0,2,7,3,2,1,1,0,0,0,0,0
2021년07월_남_총인구수,"22,760","2,723","1,883","6,374","7,604","1,064","1,884","1,180",48,0,0,0,0
2021년07월_남_연령구간인구수,"22,760","2,723","1,883","6,374","7,604","1,064","1,884","1,180",48,0,0,0,0
2021년07월_남_0~9세,"1,620",203,194,387,540,84,119,93,0,0,0,0,0
2021년07월_남_10~19세,"1,918",257,134,534,708,54,161,68,2,0,0,0,0
2021년07월_남_20~29세,"3,533",376,327,"1,062","1,025",270,275,197,1,0,0,0,0
2021년07월_남_30~39세,"2,553",318,258,712,799,148,173,144,1,0,0,0,0
2021년07월_남_40~49세,"2,959",347,223,828,"1,037",111,293,115,5,0,0,0,0
2021년07월_남_50~59세,"3,731",468,243,"1,056","1,332",122,331,168,11,0,0,0,0
2021년07월_남_60~69세,"3,480",399,273,"1,006","1,161",135,287,213,6,0,0,0,0
2021년07월_남_70~79세,"2,038",251,143,534,705,98,163,132,12,0,0,0,0
2021년07월_남_80~89세,844,96,81,232,266,36,77,46,10,0,0,0,0
2021년07월_남_90~99세,80,8,7,20,31,5,5,4,0,0,0,0,0
2021년07월_남_100세 이상,4,0,0,3,0,1,0,0,0,0,0,0,0
2021년07월_여_총인구수,"21,072","2,614","1,644","5,516","7,525",849,"1,840","1,028",56,0,0,0,0
2021년07월_여_연령구간인구수,"21,072","2,614","1,644","5,516","7,525",849,"1,840","1,028",56,0,0,0,0
2021년07월_여_0~9세,"1,614",226,158,403,560,81,107,79,0,0,0,0,0
2021년07월_여_10~19세,"1,755",210,126,433,719,32,167,67,1,0,0,0,0
2021년07월_여_20~29세,"1,937",258,169,505,685,98,152,70,0,0,0,0,0
2021년07월_여_30~39세,"2,048",256,199,506,725,91,159,111,1,0,0,0,0
2021년07월_여_40~49세,"2,596",303,167,750,978,77,237,81,3,0,0,0,0
2021년07월_여_50~59세,"3,259",388,211,933,"1,158",103,298,161,7,0,0,0,0
2021년07월_여_60~69세,"3,548",426,245,935,"1,256",146,324,203,13,0,0,0,0
2021년07월_여_70~79세,"2,543",332,210,651,834,122,219,154,21,0,0,0,0
2021년07월_여_80~89세,"1,485",187,130,328,514,84,145,88,9,0,0,0,0
2021년07월_여_90~99세,275,28,27,68,93,14,31,13,1,0,0,0,0
2021년07월_여_100세 이상,12,0,2,4,3,1,1,1,0,0,0,0,0
