카테고리,경상북도 영주시,경상북도 영주시 풍기읍,경상북도 영주시 이산면,경상북도 영주시 평은면,경상북도 영주시 문수면,경상북도 영주시 장수면,경상북도 영주시 안정면,경상북도 영주시 봉현면,경상북도 영주시 순흥면,경상북도 영주시 단산면,경상북도 영주시 부석면,경상북도 영주시 상망동,경상북도 영주시 하망동,경상북도 영주시 영주1동,경상북도 영주시 영주2동,경상북도 영주시 휴천1동,경상북도 영주시 휴천2동,경상북도 영주시 휴천3동,경상북도 영주시 가흥1동,경상북도 영주시 가흥2동
2020년06월_계_총인구수,"104,003","10,677","2,416","1,454","1,984","2,229","3,095","2,813","2,044","1,921","3,142","8,044","6,230","4,138","3,612","6,720","8,338","8,131","19,025","7,990"
2020년06월_계_연령구간인구수,"104,003","10,677","2,416","1,454","1,984","2,229","3,095","2,813","2,044","1,921","3,142","8,044","6,230","4,138","3,612","6,720","8,338","8,131","19,025","7,990"
2020년06월_계_0~9세,"6,354",480,59,26,63,57,87,80,39,31,56,525,358,169,174,501,456,477,"2,158",558
2020년06월_계_10~19세,"9,073",728,103,59,92,117,129,134,87,70,135,997,619,299,262,886,643,736,"2,127",850
2020년06월_계_20~29세,"9,835",951,213,84,159,153,223,178,142,110,138,807,612,326,310,705,970,984,"1,956",814
2020년06월_계_30~39세,"8,795",745,122,54,99,120,165,135,93,84,143,605,469,319,274,561,706,668,"2,629",804
2020년06월_계_40~49세,"14,089","1,261",191,102,186,201,268,280,141,160,217,"1,310",880,490,431,"1,168","1,081","1,088","3,384","1,250"
2020년06월_계_50~59세,"18,233","1,908",501,256,331,375,526,529,392,357,612,"1,391","1,128",718,653,"1,192","1,608","1,627","2,741","1,388"
2020년06월_계_60~69세,"17,896","2,227",532,336,440,495,710,706,533,456,812,"1,133","1,019",859,719,837,"1,442","1,337","2,104","1,199"
2020년06월_계_70~79세,"11,992","1,454",363,289,326,393,545,467,348,342,596,801,729,595,521,569,936,792,"1,241",685
2020년06월_계_80~89세,"6,710",778,295,213,243,263,385,256,226,271,378,396,371,321,236,269,441,365,609,394
2020년06월_계_90~99세,969,134,36,33,43,52,56,41,42,39,51,76,42,38,32,30,51,55,73,45
2020년06월_계_100세 이상,57,11,1,2,2,3,1,7,1,1,4,3,3,4,0,2,4,2,3,3
2020년06월_남_총인구수,"51,573","5,258","1,248",731,"1,011","1,134","1,568","1,436","1,022",957,"1,557","4,007","2,987","2,010","1,726","3,359","4,090","4,061","9,550","3,861"
2020년06월_남_연령구간인구수,"51,573","5,258","1,248",731,"1,011","1,134","1,568","1,436","1,022",957,"1,557","4,007","2,987","2,010","1,726","3,359","4,090","4,061","9,550","3,861"
2020년06월_남_0~9세,"3,282",252,31,16,34,30,48,41,23,17,30,268,181,96,99,256,211,242,"1,119",288
2020년06월_남_10~19세,"4,737",371,49,28,50,62,67,64,45,41,74,533,307,136,141,471,356,401,"1,094",447
2020년06월_남_20~29세,"5,772",597,138,55,99,95,145,113,95,73,73,481,352,199,172,435,541,579,"1,101",429
2020년06월_남_30~39세,"4,718",396,75,31,61,82,106,76,55,55,85,317,259,179,138,281,375,365,"1,355",427
2020년06월_남_40~49세,"7,289",674,108,70,117,116,168,178,80,96,137,632,432,251,215,564,552,529,"1,754",616
2020년06월_남_50~59세,"9,279",939,286,144,176,200,274,276,206,186,330,728,577,388,325,615,765,809,"1,396",659
2020년06월_남_60~69세,"8,570","1,090",272,169,237,264,361,357,269,246,402,542,452,392,316,369,653,626,982,571
2020년06월_남_70~79세,"5,355",640,176,135,153,175,258,233,157,146,282,347,290,245,233,267,442,362,520,294
2020년06월_남_80~89세,"2,351",267,103,73,77,98,134,84,85,87,136,150,127,113,81,91,180,133,211,121
2020년06월_남_90~99세,207,28,10,10,7,12,7,12,6,9,7,9,9,10,6,10,14,15,17,9
2020년06월_남_100세 이상,13,4,0,0,0,0,0,2,1,1,1,0,1,1,0,0,1,0,1,0
2020년06월_여_총인구수,"52,430","5,419","1,168",723,973,"1,095","1,527","1,377","1,022",964,"1,585","4,037","3,243","2,128","1,886","3,361","4,248","4,070","9,475","4,129"
2020년06월_여_연령구간인구수,"52,430","5,419","1,168",723,973,"1,095","1,527","1,377","1,022",964,"1,585","4,037","3,243","2,128","1,886","3,361","4,248","4,070","9,475","4,129"
2020년06월_여_0~9세,"3,072",228,28,10,29,27,39,39,16,14,26,257,177,73,75,245,245,235,"1,039",270
2020년06월_여_10~19세,"4,336",357,54,31,42,55,62,70,42,29,61,464,312,163,121,415,287,335,"1,033",403
2020년06월_여_20~29세,"4,063",354,75,29,60,58,78,65,47,37,65,326,260,127,138,270,429,405,855,385
2020년06월_여_30~39세,"4,077",349,47,23,38,38,59,59,38,29,58,288,210,140,136,280,331,303,"1,274",377
2020년06월_여_40~49세,"6,800",587,83,32,69,85,100,102,61,64,80,678,448,239,216,604,529,559,"1,630",634
2020년06월_여_50~59세,"8,954",969,215,112,155,175,252,253,186,171,282,663,551,330,328,577,843,818,"1,345",729
2020년06월_여_60~69세,"9,326","1,137",260,167,203,231,349,349,264,210,410,591,567,467,403,468,789,711,"1,122",628
2020년06월_여_70~79세,"6,637",814,187,154,173,218,287,234,191,196,314,454,439,350,288,302,494,430,721,391
2020년06월_여_80~89세,"4,359",511,192,140,166,165,251,172,141,184,242,246,244,208,155,178,261,232,398,273
2020년06월_여_90~99세,762,106,26,23,36,40,49,29,36,30,44,67,33,28,26,20,37,40,56,36
2020년06월_여_100세 이상,44,7,1,2,2,3,1,5,0,0,3,3,2,3,0,2,3,2,2,3
