카테고리,부산광역시 사상구,부산광역시 사상구 삼락동,부산광역시 사상구 모라제1동,부산광역시 사상구 모라제3동,부산광역시 사상구 덕포제1동,부산광역시 사상구 덕포제2동,부산광역시 사상구 괘법동,부산광역시 사상구 감전동,부산광역시 사상구 주례제1동,부산광역시 사상구 주례제2동,부산광역시 사상구 주례제3동,부산광역시 사상구 학장동,부산광역시 사상구 엄궁동
2020년10월_계_총인구수,"213,747","6,074","28,353","11,138","8,951","13,299","21,996","13,889","15,679","23,551","13,434","29,225","28,158"
2020년10월_계_연령구간인구수,"213,747","6,074","28,353","11,138","8,951","13,299","21,996","13,889","15,679","23,551","13,434","29,225","28,158"
2020년10월_계_0~9세,"12,649",231,"1,637",315,510,742,"1,104",531,983,"1,515",761,"1,967","2,353"
2020년10월_계_10~19세,"15,292",314,"2,040",501,660,963,"1,082",721,"1,147","1,834","1,072","2,307","2,651"
2020년10월_계_20~29세,"29,117",653,"3,673",901,"1,076","1,763","3,980","1,730","2,179","4,113","1,823","3,524","3,702"
2020년10월_계_30~39세,"25,523",605,"3,313",856,"1,019","1,487","3,196","1,640","1,874","3,055","1,509","3,528","3,441"
2020년10월_계_40~49세,"29,662",747,"3,813","1,316","1,233","1,738","2,741","1,817","2,031","3,465","1,832","4,356","4,573"
2020년10월_계_50~59세,"41,558","1,331","5,593","2,218","1,835","2,781","4,305","2,884","3,197","3,992","2,504","5,471","5,447"
2020년10월_계_60~69세,"36,415","1,259","5,132","2,539","1,480","2,435","3,568","2,719","2,700","3,300","2,347","5,044","3,892"
2020년10월_계_70~79세,"17,019",689,"2,292","1,676",817,"1,023","1,538","1,371","1,140","1,627","1,106","2,199","1,541"
2020년10월_계_80~89세,"5,786",218,763,732,287,322,419,417,378,578,435,738,499
2020년10월_계_90~99세,655,22,81,80,30,43,49,51,47,65,45,85,57
2020년10월_계_100세 이상,71,5,16,4,4,2,14,8,3,7,0,6,2
2020년10월_남_총인구수,"108,044","3,271","14,238","5,313","4,581","6,746","11,390","7,362","8,026","11,797","6,588","14,635","14,097"
2020년10월_남_연령구간인구수,"108,044","3,271","14,238","5,313","4,581","6,746","11,390","7,362","8,026","11,797","6,588","14,635","14,097"
2020년10월_남_0~9세,"6,421",126,802,157,256,383,557,279,507,753,384,"1,015","1,202"
2020년10월_남_10~19세,"8,030",169,"1,073",271,348,501,580,383,604,955,563,"1,226","1,357"
2020년10월_남_20~29세,"15,598",383,"2,025",512,624,943,"1,967",928,"1,195","2,099",951,"1,933","2,038"
2020년10월_남_30~39세,"13,711",329,"1,780",473,547,790,"1,754",972,"1,008","1,639",820,"1,852","1,747"
2020년10월_남_40~49세,"15,540",447,"1,975",778,662,917,"1,499","1,048","1,027","1,804",924,"2,220","2,239"
2020년10월_남_50~59세,"20,739",749,"2,709","1,166",979,"1,351","2,252","1,546","1,570","1,899","1,137","2,679","2,702"
2020년10월_남_60~69세,"18,079",676,"2,500","1,136",699,"1,238","1,867","1,408","1,405","1,653","1,122","2,467","1,908"
2020년10월_남_70~79세,"7,899",318,"1,094",621,366,506,744,634,569,786,522,986,753
2020년10월_남_80~89세,"1,908",71,264,184,93,111,165,155,135,197,155,233,145
2020년10월_남_90~99세,110,3,16,14,6,5,4,7,5,11,10,23,6
2020년10월_남_100세 이상,9,0,0,1,1,1,1,2,1,1,0,1,0
2020년10월_여_총인구수,"105,703","2,803","14,115","5,825","4,370","6,553","10,606","6,527","7,653","11,754","6,846","14,590","14,061"
2020년10월_여_연령구간인구수,"105,703","2,803","14,115","5,825","4,370","6,553","10,606","6,527","7,653","11,754","6,846","14,590","14,061"
2020년10월_여_0~9세,"6,228",105,835,158,254,359,547,252,476,762,377,952,"1,151"
2020년10월_여_10~19세,"7,262",145,967,230,312,462,502,338,543,879,509,"1,081","1,294"
2020년10월_여_20~29세,"13,519",270,"1,648",389,452,820,"2,013",802,984,"2,014",872,"1,591","1,664"
2020년10월_여_30~39세,"11,812",276,"1,533",383,472,697,"1,442",668,866,"1,416",689,"1,676","1,694"
2020년10월_여_40~49세,"14,122",300,"1,838",538,571,821,"1,242",769,"1,004","1,661",908,"2,136","2,334"
2020년10월_여_50~59세,"20,819",582,"2,884","1,052",856,"1,430","2,053","1,338","1,627","2,093","1,367","2,792","2,745"
2020년10월_여_60~69세,"18,336",583,"2,632","1,403",781,"1,197","1,701","1,311","1,295","1,647","1,225","2,577","1,984"
2020년10월_여_70~79세,"9,120",371,"1,198","1,055",451,517,794,737,571,841,584,"1,213",788
2020년10월_여_80~89세,"3,878",147,499,548,194,211,254,262,243,381,280,505,354
2020년10월_여_90~99세,545,19,65,66,24,38,45,44,42,54,35,62,51
2020년10월_여_100세 이상,62,5,16,3,3,1,13,6,2,6,0,5,2
