카테고리,충청북도,충청북도 청주시,충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구,충청북도 충주시,충청북도 제천시,충청북도 보은군,충청북도 옥천군,충청북도 영동군,충청북도 증평군,충청북도 진천군,충청북도 괴산군,충청북도 음성군,충청북도 단양군
2021년11월_계_총인구수,"1,597,019","849,024","194,013","192,748","267,725","194,538","209,484","131,810","31,862","50,184","45,874","36,351","85,104","36,887","92,086","28,353"
2021년11월_계_연령구간인구수,"1,597,019","849,024","194,013","192,748","267,725","194,538","209,484","131,810","31,862","50,184","45,874","36,351","85,104","36,887","92,086","28,353"
2021년11월_계_0~9세,"117,375","71,372","15,971","12,799","23,523","19,079","13,808","8,214","1,343","2,427","2,117","2,952","7,437","1,187","5,428","1,090"
2021년11월_계_10~19세,"146,547","84,813","19,684","19,430","26,342","19,357","18,511","11,360","2,023","3,768","3,206","3,352","8,372","1,867","7,398","1,877"
2021년11월_계_20~29세,"194,924","119,241","24,557","28,122","40,679","25,883","23,716","14,380","2,237","4,139","3,858","4,403","9,241","2,532","9,126","2,051"
2021년11월_계_30~39세,"190,993","118,102","23,471","22,217","41,467","30,947","22,880","12,383","2,025","3,718","2,976","4,373","11,423","2,196","9,104","1,813"
2021년11월_계_40~49세,"236,989","135,727","30,457","29,669","43,166","32,435","30,188","17,707","3,143","6,023","4,969","5,440","13,778","3,577","13,351","3,086"
2021년11월_계_50~59세,"270,634","137,986","33,458","33,725","43,031","27,772","36,983","23,508","5,589","8,828","8,105","6,030","13,865","7,025","17,372","5,343"
2021년11월_계_60~69세,"240,966","105,408","26,318","26,952","30,049","22,089","34,369","24,365","7,339","10,450","9,737","5,367","11,348","9,249","16,537","6,797"
2021년11월_계_70~79세,"119,947","47,881","12,410","12,542","12,458","10,471","17,145","12,297","4,446","6,365","6,385","2,691","5,510","5,301","8,154","3,772"
2021년11월_계_80~89세,"68,819","24,886","6,681","6,389","6,129","5,687","10,477","6,716","3,201","3,840","3,975","1,551","3,632","3,459","4,861","2,221"
2021년11월_계_90~99세,"9,532","3,501",975,881,859,786,"1,370",836,502,613,531,190,484,479,736,290
2021년11월_계_100세 이상,293,107,31,22,22,32,37,44,14,13,15,2,14,15,19,13
2021년11월_남_총인구수,"810,261","428,124","96,396","95,826","135,910","99,992","105,959","66,258","16,032","25,287","22,861","18,947","44,663","18,957","48,796","14,377"
2021년11월_남_연령구간인구수,"810,261","428,124","96,396","95,826","135,910","99,992","105,959","66,258","16,032","25,287","22,861","18,947","44,663","18,957","48,796","14,377"
2021년11월_남_0~9세,"59,953","36,401","8,110","6,526","11,993","9,772","6,959","4,220",691,"1,248","1,081","1,542","3,832",599,"2,809",571
2021년11월_남_10~19세,"76,115","43,948","10,188","10,097","13,637","10,026","9,608","5,884","1,061","2,008","1,670","1,748","4,342",959,"3,878","1,009"
2021년11월_남_20~29세,"108,548","65,059","13,266","15,280","22,055","14,458","13,672","8,050","1,332","2,352","2,168","2,616","5,372","1,483","5,253","1,191"
2021년11월_남_30~39세,"101,974","62,246","11,987","11,601","21,902","16,756","12,436","6,555","1,097","1,922","1,575","2,423","6,296","1,253","5,187",984
2021년11월_남_40~49세,"122,706","68,814","15,090","14,659","21,943","17,122","15,522","9,102","1,749","3,231","2,680","2,927","7,474","2,065","7,448","1,694"
2021년11월_남_50~59세,"139,470","69,138","16,665","16,614","21,582","14,277","18,952","12,019","3,109","4,757","4,333","3,196","7,611","3,842","9,648","2,865"
2021년11월_남_60~69세,"121,051","51,690","13,023","13,023","14,838","10,806","17,192","12,198","3,774","5,342","5,034","2,693","5,838","4,929","8,843","3,518"
