,충청북도 영동군,충청북도 영동군 영동읍,충청북도 영동군 용산면,충청북도 영동군 황간면,충청북도 영동군 추풍령면,충청북도 영동군 매곡면,충청북도 영동군 상촌면,충청북도 영동군 양강면,충청북도 영동군 용화면,충청북도 영동군 학산면,충청북도 영동군 양산면,충청북도 영동군 심천면
2021년12월_계_총인구수,"45,773","20,163","3,228","4,208","2,227","1,893","2,289","3,119",973,"2,739","1,799","3,135"
2021년12월_계_연령구간인구수,"45,773","20,163","3,228","4,208","2,227","1,893","2,289","3,119",973,"2,739","1,799","3,135"
2021년12월_계_0~9세,"2,087","1,441",71,143,41,44,57,83,27,68,32,80
2021년12월_계_10~19세,"3,195","1,948",147,301,101,88,98,163,48,96,76,129
2021년12월_계_20~29세,"3,814","2,296",230,259,126,105,96,273,39,139,89,162
2021년12월_계_30~39세,"2,963","1,835",157,233,90,71,87,141,31,108,60,150
2021년12월_계_40~49세,"4,956","2,886",271,390,197,146,159,250,61,191,155,250
2021년12월_계_50~59세,"8,088","3,474",611,752,422,337,364,607,192,455,332,542
2021년12월_계_60~69세,"9,767","3,199",859,"1,029",566,483,629,743,248,757,421,833
2021년12월_계_70~79세,"6,365","1,936",488,652,393,320,455,500,173,510,358,580
2021년12월_계_80~89세,"3,995","1,035",348,401,251,265,289,324,137,357,228,360
2021년12월_계_90~99세,528,110,44,47,37,33,53,34,16,57,48,49
2021년12월_계_100세 이상,15,3,2,1,3,1,2,1,1,1,0,0
2021년12월_남_총인구수,"22,810","9,954","1,647","2,121","1,113",950,"1,117","1,578",481,"1,373",896,"1,580"
2021년12월_남_연령구간인구수,"22,810","9,954","1,647","2,121","1,113",950,"1,117","1,578",481,"1,373",896,"1,580"
2021년12월_남_0~9세,"1,068",732,38,78,20,24,25,34,16,39,22,40
2021년12월_남_10~19세,"1,668","1,014",69,166,53,47,57,94,26,41,37,64
2021년12월_남_20~29세,"2,139","1,230",130,146,74,68,56,175,20,91,51,98
2021년12월_남_30~39세,"1,572",935,92,127,51,42,48,79,17,59,42,80
2021년12월_남_40~49세,"2,671","1,456",153,220,114,93,96,144,34,124,93,144
2021년12월_남_50~59세,"4,326","1,788",348,413,234,189,206,326,113,247,170,292
2021년12월_남_60~69세,"5,045","1,595",454,535,283,247,323,393,138,392,239,446
2021년12월_남_70~79세,"2,812",829,242,284,185,141,204,214,66,230,149,268
2021년12월_남_80~89세,"1,394",360,112,143,89,89,92,111,47,137,81,133
2021년12월_남_90~99세,113,15,9,9,9,10,9,8,4,13,12,15
2021년12월_남_100세 이상,2,0,0,0,1,0,1,0,0,0,0,0
2021년12월_여_총인구수,"22,963","10,209","1,581","2,087","1,114",943,"1,172","1,541",492,"1,366",903,"1,555"
2021년12월_여_연령구간인구수,"22,963","10,209","1,581","2,087","1,114",943,"1,172","1,541",492,"1,366",903,"1,555"
2021년12월_여_0~9세,"1,019",709,33,65,21,20,32,49,11,29,10,40
2021년12월_여_10~19세,"1,527",934,78,135,48,41,41,69,22,55,39,65
2021년12월_여_20~29세,"1,675","1,066",100,113,52,37,40,98,19,48,38,64
2021년12월_여_30~39세,"1,391",900,65,106,39,29,39,62,14,49,18,70
2021년12월_여_40~49세,"2,285","1,430",118,170,83,53,63,106,27,67,62,106
2021년12월_여_50~59세,"3,762","1,686",263,339,188,148,158,281,79,208,162,250
2021년12월_여_60~69세,"4,722","1,604",405,494,283,236,306,350,110,365,182,387
2021년12월_여_70~79세,"3,553","1,107",246,368,208,179,251,286,107,280,209,312
2021년12월_여_80~89세,"2,601",675,236,258,162,176,197,213,90,220,147,227
2021년12월_여_90~99세,415,95,35,38,28,23,44,26,12,44,36,34
2021년12월_여_100세 이상,13,3,2,1,2,1,1,1,1,1,0,0
