,강원도 동해시,강원도 동해시 천곡동,강원도 동해시 송정동,강원도 동해시 북삼동,강원도 동해시 부곡동,강원도 동해시 동호동,강원도 동해시 발한동,강원도 동해시 묵호동,강원도 동해시 북평동,강원도 동해시 망상동,강원도 동해시 삼화동
2021년08월_계_총인구수,"90,056","30,455","3,783","19,943","4,997","5,130","3,386","3,130","12,875","3,529","2,828"
2021년08월_계_연령구간인구수,"90,056","30,455","3,783","19,943","4,997","5,130","3,386","3,130","12,875","3,529","2,828"
2021년08월_계_0~9세,"6,401","2,647",128,"1,518",176,294,93,95,"1,217",160,73
2021년08월_계_10~19세,"8,560","3,185",212,"2,549",330,431,152,163,"1,182",185,171
2021년08월_계_20~29세,"9,325","3,396",508,"2,332",444,480,251,183,"1,263",259,209
2021년08월_계_30~39세,"8,802","3,488",268,"1,964",331,410,190,173,"1,537",258,183
2021년08월_계_40~49세,"14,312","5,067",493,"3,764",663,720,411,390,"2,072",426,306
2021년08월_계_50~59세,"15,632","5,088",646,"3,627",891,922,558,514,"2,201",616,569
2021년08월_계_60~69세,"14,513","4,643",747,"2,384","1,100",939,798,697,"1,847",737,621
2021년08월_계_70~79세,"7,997","1,954",452,"1,190",717,646,591,570,935,523,419
2021년08월_계_80~89세,"3,938",848,279,544,305,265,295,323,534,311,234
2021년08월_계_90~99세,561,139,48,71,39,21,44,21,85,52,41
2021년08월_계_100세 이상,15,0,2,0,1,2,3,1,2,2,2
2021년08월_남_총인구수,"45,716","15,168","2,058","10,321","2,426","2,594","1,725","1,557","6,608","1,772","1,487"
2021년08월_남_연령구간인구수,"45,716","15,168","2,058","10,321","2,426","2,594","1,725","1,557","6,608","1,772","1,487"
2021년08월_남_0~9세,"3,291","1,376",59,778,98,149,46,53,614,79,39
2021년08월_남_10~19세,"4,445","1,595",122,"1,362",175,224,79,89,610,96,93
2021년08월_남_20~29세,"5,483","1,942",346,"1,399",243,271,156,99,736,157,134
2021년08월_남_30~39세,"4,720","1,854",159,"1,035",162,216,125,99,807,145,118
2021년08월_남_40~49세,"7,478","2,508",297,"1,875",367,421,249,233,"1,092",252,184
2021년08월_남_50~59세,"8,117","2,435",364,"1,929",443,483,309,301,"1,185",325,343
2021년08월_남_60~69세,"7,022","2,216",374,"1,168",520,437,375,320,924,369,319
2021년08월_남_70~79세,"3,613",917,213,545,307,288,273,228,438,234,170
2021년08월_남_80~89세,"1,434",293,112,216,106,99,100,129,193,108,78
2021년08월_남_90~99세,111,32,12,14,5,5,13,6,9,7,8
2021년08월_남_100세 이상,2,0,0,0,0,1,0,0,0,0,1
2021년08월_여_총인구수,"44,340","15,287","1,725","9,622","2,571","2,536","1,661","1,573","6,267","1,757","1,341"
2021년08월_여_연령구간인구수,"44,340","15,287","1,725","9,622","2,571","2,536","1,661","1,573","6,267","1,757","1,341"
2021년08월_여_0~9세,"3,110","1,271",69,740,78,145,47,42,603,81,34
2021년08월_여_10~19세,"4,115","1,590",90,"1,187",155,207,73,74,572,89,78
2021년08월_여_20~29세,"3,842","1,454",162,933,201,209,95,84,527,102,75
2021년08월_여_30~39세,"4,082","1,634",109,929,169,194,65,74,730,113,65
2021년08월_여_40~49세,"6,834","2,559",196,"1,889",296,299,162,157,980,174,122
2021년08월_여_50~59세,"7,515","2,653",282,"1,698",448,439,249,213,"1,016",291,226
2021년08월_여_60~69세,"7,491","2,427",373,"1,216",580,502,423,377,923,368,302
2021년08월_여_70~79세,"4,384","1,037",239,645,410,358,318,342,497,289,249
2021년08월_여_80~89세,"2,504",555,167,328,199,166,195,194,341,203,156
2021년08월_여_90~99세,450,107,36,57,34,16,31,15,76,45,33
2021년08월_여_100세 이상,13,0,2,0,1,1,3,1,2,2,1
