카테고리,강원도 화천군,강원도 화천군 화천읍,강원도 화천군 간동면,강원도 화천군 하남면,강원도 화천군 상서면,강원도 화천군 사내면
2020년08월_계_총인구수,"24,802","8,398","2,735","2,898","4,302","6,469"
2020년08월_계_연령구간인구수,"24,802","8,398","2,735","2,898","4,302","6,469"
2020년08월_계_0~9세,"1,852",727,58,139,317,611
2020년08월_계_10~19세,"1,813",764,150,275,165,459
2020년08월_계_20~29세,"3,854","1,177",283,274,"1,109","1,011"
2020년08월_계_30~39세,"2,860","1,029",141,253,545,892
2020년08월_계_40~49세,"2,764","1,158",215,378,343,670
2020년08월_계_50~59세,"3,978","1,331",597,546,532,972
2020년08월_계_60~69세,"3,683","1,036",602,483,602,960
2020년08월_계_70~79세,"2,450",747,415,325,401,562
2020년08월_계_80~89세,"1,322",375,229,194,244,280
2020년08월_계_90~99세,211,51,44,26,42,48
2020년08월_계_100세 이상,15,3,1,5,2,4
2020년08월_남_총인구수,"13,440","4,391","1,466","1,509","2,606","3,468"
2020년08월_남_연령구간인구수,"13,440","4,391","1,466","1,509","2,606","3,468"
2020년08월_남_0~9세,928,368,32,74,148,306
2020년08월_남_10~19세,926,403,72,142,92,217
2020년08월_남_20~29세,"2,684",719,215,151,898,701
2020년08월_남_30~39세,"1,670",583,82,125,372,508
2020년08월_남_40~49세,"1,504",598,105,219,208,374
2020년08월_남_50~59세,"2,147",723,337,307,284,496
2020년08월_남_60~69세,"1,972",548,335,264,332,493
2020년08월_남_70~79세,"1,075",305,191,153,172,254
2020년08월_남_80~89세,472,131,85,65,90,101
2020년08월_남_90~99세,55,12,11,7,9,16
2020년08월_남_100세 이상,7,1,1,2,1,2
2020년08월_여_총인구수,"11,362","4,007","1,269","1,389","1,696","3,001"
2020년08월_여_연령구간인구수,"11,362","4,007","1,269","1,389","1,696","3,001"
2020년08월_여_0~9세,924,359,26,65,169,305
2020년08월_여_10~19세,887,361,78,133,73,242
2020년08월_여_20~29세,"1,170",458,68,123,211,310
2020년08월_여_30~39세,"1,190",446,59,128,173,384
2020년08월_여_40~49세,"1,260",560,110,159,135,296
2020년08월_여_50~59세,"1,831",608,260,239,248,476
2020년08월_여_60~69세,"1,711",488,267,219,270,467
2020년08월_여_70~79세,"1,375",442,224,172,229,308
2020년08월_여_80~89세,850,244,144,129,154,179
2020년08월_여_90~99세,156,39,33,19,33,32
2020년08월_여_100세 이상,8,2,0,3,1,2
