,강원도 평창군,강원도 평창군 평창읍,강원도 평창군 미탄면,강원도 평창군 방림면,강원도 평창군 방림면계촌출장소,강원도 평창군 대화면,강원도 평창군 봉평면,강원도 평창군 용평면,강원도 평창군 진부면,강원도 평창군 대관령면
2020년03월_계_총인구수,"41,817","8,633","1,664",850,"1,627","5,377","5,697","3,103","8,914","5,952"
2020년03월_계_연령구간인구수,"41,817","8,633","1,664",850,"1,627","5,377","5,697","3,103","8,914","5,952"
2020년03월_계_0~9세,"1,987",451,40,31,49,241,283,121,458,313
2020년03월_계_10~19세,"3,023",749,89,40,80,358,442,216,686,363
2020년03월_계_20~29세,"3,417",775,97,47,83,415,438,220,756,586
2020년03월_계_30~39세,"3,298",739,77,43,90,356,503,180,667,643
2020년03월_계_40~49세,"5,479","1,136",193,75,149,666,790,397,"1,175",898
2020년03월_계_50~59세,"8,213","1,616",364,182,364,999,"1,158",673,"1,733","1,124"
2020년03월_계_60~69세,"8,441","1,620",404,217,451,"1,170","1,146",674,"1,720","1,039"
2020년03월_계_70~79세,"5,029",914,264,136,232,711,620,364,"1,129",659
2020년03월_계_80~89세,"2,543",556,111,70,112,394,289,231,491,289
2020년03월_계_90~99세,346,69,25,9,16,62,28,26,80,31
2020년03월_계_100세 이상,41,8,0,0,1,5,0,1,19,7
2020년03월_남_총인구수,"21,424","4,396",881,436,859,"2,721","2,987","1,570","4,470","3,104"
2020년03월_남_연령구간인구수,"21,424","4,396",881,436,859,"2,721","2,987","1,570","4,470","3,104"
2020년03월_남_0~9세,"1,003",231,18,21,22,121,133,60,242,155
2020년03월_남_10~19세,"1,592",385,50,21,37,178,245,112,352,212
2020년03월_남_20~29세,"1,964",444,57,30,51,242,253,123,422,342
2020년03월_남_30~39세,"1,792",387,49,17,48,192,279,92,349,379
2020년03월_남_40~49세,"3,024",606,124,40,85,382,428,221,636,502
2020년03월_남_50~59세,"4,378",865,199,94,200,528,618,363,897,614
2020년03월_남_60~69세,"4,359",843,228,121,258,599,599,350,876,485
2020년03월_남_70~79세,"2,326",430,118,59,115,325,321,160,512,286
2020년03월_남_80~89세,894,189,35,32,41,135,104,80,162,116
2020년03월_남_90~99세,81,14,3,1,2,18,7,8,17,11
2020년03월_남_100세 이상,11,2,0,0,0,1,0,1,5,2
2020년03월_여_총인구수,"20,393","4,237",783,414,768,"2,656","2,710","1,533","4,444","2,848"
2020년03월_여_연령구간인구수,"20,393","4,237",783,414,768,"2,656","2,710","1,533","4,444","2,848"
2020년03월_여_0~9세,984,220,22,10,27,120,150,61,216,158
2020년03월_여_10~19세,"1,431",364,39,19,43,180,197,104,334,151
2020년03월_여_20~29세,"1,453",331,40,17,32,173,185,97,334,244
2020년03월_여_30~39세,"1,506",352,28,26,42,164,224,88,318,264
2020년03월_여_40~49세,"2,455",530,69,35,64,284,362,176,539,396
2020년03월_여_50~59세,"3,835",751,165,88,164,471,540,310,836,510
2020년03월_여_60~69세,"4,082",777,176,96,193,571,547,324,844,554
2020년03월_여_70~79세,"2,703",484,146,77,117,386,299,204,617,373
2020년03월_여_80~89세,"1,649",367,76,38,71,259,185,151,329,173
2020년03월_여_90~99세,265,55,22,8,14,44,21,18,63,20
2020년03월_여_100세 이상,30,6,0,0,1,4,0,0,14,5
