카테고리,경상북도 칠곡군,경상북도 칠곡군 왜관읍,경상북도 칠곡군 북삼읍,경상북도 칠곡군 석적읍,경상북도 칠곡군 지천면,경상북도 칠곡군 동명면,경상북도 칠곡군 가산면,경상북도 칠곡군 약목면,경상북도 칠곡군 기산면
2021년07월_계_총인구수,"113,981","32,939","24,419","30,963","4,131","5,340","3,408","9,624","3,157"
2021년07월_계_연령구간인구수,"113,981","32,939","24,419","30,963","4,131","5,340","3,408","9,624","3,157"
2021년07월_계_0~9세,"9,000","2,228","1,804","4,194",72,127,70,297,208
2021년07월_계_10~19세,"11,413","3,294","3,134","3,779",111,172,121,634,168
2021년07월_계_20~29세,"11,735","3,768","2,918","2,937",284,384,224,"1,011",209
2021년07월_계_30~39세,"14,135","3,324","2,396","6,668",251,330,200,656,310
2021년07월_계_40~49세,"20,515","5,314","5,125","7,184",354,473,334,"1,328",403
2021년07월_계_50~59세,"19,779","6,245","4,936","3,283",776,"1,083",706,"2,199",551
2021년07월_계_60~69세,"14,575","4,640","2,428","1,740","1,047","1,405",897,"1,796",622
2021년07월_계_70~79세,"7,634","2,417","1,064",743,691,778,531,"1,037",373
2021년07월_계_80~89세,"4,524","1,503",545,386,471,492,268,594,265
2021년07월_계_90~99세,648,194,69,48,72,94,57,69,45
2021년07월_계_100세 이상,23,12,0,1,2,2,0,3,3
2021년07월_남_총인구수,"59,388","16,518","12,691","16,715","2,225","2,725","1,857","5,009","1,648"
2021년07월_남_연령구간인구수,"59,388","16,518","12,691","16,715","2,225","2,725","1,857","5,009","1,648"
2021년07월_남_0~9세,"4,645","1,135",938,"2,168",38,64,36,148,118
2021년07월_남_10~19세,"5,999","1,698","1,635","2,008",65,90,61,347,95
2021년07월_남_20~29세,"6,720","2,177","1,711","1,520",167,255,149,610,131
2021년07월_남_30~39세,"7,683","1,774","1,230","3,629",155,199,127,404,165
2021년07월_남_40~49세,"11,034","2,706","2,527","4,102",247,295,207,714,236
2021년07월_남_50~59세,"10,701","3,165","2,680","1,975",459,549,402,"1,171",300
2021년07월_남_60~69세,"7,609","2,321","1,302",863,596,745,500,944,338
2021년07월_남_70~79세,"3,370","1,004",468,322,314,370,263,461,168
2021년07월_남_80~89세,"1,470",484,182,118,167,147,94,193,85
2021년07월_남_90~99세,155,53,18,10,17,11,18,17,11
2021년07월_남_100세 이상,2,1,0,0,0,0,0,0,1
2021년07월_여_총인구수,"54,593","16,421","11,728","14,248","1,906","2,615","1,551","4,615","1,509"
2021년07월_여_연령구간인구수,"54,593","16,421","11,728","14,248","1,906","2,615","1,551","4,615","1,509"
2021년07월_여_0~9세,"4,355","1,093",866,"2,026",34,63,34,149,90
2021년07월_여_10~19세,"5,414","1,596","1,499","1,771",46,82,60,287,73
2021년07월_여_20~29세,"5,015","1,591","1,207","1,417",117,129,75,401,78
2021년07월_여_30~39세,"6,452","1,550","1,166","3,039",96,131,73,252,145
2021년07월_여_40~49세,"9,481","2,608","2,598","3,082",107,178,127,614,167
2021년07월_여_50~59세,"9,078","3,080","2,256","1,308",317,534,304,"1,028",251
2021년07월_여_60~69세,"6,966","2,319","1,126",877,451,660,397,852,284
2021년07월_여_70~79세,"4,264","1,413",596,421,377,408,268,576,205
2021년07월_여_80~89세,"3,054","1,019",363,268,304,345,174,401,180
2021년07월_여_90~99세,493,141,51,38,55,83,39,52,34
2021년07월_여_100세 이상,21,11,0,1,2,2,0,3,2
