,강원도,강원도 춘천시,강원도 원주시,강원도 강릉시,강원도 동해시,강원도 태백시,강원도 속초시,강원도 삼척시,강원도 홍천군,강원도 횡성군,강원도 영월군,강원도 평창군,강원도 정선군,강원도 철원군,강원도 화천군,강원도 양구군,강원도 인제군,강원도 고성군,강원도 양양군
2021년10월_계_총인구수,"1,537,717","283,803","356,625","213,155","90,115","41,055","82,579","63,833","68,499","46,586","38,011","41,006","35,659","43,489","24,247","21,925","32,090","27,014","28,026"
2021년10월_계_연령구간인구수,"1,537,717","283,803","356,625","213,155","90,115","41,055","82,579","63,833","68,499","46,586","38,011","41,006","35,659","43,489","24,247","21,925","32,090","27,014","28,026"
2021년10월_계_0~9세,"101,658","20,876","27,521","12,932","6,336","2,344","5,666","3,582","3,605","2,113","1,581","1,744","1,660","3,192","1,735","1,680","2,502","1,301","1,288"
2021년10월_계_10~19세,"134,400","26,504","35,344","18,566","8,560","3,667","7,200","5,092","4,992","3,528","2,791","2,749","2,427","3,633","1,707","1,999","2,265","1,586","1,790"
2021년10월_계_20~29세,"175,880","37,432","44,957","24,771","9,312","3,480","8,924","6,915","6,494","3,653","3,131","3,235","2,612","5,309","3,618","2,858","4,177","2,646","2,356"
2021년10월_계_30~39세,"162,862","34,171","45,249","21,295","8,754","3,373","9,080","5,293","5,786","3,274","2,652","2,838","2,794","4,524","2,753","2,521","3,942","2,302","2,261"
2021년10월_계_40~49세,"219,415","41,854","56,654","31,784","14,288","6,112","12,179","8,485","8,007","4,943","4,341","5,080","4,664","5,492","2,617","2,439","3,963","3,056","3,457"
2021년10월_계_50~59세,"264,460","46,674","61,109","36,647","15,682","7,043","15,023","10,961","12,179","8,553","7,133","7,803","6,672","6,941","3,759","3,423","5,100","4,788","4,970"
2021년10월_계_60~69세,"258,240","41,337","49,537","35,581","14,652","7,766","13,762","11,785","14,982","11,046","8,437","9,409","7,853","7,123","4,111","3,637","5,673","5,615","5,934"
2021년10월_계_70~79세,"132,968","20,493","21,423","19,499","7,966","4,823","6,770","7,012","7,158","5,464","4,723","4,908","4,363","4,514","2,231","1,961","2,595","3,430","3,635"
2021년10월_계_80~89세,"75,824","12,453","12,811","10,331","3,986","2,173","3,356","4,076","4,613","3,440","2,845","2,849","2,282","2,380","1,477","1,211","1,600","1,950","1,991"
2021년10월_계_90~99세,"11,553","1,935","1,959","1,694",565,250,599,609,651,546,353,372,320,367,229,180,265,328,331
2021년10월_계_100세 이상,457,74,61,55,14,24,20,23,32,26,24,19,12,14,10,16,8,12,13
2021년10월_남_총인구수,"774,008","140,204","176,866","105,783","45,756","20,777","40,975","32,272","35,274","23,916","19,669","21,085","18,585","22,552","13,158","11,540","17,392","13,895","14,309"
2021년10월_남_연령구간인구수,"774,008","140,204","176,866","105,783","45,756","20,777","40,975","32,272","35,274","23,916","19,669","21,085","18,585","22,552","13,158","11,540","17,392","13,895","14,309"
2021년10월_남_0~9세,"51,988","10,719","14,010","6,664","3,252","1,242","2,870","1,823","1,842","1,116",836,862,855,"1,580",887,842,"1,268",663,657
2021년10월_남_10~19세,"69,806","13,774","18,249","9,749","4,457","1,892","3,748","2,618","2,528","1,847","1,507","1,445","1,256","1,891",858,997,"1,193",852,945
2021년10월_남_20~29세,"99,042","20,039","23,967","13,613","5,457","2,013","5,031","3,860","3,933","2,097","1,821","1,919","1,533","3,438","2,515","1,891","2,813","1,695","1,407"
2021년10월_남_30~39세,"85,789","17,503","22,995","11,236","4,709","1,798","4,896","2,863","3,149","1,723","1,440","1,543","1,545","2,521","1,637","1,399","2,277","1,310","1,245"
2021년10월_남_40~49세,"112,450","20,686","27,860","16,184","7,465","3,254","6,107","4,634","4,299","2,746","2,343","2,778","2,691","2,913","1,425","1,312","2,199","1,670","1,884"
2021년10월_남_50~59세,"136,499","23,504","30,687","18,543","8,144","3,799","7,436","5,956","6,464","4,525","3,960","4,197","3,741","3,706","2,029","1,820","2,726","2,590","2,672"
2021년10월_남_60~69세,"128,852","19,999","24,597","16,981","7,095","3,818","6,661","5,938","7,818","5,779","4,473","4,932","4,155","3,536","2,229","1,948","3,033","2,871","2,989"
2021년10월_남_70~79세,"59,829","8,998","9,540","8,737","3,592","2,120","2,941","3,105","3,412","2,671","2,158","2,300","1,960","2,017",994,857,"1,242","1,487","1,698"
2021년10월_남_80~89세,"27,102","4,491","4,507","3,728","1,468",781,"1,171","1,349","1,673","1,289","1,025","1,037",783,865,525,424,569,676,741
2021년10월_남_90~99세,"2,545",471,445,336,115,51,108,124,153,119,98,68,61,83,55,43,68,78,69
2021년10월_남_100세 이상,106,20,9,12,2,9,6,2,3,4,8,4,5,2,4,7,4,3,2
2021년10월_여_총인구수,"763,709","143,599","179,759","107,372","44,359","20,278","41,604","31,561","33,225","22,670","18,342","19,921","17,074","20,937","11,089","10,385","14,698","13,119","13,717"
2021년10월_여_연령구간인구수,"763,709","143,599","179,759","107,372","44,359","20,278","41,604","31,561","33,225","22,670","18,342","19,921","17,074","20,937","11,089","10,385","14,698","13,119","13,717"
2021년10월_여_0~9세,"49,670","10,157","13,511","6,268","3,084","1,102","2,796","1,759","1,763",997,745,882,805,"1,612",848,838,"1,234",638,631
2021년10월_여_10~19세,"64,594","12,730","17,095","8,817","4,103","1,775","3,452","2,474","2,464","1,681","1,284","1,304","1,171","1,742",849,"1,002","1,072",734,845
2021년10월_여_20~29세,"76,838","17,393","20,990","11,158","3,855","1,467","3,893","3,055","2,561","1,556","1,310","1,316","1,079","1,871","1,103",967,"1,364",951,949
2021년10월_여_30~39세,"77,073","16,668","22,254","10,059","4,045","1,575","4,184","2,430","2,637","1,551","1,212","1,295","1,249","2,003","1,116","1,122","1,665",992,"1,016"
2021년10월_여_40~49세,"106,965","21,168","28,794","15,600","6,823","2,858","6,072","3,851","3,708","2,197","1,998","2,302","1,973","2,579","1,192","1,127","1,764","1,386","1,573"
2021년10월_여_50~59세,"127,961","23,170","30,422","18,104","7,538","3,244","7,587","5,005","5,715","4,028","3,173","3,606","2,931","3,235","1,730","1,603","2,374","2,198","2,298"
2021년10월_여_60~69세,"129,388","21,338","24,940","18,600","7,557","3,948","7,101","5,847","7,164","5,267","3,964","4,477","3,698","3,587","1,882","1,689","2,640","2,744","2,945"
2021년10월_여_70~79세,"73,139","11,495","11,883","10,762","4,374","2,703","3,829","3,907","3,746","2,793","2,565","2,608","2,403","2,497","1,237","1,104","1,353","1,943","1,937"
2021년10월_여_80~89세,"48,722","7,962","8,304","6,603","2,518","1,392","2,185","2,727","2,940","2,151","1,820","1,812","1,499","1,515",952,787,"1,031","1,274","1,250"
2021년10월_여_90~99세,"9,008","1,464","1,514","1,358",450,199,491,485,498,427,255,304,259,284,174,137,197,250,262
2021년10월_여_100세 이상,351,54,52,43,12,15,14,21,29,22,16,15,7,12,6,9,4,9,11
