카테고리,경상북도 성주군,경상북도 성주군 성주읍,경상북도 성주군 선남면,경상북도 성주군 용암면,경상북도 성주군 수륜면,경상북도 성주군 가천면,경상북도 성주군 금수면,경상북도 성주군 대가면,경상북도 성주군 벽진면,경상북도 성주군 초전면,경상북도 성주군 월항면
2020년11월_계_총인구수,"43,225","13,707","6,147","3,659","3,101","2,013","1,190","2,453","3,064","4,504","3,387"
2020년11월_계_연령구간인구수,"43,225","13,707","6,147","3,659","3,101","2,013","1,190","2,453","3,064","4,504","3,387"
2020년11월_계_0~9세,"1,919",934,201,110,86,57,27,81,106,185,132
2020년11월_계_10~19세,"2,272","1,290",185,112,104,40,36,103,84,205,113
2020년11월_계_20~29세,"3,483","1,481",467,221,161,121,69,175,196,334,258
2020년11월_계_30~39세,"3,264","1,362",471,245,189,116,56,131,163,309,222
2020년11월_계_40~49세,"4,742","2,038",587,345,234,168,99,245,265,454,307
2020년11월_계_50~59세,"8,525","2,467","1,393",791,598,423,232,442,594,900,685
2020년11월_계_60~69세,"9,194","2,091","1,460",937,757,511,289,549,804,996,800
2020년11월_계_70~79세,"5,832","1,265",871,515,521,312,202,431,519,669,527
2020년11월_계_80~89세,"3,475",675,438,332,379,236,158,258,281,409,309
2020년11월_계_90~99세,491,99,68,50,66,28,21,38,49,40,32
2020년11월_계_100세 이상,28,5,6,1,6,1,1,0,3,3,2
2020년11월_남_총인구수,"22,349","6,959","3,359","1,987","1,523","1,004",611,"1,236","1,572","2,308","1,790"
2020년11월_남_연령구간인구수,"22,349","6,959","3,359","1,987","1,523","1,004",611,"1,236","1,572","2,308","1,790"
2020년11월_남_0~9세,971,453,115,52,46,27,18,38,50,99,73
2020년11월_남_10~19세,"1,271",730,106,71,49,19,21,55,46,115,59
2020년11월_남_20~29세,"2,056",839,297,130,103,74,40,95,120,197,161
2020년11월_남_30~39세,"1,788",702,277,155,106,76,38,72,82,165,115
2020년11월_남_40~49세,"2,832","1,085",410,225,137,113,63,157,184,269,189
2020년11월_남_50~59세,"4,681","1,308",779,465,305,219,136,248,319,513,389
2020년11월_남_60~69세,"4,812","1,044",788,532,409,257,145,279,422,506,430
2020년11월_남_70~79세,"2,700",558,430,245,239,135,94,188,253,300,258
2020년11월_남_80~89세,"1,119",216,138,101,111,80,49,94,85,136,109
2020년11월_남_90~99세,113,23,17,11,17,4,6,10,10,8,7
2020년11월_남_100세 이상,6,1,2,0,1,0,1,0,1,0,0
2020년11월_여_총인구수,"20,876","6,748","2,788","1,672","1,578","1,009",579,"1,217","1,492","2,196","1,597"
2020년11월_여_연령구간인구수,"20,876","6,748","2,788","1,672","1,578","1,009",579,"1,217","1,492","2,196","1,597"
2020년11월_여_0~9세,948,481,86,58,40,30,9,43,56,86,59
2020년11월_여_10~19세,"1,001",560,79,41,55,21,15,48,38,90,54
2020년11월_여_20~29세,"1,427",642,170,91,58,47,29,80,76,137,97
2020년11월_여_30~39세,"1,476",660,194,90,83,40,18,59,81,144,107
2020년11월_여_40~49세,"1,910",953,177,120,97,55,36,88,81,185,118
2020년11월_여_50~59세,"3,844","1,159",614,326,293,204,96,194,275,387,296
2020년11월_여_60~69세,"4,382","1,047",672,405,348,254,144,270,382,490,370
2020년11월_여_70~79세,"3,132",707,441,270,282,177,108,243,266,369,269
2020년11월_여_80~89세,"2,356",459,300,231,268,156,109,164,196,273,200
2020년11월_여_90~99세,378,76,51,39,49,24,15,28,39,32,25
2020년11월_여_100세 이상,22,4,4,1,5,1,0,0,2,3,2
