카테고리,강원도 철원군,강원도 철원군 철원읍,강원도 철원군 김화읍,강원도 철원군 갈말읍,강원도 철원군 동송읍,강원도 철원군 서면,강원도 철원군 서면와수출장소,강원도 철원군 근남면,강원도 철원군 근북면,강원도 철원군 근동면,강원도 철원군 원동면,강원도 철원군 원남면,강원도 철원군 임남면
2021년10월_계_총인구수,"43,489","5,279","3,512","11,840","15,005","1,875","3,699","2,177",102,0,0,0,0
2021년10월_계_연령구간인구수,"43,489","5,279","3,512","11,840","15,005","1,875","3,699","2,177",102,0,0,0,0
2021년10월_계_0~9세,"3,192",409,353,777,"1,099",160,224,170,0,0,0,0,0
2021년10월_계_10~19세,"3,633",469,265,944,"1,409",80,331,132,3,0,0,0,0
2021년10월_계_20~29세,"5,309",600,477,"1,536","1,658",362,411,264,1,0,0,0,0
2021년10월_계_30~39세,"4,524",587,458,"1,219","1,463",234,316,245,2,0,0,0,0
2021년10월_계_40~49세,"5,492",637,395,"1,555","1,992",180,534,191,8,0,0,0,0
2021년10월_계_50~59세,"6,941",854,445,"1,975","2,481",218,624,327,17,0,0,0,0
2021년10월_계_60~69세,"7,123",814,523,"1,980","2,466",288,622,411,19,0,0,0,0
2021년10월_계_70~79세,"4,514",578,344,"1,186","1,512",211,378,276,29,0,0,0,0
2021년10월_계_80~89세,"2,380",294,215,573,793,122,220,141,22,0,0,0,0
2021년10월_계_90~99세,367,37,35,88,129,20,38,19,1,0,0,0,0
2021년10월_계_100세 이상,14,0,2,7,3,0,1,1,0,0,0,0,0
2021년10월_남_총인구수,"22,552","2,686","1,871","6,337","7,545","1,041","1,870","1,155",47,0,0,0,0
2021년10월_남_연령구간인구수,"22,552","2,686","1,871","6,337","7,545","1,041","1,870","1,155",47,0,0,0,0
2021년10월_남_0~9세,"1,580",192,186,383,527,81,119,92,0,0,0,0,0
2021년10월_남_10~19세,"1,891",259,139,514,699,51,161,66,2,0,0,0,0
2021년10월_남_20~29세,"3,438",352,318,"1,051",995,264,266,191,1,0,0,0,0
2021년10월_남_30~39세,"2,521",321,258,705,791,145,163,137,1,0,0,0,0
2021년10월_남_40~49세,"2,913",337,224,816,"1,015",106,297,113,5,0,0,0,0
2021년10월_남_50~59세,"3,706",466,241,"1,045","1,331",118,331,163,11,0,0,0,0
2021년10월_남_60~69세,"3,536",400,274,"1,028","1,186",139,291,212,6,0,0,0,0
2021년10월_남_70~79세,"2,017",249,140,538,698,93,160,129,10,0,0,0,0
2021년10월_남_80~89세,865,101,84,236,270,39,76,48,11,0,0,0,0
2021년10월_남_90~99세,83,9,7,19,33,5,6,4,0,0,0,0,0
2021년10월_남_100세 이상,2,0,0,2,0,0,0,0,0,0,0,0,0
2021년10월_여_총인구수,"20,937","2,593","1,641","5,503","7,460",834,"1,829","1,022",55,0,0,0,0
2021년10월_여_연령구간인구수,"20,937","2,593","1,641","5,503","7,460",834,"1,829","1,022",55,0,0,0,0
2021년10월_여_0~9세,"1,612",217,167,394,572,79,105,78,0,0,0,0,0
2021년10월_여_10~19세,"1,742",210,126,430,710,29,170,66,1,0,0,0,0
2021년10월_여_20~29세,"1,871",248,159,485,663,98,145,73,0,0,0,0,0
2021년10월_여_30~39세,"2,003",266,200,514,672,89,153,108,1,0,0,0,0
2021년10월_여_40~49세,"2,579",300,171,739,977,74,237,78,3,0,0,0,0
2021년10월_여_50~59세,"3,235",388,204,930,"1,150",100,293,164,6,0,0,0,0
2021년10월_여_60~69세,"3,587",414,249,952,"1,280",149,331,199,13,0,0,0,0
2021년10월_여_70~79세,"2,497",329,204,648,814,118,218,147,19,0,0,0,0
2021년10월_여_80~89세,"1,515",193,131,337,523,83,144,93,11,0,0,0,0
2021년10월_여_90~99세,284,28,28,69,96,15,32,15,1,0,0,0,0
2021년10월_여_100세 이상,12,0,2,5,3,0,1,1,0,0,0,0,0
