카테고리,충청남도 태안군,충청남도 태안군 태안읍,충청남도 태안군 안면읍,충청남도 태안군 고남면,충청남도 태안군 남면,충청남도 태안군 근흥면,충청남도 태안군 소원면,충청남도 태안군 원북면,충청남도 태안군 이원면
2020년11월_계_총인구수,"62,346","29,533","8,683","2,391","4,320","5,364","5,360","4,412","2,283"
2020년11월_계_연령구간인구수,"62,346","29,533","8,683","2,391","4,320","5,364","5,360","4,412","2,283"
2020년11월_계_0~9세,"3,116","2,213",320,69,119,120,104,125,46
2020년11월_계_10~19세,"4,490","2,935",592,132,171,197,191,173,99
2020년11월_계_20~29세,"5,053","2,977",589,96,424,284,257,307,119
2020년11월_계_30~39세,"5,136","3,247",564,127,242,311,253,270,122
2020년11월_계_40~49세,"7,706","4,491","1,012",245,397,468,513,396,184
2020년11월_계_50~59세,"10,907","4,986","1,558",447,755,"1,009",999,777,376
2020년11월_계_60~69세,"11,993","4,271","1,914",549,"1,007","1,369","1,334","1,009",540
2020년11월_계_70~79세,"8,812","2,895","1,421",446,735,"1,013","1,045",801,456
2020년11월_계_80~89세,"4,493","1,350",603,254,408,513,590,478,297
2020년11월_계_90~99세,614,163,99,26,60,77,73,74,42
2020년11월_계_100세 이상,26,5,11,0,2,3,1,2,2
2020년11월_남_총인구수,"31,428","14,915","4,315","1,147","2,241","2,752","2,651","2,251","1,156"
2020년11월_남_연령구간인구수,"31,428","14,915","4,315","1,147","2,241","2,752","2,651","2,251","1,156"
2020년11월_남_0~9세,"1,533","1,096",161,26,55,53,52,65,25
2020년11월_남_10~19세,"2,338","1,524",314,57,94,113,99,85,52
2020년11월_남_20~29세,"2,973","1,717",342,57,291,172,144,188,62
2020년11월_남_30~39세,"2,868","1,752",311,67,141,205,144,171,77
2020년11월_남_40~49세,"4,345","2,376",569,149,254,304,330,236,127
2020년11월_남_50~59세,"5,745","2,553",827,242,397,554,533,422,217
2020년11월_남_60~69세,"5,762","2,045",886,264,499,656,647,499,266
2020년11월_남_70~79세,"4,142","1,356",667,195,348,479,483,396,218
2020년11월_남_80~89세,"1,592",457,216,86,146,199,208,173,107
2020년11월_남_90~99세,125,39,20,4,14,17,11,15,5
2020년11월_남_100세 이상,5,0,2,0,2,0,0,1,0
2020년11월_여_총인구수,"30,918","14,618","4,368","1,244","2,079","2,612","2,709","2,161","1,127"
2020년11월_여_연령구간인구수,"30,918","14,618","4,368","1,244","2,079","2,612","2,709","2,161","1,127"
2020년11월_여_0~9세,"1,583","1,117",159,43,64,67,52,60,21
2020년11월_여_10~19세,"2,152","1,411",278,75,77,84,92,88,47
2020년11월_여_20~29세,"2,080","1,260",247,39,133,112,113,119,57
2020년11월_여_30~39세,"2,268","1,495",253,60,101,106,109,99,45
2020년11월_여_40~49세,"3,361","2,115",443,96,143,164,183,160,57
2020년11월_여_50~59세,"5,162","2,433",731,205,358,455,466,355,159
2020년11월_여_60~69세,"6,231","2,226","1,028",285,508,713,687,510,274
2020년11월_여_70~79세,"4,670","1,539",754,251,387,534,562,405,238
2020년11월_여_80~89세,"2,901",893,387,168,262,314,382,305,190
2020년11월_여_90~99세,489,124,79,22,46,60,62,59,37
2020년11월_여_100세 이상,21,5,9,0,0,3,1,1,2
