카테고리,충청북도 음성군,충청북도 음성군 음성읍,충청북도 음성군 금왕읍,충청북도 음성군 소이면,충청북도 음성군 원남면,충청북도 음성군 맹동면,충청북도 음성군 대소면,충청북도 음성군 삼성면,충청북도 음성군 생극면,충청북도 음성군 감곡면
2020년08월_계_총인구수,"94,179","17,125","20,280","2,928","3,071","13,270","15,798","7,033","4,560","10,114"
2020년08월_계_연령구간인구수,"94,179","17,125","20,280","2,928","3,071","13,270","15,798","7,033","4,560","10,114"
2020년08월_계_0~9세,"6,234",942,"1,412",53,67,"1,636","1,169",265,174,516
2020년08월_계_10~19세,"7,865","1,437","2,072",119,155,"1,009","1,598",450,236,789
2020년08월_계_20~29세,"9,587","1,740","2,241",163,178,"1,464","1,787",628,345,"1,041"
2020년08월_계_30~39세,"10,079","1,574","2,133",184,175,"2,459","1,756",598,313,887
2020년08월_계_40~49세,"14,074","2,367","3,400",226,231,"2,238","2,906",905,491,"1,310"
2020년08월_계_50~59세,"17,830","3,298","3,922",538,546,"1,814","3,192","1,573",952,"1,995"
2020년08월_계_60~69세,"14,870","2,996","2,751",688,782,"1,469","1,925","1,369","1,013","1,877"
2020년08월_계_70~79세,"8,283","1,744","1,443",541,546,729,906,736,594,"1,044"
2020년08월_계_80~89세,"4,611",888,781,368,333,369,488,443,379,562
2020년08월_계_90~99세,691,132,111,46,54,67,71,62,58,90
2020년08월_계_100세 이상,55,7,14,2,4,16,0,4,5,3
2020년08월_남_총인구수,"49,950","8,759","10,820","1,500","1,615","7,100","8,632","3,897","2,490","5,137"
2020년08월_남_연령구간인구수,"49,950","8,759","10,820","1,500","1,615","7,100","8,632","3,897","2,490","5,137"
2020년08월_남_0~9세,"3,259",486,738,27,33,866,607,158,89,255
2020년08월_남_10~19세,"4,091",729,"1,135",64,101,505,832,244,118,363
2020년08월_남_20~29세,"5,592",990,"1,338",95,106,779,"1,073",386,234,591
2020년08월_남_30~39세,"5,643",878,"1,179",111,104,"1,313","1,019",368,191,480
2020년08월_남_40~49세,"7,913","1,265","1,873",150,156,"1,259","1,599",576,312,723
2020년08월_남_50~59세,"9,915","1,758","2,204",296,298,995,"1,852",903,547,"1,062"
2020년08월_남_60~69세,"7,880","1,516","1,418",366,433,842,"1,048",753,551,953
2020년08월_남_70~79세,"3,901",807,633,243,262,369,419,354,300,514
2020년08월_남_80~89세,"1,562",287,274,138,107,144,166,140,132,174
2020년08월_남_90~99세,169,40,25,10,14,14,17,13,14,22
2020년08월_남_100세 이상,25,3,3,0,1,14,0,2,2,0
2020년08월_여_총인구수,"44,229","8,366","9,460","1,428","1,456","6,170","7,166","3,136","2,070","4,977"
2020년08월_여_연령구간인구수,"44,229","8,366","9,460","1,428","1,456","6,170","7,166","3,136","2,070","4,977"
2020년08월_여_0~9세,"2,975",456,674,26,34,770,562,107,85,261
2020년08월_여_10~19세,"3,774",708,937,55,54,504,766,206,118,426
2020년08월_여_20~29세,"3,995",750,903,68,72,685,714,242,111,450
2020년08월_여_30~39세,"4,436",696,954,73,71,"1,146",737,230,122,407
2020년08월_여_40~49세,"6,161","1,102","1,527",76,75,979,"1,307",329,179,587
2020년08월_여_50~59세,"7,915","1,540","1,718",242,248,819,"1,340",670,405,933
2020년08월_여_60~69세,"6,990","1,480","1,333",322,349,627,877,616,462,924
2020년08월_여_70~79세,"4,382",937,810,298,284,360,487,382,294,530
2020년08월_여_80~89세,"3,049",601,507,230,226,225,322,303,247,388
2020년08월_여_90~99세,522,92,86,36,40,53,54,49,44,68
2020년08월_여_100세 이상,30,4,11,2,3,2,0,2,3,3
