카테고리,전라남도 목포시,전라남도 목포시 용당1동,전라남도 목포시 용당2동,전라남도 목포시 연동,전라남도 목포시 산정동,전라남도 목포시 연산동,전라남도 목포시 원산동,전라남도 목포시 대성동,전라남도 목포시 목원동,전라남도 목포시 동명동,전라남도 목포시 삼학동,전라남도 목포시 만호동,전라남도 목포시 유달동,전라남도 목포시 죽교동,전라남도 목포시 북항동,전라남도 목포시 용해동,전라남도 목포시 이로동,전라남도 목포시 상동,전라남도 목포시 하당동,전라남도 목포시 신흥동,전라남도 목포시 삼향동,전라남도 목포시 옥암동,전라남도 목포시 부흥동,전라남도 목포시 부주동
2020년02월_계_총인구수,"229,235","11,277","5,506","4,937","9,028","9,938","13,880","5,531","8,073","5,732","6,478","3,157","4,730","3,444","9,820","18,252","10,499","18,193","12,560","17,170","5,163","11,278","10,147","24,442"
2020년02월_계_연령구간인구수,"229,235","11,277","5,506","4,937","9,028","9,938","13,880","5,531","8,073","5,732","6,478","3,157","4,730","3,444","9,820","18,252","10,499","18,193","12,560","17,170","5,163","11,278","10,147","24,442"
2020년02월_계_0~9세,"20,002",547,252,193,674,"1,412","1,148",551,248,233,499,79,158,178,834,"2,132",974,"1,648",983,"1,433",517,"1,140",982,"3,187"
2020년02월_계_10~19세,"25,639",827,379,314,981,"1,150","1,672",500,467,369,653,155,236,271,"1,087","2,519","1,361","2,128","1,240","2,036",569,"1,654","1,129","3,942"
2020년02월_계_20~29세,"27,657","1,187",581,470,"1,065","1,330","1,860",564,785,556,780,220,595,335,"1,161","1,934","1,130","1,915","2,199","2,666",550,"1,495","1,409","2,870"
2020년02월_계_30~39세,"27,956","1,107",543,427,"1,063","1,781","1,593",866,668,499,734,261,331,308,"1,119","2,428","1,231","2,160","1,851","2,055",675,"1,408","1,404","3,444"
2020년02월_계_40~49세,"38,429","1,535",748,670,"1,380","1,720","2,409",867,"1,050",775,"1,000",457,615,490,"1,601","3,394","1,759","3,047","2,271","2,834",867,"2,069","1,741","5,130"
2020년02월_계_50~59세,"36,893","1,867",929,874,"1,508","1,203","2,382",846,"1,486",959,982,596,793,560,"1,699","2,541","1,617","2,928","1,995","3,207",794,"1,858","1,812","3,457"
2020년02월_계_60~69세,"27,707","2,099","1,051",880,"1,214",755,"1,546",682,"1,521","1,100",991,668,861,571,"1,311","1,689","1,327","2,351","1,184","1,793",644,954,969,"1,546"
2020년02월_계_70~79세,"17,279","1,488",762,768,778,410,878,436,"1,271",907,625,510,764,507,713,"1,074",753,"1,364",567,770,366,477,470,621
