카테고리,전라남도 장흥군,전라남도 장흥군 장흥읍,전라남도 장흥군 관산읍,전라남도 장흥군 대덕읍,전라남도 장흥군 용산면,전라남도 장흥군 안양면,전라남도 장흥군 장동면,전라남도 장흥군 장평면,전라남도 장흥군 유치면,전라남도 장흥군 부산면,전라남도 장흥군 회진면
2020년12월_계_총인구수,"37,800","15,465","4,998","3,409","2,341","2,850","1,268","2,105","1,079","1,456","2,829"
2020년12월_계_연령구간인구수,"37,800","15,465","4,998","3,409","2,341","2,850","1,268","2,105","1,079","1,456","2,829"
2020년12월_계_0~9세,"2,014","1,325",159,139,78,76,36,39,15,43,104
2020년12월_계_10~19세,"2,811","1,614",298,209,115,129,54,106,34,77,175
2020년12월_계_20~29세,"3,098","1,603",335,223,138,213,66,138,63,101,218
2020년12월_계_30~39세,"2,784","1,564",301,194,138,164,70,94,44,61,154
2020년12월_계_40~49세,"4,132","2,139",418,333,208,265,101,154,95,140,279
2020년12월_계_50~59세,"6,322","2,485",851,573,347,499,203,394,258,242,470
2020년12월_계_60~69세,"6,615","2,190","1,007",673,493,567,269,377,243,239,557
2020년12월_계_70~79세,"5,474","1,475",896,577,426,483,218,406,181,263,549
2020년12월_계_80~89세,"3,902",896,638,423,332,375,221,360,122,239,296
2020년12월_계_90~99세,624,164,93,60,63,78,28,37,23,51,27
2020년12월_계_100세 이상,24,10,2,5,3,1,2,0,1,0,0
2020년12월_남_총인구수,"18,381","7,532","2,423","1,642","1,136","1,407",599,"1,005",542,718,"1,377"
2020년12월_남_연령구간인구수,"18,381","7,532","2,423","1,642","1,136","1,407",599,"1,005",542,718,"1,377"
2020년12월_남_0~9세,"1,033",669,90,56,43,48,18,19,5,27,58
2020년12월_남_10~19세,"1,469",827,171,108,63,75,23,49,21,38,94
2020년12월_남_20~29세,"1,746",881,189,123,87,121,31,83,36,59,136
2020년12월_남_30~39세,"1,480",779,164,107,85,104,37,52,31,35,86
2020년12월_남_40~49세,"2,275","1,062",244,209,128,156,67,107,57,81,164
2020년12월_남_50~59세,"3,432","1,317",452,318,191,278,116,224,148,150,238
2020년12월_남_60~69세,"3,308","1,052",514,334,265,298,137,200,126,126,256
2020년12월_남_70~79세,"2,311",629,366,242,175,219,99,158,72,110,241
2020년12월_남_80~89세,"1,198",285,213,128,89,91,65,106,39,83,99
2020년12월_남_90~99세,125,30,20,15,10,17,5,7,7,9,5
2020년12월_남_100세 이상,4,1,0,2,0,0,1,0,0,0,0
2020년12월_여_총인구수,"19,419","7,933","2,575","1,767","1,205","1,443",669,"1,100",537,738,"1,452"
2020년12월_여_연령구간인구수,"19,419","7,933","2,575","1,767","1,205","1,443",669,"1,100",537,738,"1,452"
2020년12월_여_0~9세,981,656,69,83,35,28,18,20,10,16,46
2020년12월_여_10~19세,"1,342",787,127,101,52,54,31,57,13,39,81
2020년12월_여_20~29세,"1,352",722,146,100,51,92,35,55,27,42,82
2020년12월_여_30~39세,"1,304",785,137,87,53,60,33,42,13,26,68
2020년12월_여_40~49세,"1,857","1,077",174,124,80,109,34,47,38,59,115
2020년12월_여_50~59세,"2,890","1,168",399,255,156,221,87,170,110,92,232
2020년12월_여_60~69세,"3,307","1,138",493,339,228,269,132,177,117,113,301
2020년12월_여_70~79세,"3,163",846,530,335,251,264,119,248,109,153,308
2020년12월_여_80~89세,"2,704",611,425,295,243,284,156,254,83,156,197
2020년12월_여_90~99세,499,134,73,45,53,61,23,30,16,42,22
2020년12월_여_100세 이상,20,9,2,3,3,1,1,0,1,0,0
