카테고리,인천광역시 옹진군,인천광역시 옹진군 북도면,인천광역시 옹진군 북도면장봉출장소,인천광역시 옹진군 백령면,인천광역시 옹진군 대청면,인천광역시 옹진군 대청면소청출장소,인천광역시 옹진군 덕적면,인천광역시 옹진군 영흥면,인천광역시 옹진군 자월면,인천광역시 옹진군 자월면이작출장소,인천광역시 옹진군 연평면
2020년09월_계_총인구수,"20,425","1,160",995,"5,205","1,249",238,"1,929","6,272",937,382,"2,058"
2020년09월_계_연령구간인구수,"20,425","1,160",995,"5,205","1,249",238,"1,929","6,272",937,382,"2,058"
2020년09월_계_0~9세,964,38,30,362,57,2,48,292,23,15,97
2020년09월_계_10~19세,"1,121",49,30,297,65,6,92,406,35,15,126
2020년09월_계_20~29세,"2,666",84,54,"1,036",193,44,133,550,78,24,470
2020년09월_계_30~39세,"1,914",76,58,628,125,19,92,613,45,22,236
2020년09월_계_40~49세,"2,444",115,121,671,118,18,183,822,94,38,264
2020년09월_계_50~59세,"3,624",212,202,709,236,29,373,"1,275",190,77,321
2020년09월_계_60~69세,"3,938",322,271,753,215,48,466,"1,255",222,86,300
2020년09월_계_70~79세,"2,369",160,153,429,163,54,332,722,153,62,141
2020년09월_계_80~89세,"1,127",84,55,250,68,15,170,284,83,34,84
2020년09월_계_90~99세,245,18,19,67,9,3,39,49,13,9,19
2020년09월_계_100세 이상,13,2,2,3,0,0,1,4,1,0,0
2020년09월_남_총인구수,"11,630",613,526,"3,083",725,152,"1,039","3,485",502,199,"1,306"
2020년09월_남_연령구간인구수,"11,630",613,526,"3,083",725,152,"1,039","3,485",502,199,"1,306"
2020년09월_남_0~9세,499,18,16,191,29,0,20,159,15,8,43
2020년09월_남_10~19세,602,24,19,137,34,5,48,234,18,7,76
2020년09월_남_20~29세,"1,963",49,30,824,143,38,81,362,45,11,380
2020년09월_남_30~39세,"1,188",40,32,381,80,16,57,380,27,15,160
2020년09월_남_40~49세,"1,542",66,76,440,83,15,111,487,62,21,181
2020년09월_남_50~59세,"2,088",126,117,400,128,20,236,696,115,48,202
2020년09월_남_60~69세,"2,122",172,138,404,125,28,265,676,115,43,156
2020년09월_남_70~79세,"1,165",83,81,204,67,24,151,378,71,37,69
2020년09월_남_80~89세,409,30,16,86,33,6,61,103,32,8,34
2020년09월_남_90~99세,48,4,0,15,3,0,9,9,2,1,5
2020년09월_남_100세 이상,4,1,1,1,0,0,0,1,0,0,0
2020년09월_여_총인구수,"8,795",547,469,"2,122",524,86,890,"2,787",435,183,752
2020년09월_여_연령구간인구수,"8,795",547,469,"2,122",524,86,890,"2,787",435,183,752
2020년09월_여_0~9세,465,20,14,171,28,2,28,133,8,7,54
2020년09월_여_10~19세,519,25,11,160,31,1,44,172,17,8,50
2020년09월_여_20~29세,703,35,24,212,50,6,52,188,33,13,90
2020년09월_여_30~39세,726,36,26,247,45,3,35,233,18,7,76
2020년09월_여_40~49세,902,49,45,231,35,3,72,335,32,17,83
2020년09월_여_50~59세,"1,536",86,85,309,108,9,137,579,75,29,119
2020년09월_여_60~69세,"1,816",150,133,349,90,20,201,579,107,43,144
2020년09월_여_70~79세,"1,204",77,72,225,96,30,181,344,82,25,72
2020년09월_여_80~89세,718,54,39,164,35,9,109,181,51,26,50
2020년09월_여_90~99세,197,14,19,52,6,3,30,40,11,8,14
2020년09월_여_100세 이상,9,1,1,2,0,0,1,3,1,0,0
