,울산광역시,울산광역시 중구,울산광역시 남구,울산광역시 동구,울산광역시 북구,울산광역시 울주군
2021년08월_계_총인구수,"1,124,459","214,280","315,599","154,705","217,920","221,955"
2021년08월_계_연령구간인구수,"1,124,459","214,280","315,599","154,705","217,920","221,955"
2021년08월_계_0~9세,"93,908","15,720","22,903","14,033","24,333","16,919"
2021년08월_계_10~19세,"110,407","19,645","29,474","15,608","23,629","22,051"
2021년08월_계_20~29세,"139,883","25,742","44,264","17,099","26,610","26,168"
2021년08월_계_30~39세,"146,836","25,565","41,236","21,777","33,096","25,162"
2021년08월_계_40~49세,"184,554","33,440","50,104","26,003","38,673","36,334"
2021년08월_계_50~59세,"206,621","40,328","60,790","24,960","38,497","42,046"
2021년08월_계_60~69세,"153,461","33,236","43,347","23,623","21,725","31,530"
2021년08월_계_70~79세,"61,923","14,627","16,912","8,644","7,713","14,027"
2021년08월_계_80~89세,"23,627","5,335","5,874","2,583","3,161","6,674"
2021년08월_계_90~99세,"3,154",626,675,366,465,"1,022"
2021년08월_계_100세 이상,85,16,20,9,18,22
2021년08월_남_총인구수,"577,806","108,516","160,976","80,767","112,835","114,712"
2021년08월_남_연령구간인구수,"577,806","108,516","160,976","80,767","112,835","114,712"
2021년08월_남_0~9세,"48,255","8,091","11,768","7,153","12,529","8,714"
2021년08월_남_10~19세,"57,997","10,452","15,576","8,284","12,236","11,449"
2021년08월_남_20~29세,"78,952","14,396","24,704","9,594","15,263","14,995"
2021년08월_남_30~39세,"78,101","13,471","22,069","11,948","17,190","13,423"
2021년08월_남_40~49세,"94,288","17,095","24,625","14,150","19,831","18,587"
2021년08월_남_50~59세,"104,905","20,066","30,391","12,547","19,704","22,197"
2021년08월_남_60~69세,"77,277","16,179","21,576","11,745","11,434","16,343"
2021년08월_남_70~79세,"29,516","6,770","8,067","4,408","3,621","6,650"
2021년08월_남_80~89세,"7,979","1,894","2,084",882,954,"2,165"
2021년08월_남_90~99세,525,100,115,54,69,187
2021년08월_남_100세 이상,11,2,1,2,4,2
2021년08월_여_총인구수,"546,653","105,764","154,623","73,938","105,085","107,243"
2021년08월_여_연령구간인구수,"546,653","105,764","154,623","73,938","105,085","107,243"
2021년08월_여_0~9세,"45,653","7,629","11,135","6,880","11,804","8,205"
2021년08월_여_10~19세,"52,410","9,193","13,898","7,324","11,393","10,602"
2021년08월_여_20~29세,"60,931","11,346","19,560","7,505","11,347","11,173"
2021년08월_여_30~39세,"68,735","12,094","19,167","9,829","15,906","11,739"
2021년08월_여_40~49세,"90,266","16,345","25,479","11,853","18,842","17,747"
2021년08월_여_50~59세,"101,716","20,262","30,399","12,413","18,793","19,849"
2021년08월_여_60~69세,"76,184","17,057","21,771","11,878","10,291","15,187"
2021년08월_여_70~79세,"32,407","7,857","8,845","4,236","4,092","7,377"
2021년08월_여_80~89세,"15,648","3,441","3,790","1,701","2,207","4,509"
2021년08월_여_90~99세,"2,629",526,560,312,396,835
2021년08월_여_100세 이상,74,14,19,7,14,20
