카테고리,세종특별자치시 세종특별자치시,세종특별자치시  조치원읍,세종특별자치시  연기면,세종특별자치시  연동면,세종특별자치시  부강면,세종특별자치시  금남면,세종특별자치시  장군면,세종특별자치시  연서면,세종특별자치시  전의면,세종특별자치시  전동면,세종특별자치시  소정면,세종특별자치시  한솔동,세종특별자치시  새롬동,세종특별자치시  도담동,세종특별자치시  아름동,세종특별자치시  종촌동,세종특별자치시  고운동,세종특별자치시  소담동,세종특별자치시  보람동,세종특별자치시  대평동,세종특별자치시  다정동
2020년10월_계_총인구수,"351,007","43,086","2,672","3,151","6,191","8,779","6,639","7,485","5,687","3,624","2,454","19,385","29,498","36,571","23,742","29,725","34,476","31,253","19,513","10,940","26,136"
2020년10월_계_연령구간인구수,"351,007","43,086","2,672","3,151","6,191","8,779","6,639","7,485","5,687","3,624","2,454","19,385","29,498","36,571","23,742","29,725","34,476","31,253","19,513","10,940","26,136"
2020년10월_계_0~9세,"47,042","3,295",82,93,346,309,213,328,199,84,103,"2,679","4,328","5,105","3,697","4,779","6,152","5,545","3,244","1,660","4,801"
2020년10월_계_10~19세,"41,968","4,208",101,126,372,409,300,432,403,128,187,"3,375","3,837","4,953","4,276","4,164","4,698","3,225","2,498","1,031","3,245"
2020년10월_계_20~29세,"36,742","6,349",359,302,724,862,975,859,556,289,273,"1,716","3,658","4,208","1,767","2,628","2,626","3,078","1,902","1,323","2,288"
2020년10월_계_30~39세,"60,994","5,419",330,275,703,848,836,719,518,261,186,"2,668","6,066","6,782","3,559","5,590","6,799","7,414","3,804","2,307","5,910"
2020년10월_계_40~49세,"67,761","6,916",314,327,840,"1,010",929,922,709,363,352,"4,530","6,012","7,754","6,014","6,324","7,443","5,924","3,928","1,840","5,310"
2020년10월_계_50~59세,"44,596","6,743",535,557,"1,118","1,636","1,271","1,287","1,070",719,454,"2,526","3,208","4,229","2,626","3,183","3,413","3,500","2,284","1,625","2,612"
2020년10월_계_60~69세,"29,409","5,283",506,681,"1,023","1,757","1,091","1,387",981,872,405,"1,169","1,615","2,085","1,157","1,891","2,274","1,769","1,252",795,"1,416"
2020년10월_계_70~79세,"14,219","3,122",260,420,624,"1,164",594,929,679,521,272,490,530,948,451,801,802,568,423,229,392
2020년10월_계_80~89세,"7,045","1,505",160,305,395,668,376,544,487,328,197,195,199,420,156,319,223,182,145,106,135
2020년10월_계_90~99세,"1,177",231,23,61,44,112,52,75,79,52,24,35,45,87,39,46,46,44,33,23,26
2020년10월_계_100세 이상,54,15,2,4,2,4,2,3,6,7,1,2,0,0,0,0,0,4,0,1,1
2020년10월_남_총인구수,"175,135","22,255","1,501","1,635","3,415","4,615","3,775","4,065","3,014","1,976","1,298","9,546","14,220","17,703","11,758","14,425","16,830","15,396","9,578","5,441","12,689"
2020년10월_남_연령구간인구수,"175,135","22,255","1,501","1,635","3,415","4,615","3,775","4,065","3,014","1,976","1,298","9,546","14,220","17,703","11,758","14,425","16,830","15,396","9,578","5,441","12,689"
2020년10월_남_0~9세,"24,095","1,712",38,47,174,144,109,154,103,39,56,"1,382","2,225","2,643","1,929","2,427","3,132","2,829","1,658",876,"2,418"
2020년10월_남_10~19세,"21,040","2,140",53,63,207,206,157,227,227,68,91,"1,704","1,850","2,470","2,205","2,061","2,396","1,558","1,257",520,"1,580"
2020년10월_남_20~29세,"18,658","3,576",209,186,475,503,592,548,320,169,159,878,"1,615","1,866",906,"1,228","1,265","1,494",920,671,"1,078"
2020년10월_남_30~39세,"29,744","2,951",225,154,438,515,566,454,313,168,113,"1,210","2,858","3,178","1,569","2,608","3,163","3,575","1,761","1,148","2,777"
2020년10월_남_40~49세,"34,640","3,683",206,204,517,624,620,561,430,229,212,"2,193","2,989","3,815","2,910","3,179","3,730","2,995","1,980",905,"2,658"
2020년10월_남_50~59세,"23,211","3,573",317,311,659,906,713,753,596,425,258,"1,321","1,599","2,195","1,414","1,577","1,629","1,732","1,157",798,"1,278"
2020년10월_남_60~69세,"14,571","2,612",282,367,515,920,582,723,531,492,218,571,773,983,552,858,"1,050",896,595,380,671
2020년10월_남_70~79세,"6,513","1,371",117,194,268,551,285,418,292,259,117,219,248,422,212,374,376,269,209,114,198
2020년10월_남_80~89세,"2,395",570,53,94,146,223,136,209,187,117,69,57,55,115,49,100,80,41,36,27,31
2020년10월_남_90~99세,257,64,1,14,15,23,15,18,14,8,4,11,8,16,12,13,9,6,5,1,0
2020년10월_남_100세 이상,11,3,0,1,1,0,0,0,1,2,1,0,0,0,0,0,0,1,0,1,0
2020년10월_여_총인구수,"175,872","20,831","1,171","1,516","2,776","4,164","2,864","3,420","2,673","1,648","1,156","9,839","15,278","18,868","11,984","15,300","17,646","15,857","9,935","5,499","13,447"
