,부산광역시 중구,부산광역시 중구 중앙동,부산광역시 중구 동광동,부산광역시 중구 대청동,부산광역시 중구 보수동,부산광역시 중구 부평동,부산광역시 중구 광복동,부산광역시 중구 남포동,부산광역시 중구 영주제1동,부산광역시 중구 영주제2동
2020년11월_계_총인구수,"41,501","2,442","2,907","6,544","10,702","4,659","1,064","1,032","4,772","7,379"
2020년11월_계_연령구간인구수,"41,501","2,442","2,907","6,544","10,702","4,659","1,064","1,032","4,772","7,379"
2020년11월_계_0~9세,"1,336",38,77,217,391,111,18,15,185,284
2020년11월_계_10~19세,"2,035",78,103,386,567,190,38,28,209,436
2020년11월_계_20~29세,"5,629",585,318,936,"1,505",525,113,69,788,790
2020년11월_계_30~39세,"4,475",420,249,680,"1,137",474,109,91,663,652
2020년11월_계_40~49세,"5,451",290,355,927,"1,467",550,119,109,666,968
2020년11월_계_50~59세,"7,075",361,537,"1,101","1,805",818,200,207,721,"1,325"
2020년11월_계_60~69세,"7,862",371,583,"1,154","1,969","1,010",247,297,764,"1,467"
2020년11월_계_70~79세,"5,107",191,455,777,"1,245",635,136,157,508,"1,003"
2020년11월_계_80~89세,"2,069",81,180,286,529,272,63,45,224,389
2020년11월_계_90~99세,377,24,45,71,74,49,16,13,35,50
2020년11월_계_100세 이상,85,3,5,9,13,25,5,1,9,15
2020년11월_남_총인구수,"20,294","1,203","1,460","3,089","5,206","2,193",541,581,"2,429","3,592"
2020년11월_남_연령구간인구수,"20,294","1,203","1,460","3,089","5,206","2,193",541,581,"2,429","3,592"
2020년11월_남_0~9세,708,19,35,117,199,68,10,9,102,149
2020년11월_남_10~19세,"1,029",41,43,183,292,102,21,13,106,228
2020년11월_남_20~29세,"2,793",238,172,458,751,250,63,38,400,423
2020년11월_남_30~39세,"2,429",223,138,353,597,255,58,52,385,368
2020년11월_남_40~49세,"2,963",150,207,485,793,294,63,70,390,511
2020년11월_남_50~59세,"3,562",198,278,518,907,396,102,136,372,655
2020년11월_남_60~69세,"3,701",194,281,539,914,443,133,168,362,667
2020년11월_남_70~79세,"2,224",102,215,321,518,278,60,77,225,428
2020년11월_남_80~89세,759,32,77,98,209,88,23,11,75,146
2020년11월_남_90~99세,106,6,13,12,23,13,6,7,10,16
2020년11월_남_100세 이상,20,0,1,5,3,6,2,0,2,1
2020년11월_여_총인구수,"21,207","1,239","1,447","3,455","5,496","2,466",523,451,"2,343","3,787"
2020년11월_여_연령구간인구수,"21,207","1,239","1,447","3,455","5,496","2,466",523,451,"2,343","3,787"
2020년11월_여_0~9세,628,19,42,100,192,43,8,6,83,135
2020년11월_여_10~19세,"1,006",37,60,203,275,88,17,15,103,208
2020년11월_여_20~29세,"2,836",347,146,478,754,275,50,31,388,367
2020년11월_여_30~39세,"2,046",197,111,327,540,219,51,39,278,284
2020년11월_여_40~49세,"2,488",140,148,442,674,256,56,39,276,457
2020년11월_여_50~59세,"3,513",163,259,583,898,422,98,71,349,670
2020년11월_여_60~69세,"4,161",177,302,615,"1,055",567,114,129,402,800
2020년11월_여_70~79세,"2,883",89,240,456,727,357,76,80,283,575
2020년11월_여_80~89세,"1,310",49,103,188,320,184,40,34,149,243
2020년11월_여_90~99세,271,18,32,59,51,36,10,6,25,34
2020년11월_여_100세 이상,65,3,4,4,10,19,3,1,7,14
