,경상북도 문경시,경상북도 문경시 문경읍,경상북도 문경시 문경읍갈평출장소,경상북도 문경시 가은읍,경상북도 문경시 가은읍북부출장소,경상북도 문경시 영순면,경상북도 문경시 산양면,경상북도 문경시 호계면,경상북도 문경시 산북면,경상북도 문경시 동로면,경상북도 문경시 마성면,경상북도 문경시 농암면,경상북도 문경시 점촌1동,경상북도 문경시 점촌2동,경상북도 문경시 점촌3동,경상북도 문경시 점촌4동,경상북도 문경시 점촌5동
2021년03월_계_총인구수,"71,924","5,892","1,115","3,234",858,"2,493","3,110","2,433","2,796","1,964","3,601","2,654","5,911","7,177","9,074","3,172","16,440"
2021년03월_계_연령구간인구수,"71,924","5,892","1,115","3,234",858,"2,493","3,110","2,433","2,796","1,964","3,601","2,654","5,911","7,177","9,074","3,172","16,440"
2021년03월_계_0~9세,"3,993",203,40,108,13,57,94,40,55,85,96,76,384,432,633,133,"1,544"
2021년03월_계_10~19세,"5,669",369,61,148,39,298,132,177,106,76,122,86,414,586,867,158,"2,030"
2021년03월_계_20~29세,"6,338",390,70,169,37,147,196,340,157,97,219,132,538,640,848,207,"2,151"
2021년03월_계_30~39세,"5,684",368,46,160,46,101,169,101,120,98,221,130,582,641,789,250,"1,862"
2021년03월_계_40~49세,"8,772",609,101,254,80,180,259,188,224,172,297,186,720,872,"1,343",318,"2,969"
2021년03월_계_50~59세,"12,032","1,031",223,537,189,336,481,379,481,357,625,503,993,"1,154","1,540",526,"2,677"
2021년03월_계_60~69세,"13,710","1,307",267,731,207,581,732,538,660,515,768,680,"1,162","1,415","1,570",697,"1,880"
2021년03월_계_70~79세,"9,195",979,173,590,142,384,541,356,513,310,693,465,720,945,944,529,911
2021년03월_계_80~89세,"5,639",546,116,453,90,351,424,270,416,224,492,324,360,433,476,310,354
2021년03월_계_90~99세,831,79,18,80,14,58,79,44,59,30,60,65,34,50,59,42,60
2021년03월_계_100세 이상,61,11,0,4,1,0,3,0,5,0,8,7,4,9,5,2,2
2021년03월_남_총인구수,"35,294","2,853",569,"1,573",447,"1,300","1,562","1,154","1,394","1,010","1,701","1,221","2,898","3,488","4,517","1,588","8,019"
2021년03월_남_연령구간인구수,"35,294","2,853",569,"1,573",447,"1,300","1,562","1,154","1,394","1,010","1,701","1,221","2,898","3,488","4,517","1,588","8,019"
2021년03월_남_0~9세,"2,071",95,21,52,6,27,48,19,34,44,44,39,215,226,348,59,794
2021년03월_남_10~19세,"3,083",195,33,88,23,195,65,95,55,41,67,44,239,311,499,93,"1,040"
2021년03월_남_20~29세,"3,586",239,44,105,19,83,135,139,102,58,126,77,315,382,509,123,"1,130"
2021년03월_남_30~39세,"2,996",208,27,85,19,61,89,58,75,57,124,73,308,344,404,142,922
2021년03월_남_40~49세,"4,703",334,59,140,47,110,173,104,142,107,193,114,392,468,710,196,"1,414"
2021년03월_남_50~59세,"6,234",540,128,288,112,198,274,216,276,182,348,252,473,571,746,306,"1,324"
2021년03월_남_60~69세,"6,647",632,138,387,126,299,366,282,351,303,373,328,505,623,716,336,882
2021년03월_남_70~79세,"3,973",399,79,259,62,188,250,145,224,133,283,195,309,415,401,238,393
2021년03월_남_80~89세,"1,818",192,38,149,33,125,148,88,122,78,128,83,133,139,165,90,107
2021년03월_남_90~99세,168,15,2,20,0,14,14,8,11,7,12,14,9,7,18,5,12
2021년03월_남_100세 이상,15,4,0,0,0,0,0,0,2,0,3,2,0,2,1,0,1
2021년03월_여_총인구수,"36,630","3,039",546,"1,661",411,"1,193","1,548","1,279","1,402",954,"1,900","1,433","3,013","3,689","4,557","1,584","8,421"
2021년03월_여_연령구간인구수,"36,630","3,039",546,"1,661",411,"1,193","1,548","1,279","1,402",954,"1,900","1,433","3,013","3,689","4,557","1,584","8,421"
2021년03월_여_0~9세,"1,922",108,19,56,7,30,46,21,21,41,52,37,169,206,285,74,750
2021년03월_여_10~19세,"2,586",174,28,60,16,103,67,82,51,35,55,42,175,275,368,65,990
2021년03월_여_20~29세,"2,752",151,26,64,18,64,61,201,55,39,93,55,223,258,339,84,"1,021"
2021년03월_여_30~39세,"2,688",160,19,75,27,40,80,43,45,41,97,57,274,297,385,108,940
2021년03월_여_40~49세,"4,069",275,42,114,33,70,86,84,82,65,104,72,328,404,633,122,"1,555"
2021년03월_여_50~59세,"5,798",491,95,249,77,138,207,163,205,175,277,251,520,583,794,220,"1,353"
2021년03월_여_60~69세,"7,063",675,129,344,81,282,366,256,309,212,395,352,657,792,854,361,998
2021년03월_여_70~79세,"5,222",580,94,331,80,196,291,211,289,177,410,270,411,530,543,291,518
2021년03월_여_80~89세,"3,821",354,78,304,57,226,276,182,294,146,364,241,227,294,311,220,247
2021년03월_여_90~99세,663,64,16,60,14,44,65,36,48,23,48,51,25,43,41,37,48
2021년03월_여_100세 이상,46,7,0,4,1,0,3,0,3,0,5,5,4,7,4,2,1
