카테고리,충청북도 옥천군,충청북도 옥천군 옥천읍,충청북도 옥천군 동이면,충청북도 옥천군 안남면,충청북도 옥천군 안내면,충청북도 옥천군 청성면,충청북도 옥천군 청산면,충청북도 옥천군 이원면,충청북도 옥천군 군서면,충청북도 옥천군 군북면
2021년02월_계_총인구수,"50,474","29,063","3,216","1,415","1,927","2,341","3,025","4,220","2,263","3,004"
2021년02월_계_연령구간인구수,"50,474","29,063","3,216","1,415","1,927","2,341","3,025","4,220","2,263","3,004"
2021년02월_계_0~9세,"2,568","2,105",85,37,34,26,51,106,58,66
2021년02월_계_10~19세,"3,859","3,022",126,68,77,57,139,183,76,111
2021년02월_계_20~29세,"4,327","3,122",215,58,91,83,140,264,162,192
2021년02월_계_30~39세,"3,843","2,761",182,72,76,81,118,257,123,173
2021년02월_계_40~49세,"6,218","4,489",281,100,159,129,216,383,168,293
2021년02월_계_50~59세,"8,903","4,977",616,265,313,446,512,772,408,594
2021년02월_계_60~69세,"10,018","4,434",845,358,521,654,822,"1,007",581,796
2021년02월_계_70~79세,"6,337","2,669",475,247,344,431,589,726,392,464
2021년02월_계_80~89세,"3,785","1,289",335,174,264,373,385,441,260,264
2021년02월_계_90~99세,589,189,55,36,40,57,50,79,35,48
2021년02월_계_100세 이상,27,6,1,0,8,4,3,2,0,3
2021년02월_남_총인구수,"25,431","14,536","1,657",709,981,"1,174","1,465","2,166","1,185","1,558"
2021년02월_남_연령구간인구수,"25,431","14,536","1,657",709,981,"1,174","1,465","2,166","1,185","1,558"
2021년02월_남_0~9세,"1,334","1,093",45,20,18,14,22,52,35,35
2021년02월_남_10~19세,"2,058","1,608",63,38,40,32,75,102,37,63
2021년02월_남_20~29세,"2,469","1,732",144,37,55,55,83,157,95,111
2021년02월_남_30~39세,"1,990","1,383",98,44,47,43,57,151,67,100
2021년02월_남_40~49세,"3,336","2,277",164,65,100,86,129,249,106,160
2021년02월_남_50~59세,"4,759","2,572",335,137,184,249,293,421,238,330
2021년02월_남_60~69세,"5,113","2,169",455,190,273,357,408,519,316,426
2021년02월_남_70~79세,"2,927","1,182",224,116,163,203,271,359,190,219
2021년02월_남_80~89세,"1,288",477,111,53,85,117,112,137,93,103
2021년02월_남_90~99세,151,42,18,9,13,18,14,18,8,11
2021년02월_남_100세 이상,6,1,0,0,3,0,1,1,0,0
2021년02월_여_총인구수,"25,043","14,527","1,559",706,946,"1,167","1,560","2,054","1,078","1,446"
2021년02월_여_연령구간인구수,"25,043","14,527","1,559",706,946,"1,167","1,560","2,054","1,078","1,446"
2021년02월_여_0~9세,"1,234","1,012",40,17,16,12,29,54,23,31
2021년02월_여_10~19세,"1,801","1,414",63,30,37,25,64,81,39,48
2021년02월_여_20~29세,"1,858","1,390",71,21,36,28,57,107,67,81
2021년02월_여_30~39세,"1,853","1,378",84,28,29,38,61,106,56,73
2021년02월_여_40~49세,"2,882","2,212",117,35,59,43,87,134,62,133
2021년02월_여_50~59세,"4,144","2,405",281,128,129,197,219,351,170,264
2021년02월_여_60~69세,"4,905","2,265",390,168,248,297,414,488,265,370
2021년02월_여_70~79세,"3,410","1,487",251,131,181,228,318,367,202,245
2021년02월_여_80~89세,"2,497",812,224,121,179,256,273,304,167,161
2021년02월_여_90~99세,438,147,37,27,27,39,36,61,27,37
2021년02월_여_100세 이상,21,5,1,0,5,4,2,1,0,3
