,인천광역시 강화군,인천광역시 강화군 강화읍,인천광역시 강화군 선원면,인천광역시 강화군 불은면,인천광역시 강화군 길상면,인천광역시 강화군 화도면,인천광역시 강화군 양도면,인천광역시 강화군 내가면,인천광역시 강화군 하점면,인천광역시 강화군 양사면,인천광역시 강화군 송해면,인천광역시 강화군 교동면,인천광역시 강화군 삼산면,인천광역시 강화군 서도면,인천광역시 강화군 서도면볼음출장소
2020년04월_계_총인구수,"69,030","22,749","7,737","4,882","6,931","4,481","4,192","3,108","4,091","1,857","3,175","2,923","2,261",380,263
2020년04월_계_연령구간인구수,"69,030","22,749","7,737","4,882","6,931","4,481","4,192","3,108","4,091","1,857","3,175","2,923","2,261",380,263
2020년04월_계_0~9세,"3,274","1,452",518,177,316,158,154,65,120,52,119,69,63,5,6
2020년04월_계_10~19세,"4,721","2,241",661,214,403,199,237,136,165,77,138,118,117,12,3
2020년04월_계_20~29세,"5,519","2,332",715,321,531,284,257,199,242,92,220,179,120,19,8
2020년04월_계_30~39세,"5,424","2,212",679,331,602,323,239,186,240,80,210,164,130,19,9
2020년04월_계_40~49세,"7,874","3,271","1,064",444,746,381,440,298,357,152,278,209,199,23,12
2020년04월_계_50~59세,"12,148","3,822","1,368",880,"1,366",789,745,545,657,347,545,546,409,74,55
2020년04월_계_60~69세,"13,700","3,498","1,336","1,198","1,515","1,127",929,731,925,426,662,627,548,106,72
2020년04월_계_70~79세,"10,034","2,491",843,773,947,748,704,607,810,376,589,615,403,66,62
2020년04월_계_80~89세,"5,521","1,247",475,456,433,401,422,310,511,227,376,343,237,52,31
2020년04월_계_90~99세,777,170,77,85,69,69,62,29,60,27,34,51,35,4,5
2020년04월_계_100세 이상,38,13,1,3,3,2,3,2,4,1,4,2,0,0,0
2020년04월_남_총인구수,"34,609","11,249","3,864","2,470","3,513","2,270","2,096","1,533","2,078",930,"1,582","1,514","1,175",192,143
2020년04월_남_연령구간인구수,"34,609","11,249","3,864","2,470","3,513","2,270","2,096","1,533","2,078",930,"1,582","1,514","1,175",192,143
2020년04월_남_0~9세,"1,707",762,263,75,166,71,83,42,63,30,62,42,40,4,4
2020년04월_남_10~19세,"2,430","1,123",340,113,210,117,126,70,87,36,68,59,74,6,1
2020년04월_남_20~29세,"3,195","1,338",420,188,315,159,153,111,146,54,117,113,66,10,5
2020년04월_남_30~39세,"2,855","1,146",327,179,306,192,127,103,128,46,122,91,74,9,5
2020년04월_남_40~49세,"4,282","1,665",550,254,423,222,246,166,213,83,179,141,114,17,9
2020년04월_남_50~59세,"6,228","1,912",697,450,690,383,387,265,359,198,294,296,225,40,32
2020년04월_남_60~69세,"6,802","1,695",669,606,742,575,460,360,471,209,314,324,287,50,40
2020년04월_남_70~79세,"4,734","1,099",404,394,484,364,328,282,381,174,279,286,192,37,30
2020년04월_남_80~89세,"2,175",464,174,190,163,167,168,123,222,95,138,145,95,16,15
2020년04월_남_90~99세,191,41,20,21,12,20,17,9,8,5,9,16,8,3,2
2020년04월_남_100세 이상,10,4,0,0,2,0,1,2,0,0,0,1,0,0,0
2020년04월_여_총인구수,"34,421","11,500","3,873","2,412","3,418","2,211","2,096","1,575","2,013",927,"1,593","1,409","1,086",188,120
2020년04월_여_연령구간인구수,"34,421","11,500","3,873","2,412","3,418","2,211","2,096","1,575","2,013",927,"1,593","1,409","1,086",188,120
2020년04월_여_0~9세,"1,567",690,255,102,150,87,71,23,57,22,57,27,23,1,2
2020년04월_여_10~19세,"2,291","1,118",321,101,193,82,111,66,78,41,70,59,43,6,2
2020년04월_여_20~29세,"2,324",994,295,133,216,125,104,88,96,38,103,66,54,9,3
2020년04월_여_30~39세,"2,569","1,066",352,152,296,131,112,83,112,34,88,73,56,10,4
2020년04월_여_40~49세,"3,592","1,606",514,190,323,159,194,132,144,69,99,68,85,6,3
2020년04월_여_50~59세,"5,920","1,910",671,430,676,406,358,280,298,149,251,250,184,34,23
2020년04월_여_60~69세,"6,898","1,803",667,592,773,552,469,371,454,217,348,303,261,56,32
2020년04월_여_70~79세,"5,300","1,392",439,379,463,384,376,325,429,202,310,329,211,29,32
2020년04월_여_80~89세,"3,346",783,301,266,270,234,254,187,289,132,238,198,142,36,16
2020년04월_여_90~99세,586,129,57,64,57,49,45,20,52,22,25,35,27,1,3
2020년04월_여_100세 이상,28,9,1,3,1,2,2,0,4,1,4,1,0,0,0
