,서울특별시 강동구,서울특별시 강동구 강일동,서울특별시 강동구 상일동,서울특별시 강동구 명일제1동,서울특별시 강동구 명일제2동,서울특별시 강동구 고덕제1동,서울특별시 강동구 고덕제2동,서울특별시 강동구 암사제1동,서울특별시 강동구 암사제2동,서울특별시 강동구 암사제3동,서울특별시 강동구 천호제1동,서울특별시 강동구 천호제2동,서울특별시 강동구 천호제3동,서울특별시 강동구 성내제1동,서울특별시 강동구 성내제2동,서울특별시 강동구 성내제3동,서울특별시 강동구 길동,서울특별시 강동구 둔촌제1동,서울특별시 강동구 둔촌제2동
2020년07월_계_총인구수,"457,339","31,701","32,677","26,441","17,444","26,420","21,266","35,922","15,560","18,371","27,672","34,844","26,759","20,237","24,362","23,504","46,763",261,"27,135"
2020년07월_계_연령구간인구수,"457,339","31,701","32,677","26,441","17,444","26,420","21,266","35,922","15,560","18,371","27,672","34,844","26,759","20,237","24,362","23,504","46,763",261,"27,135"
2020년07월_계_0~9세,"34,795","2,497","4,142","2,155","1,188","3,210","2,406","2,285","1,457","2,060","1,538","1,836","1,396","1,584","1,148","1,325","2,656",6,"1,906"
2020년07월_계_10~19세,"39,348","4,458","3,241","2,566","2,537","3,470","1,876","2,745","1,056","1,948","1,853","1,923","1,370","1,776","1,232","1,851","3,125",9,"2,312"
2020년07월_계_20~29세,"61,379","3,966","3,593","3,326","2,185","2,538","2,309","4,905","2,040","1,980","3,859","5,036","4,160","2,712","3,989","3,666","7,194",18,"3,903"
2020년07월_계_30~39세,"71,690","3,387","5,431","4,212","1,883","3,808","3,672","5,527","2,927","2,668","4,131","6,275","4,778","3,353","4,350","3,570","7,667",26,"4,025"
2020년07월_계_40~49세,"73,567","5,482","5,690","4,285","3,093","5,469","3,540","5,669","2,445","3,259","4,127","5,089","3,841","3,394","3,534","3,660","6,912",51,"4,027"
2020년07월_계_50~59세,"72,732","5,003","4,792","4,142","2,789","3,550","3,223","6,114","2,256","2,703","4,651","5,912","4,397","3,049","3,895","3,987","7,707",30,"4,532"
2020년07월_계_60~69세,"61,517","3,768","3,865","3,504","2,397","2,703","2,709","4,959","1,901","2,306","4,357","4,945","3,936","2,538","3,591","3,172","6,887",54,"3,925"
2020년07월_계_70~79세,"30,064","2,053","1,416","1,583",950,"1,084","1,083","2,659","1,099","1,044","2,274","2,759","2,063","1,316","1,888","1,681","3,317",39,"1,756"
2020년07월_계_80~89세,"10,164",919,411,543,328,434,358,897,322,330,739,893,709,432,628,499,"1,088",12,622
2020년07월_계_90~99세,"1,837",153,89,115,87,128,86,136,45,65,129,151,95,78,89,81,187,8,115
2020년07월_계_100세 이상,246,15,7,10,7,26,4,26,12,8,14,25,14,5,18,12,23,8,12
2020년07월_남_총인구수,"225,170","15,305","16,137","12,915","8,597","13,421","10,776","17,784","7,540","8,973","13,633","17,251","13,105","9,814","11,969","11,580","22,851",125,"13,394"
2020년07월_남_연령구간인구수,"225,170","15,305","16,137","12,915","8,597","13,421","10,776","17,784","7,540","8,973","13,633","17,251","13,105","9,814","11,969","11,580","22,851",125,"13,394"
2020년07월_남_0~9세,"18,017","1,262","2,153","1,113",593,"1,679","1,243","1,141",748,"1,052",763,959,732,831,619,700,"1,390",4,"1,035"
2020년07월_남_10~19세,"20,686","2,303","1,637","1,349","1,382","1,992",976,"1,419",509,"1,008",974,"1,004",685,920,595,"1,098","1,619",5,"1,211"
2020년07월_남_20~29세,"30,381","1,986","1,872","1,669","1,121","1,379","1,221","2,540",993,979,"1,917","2,405","1,862","1,332","1,804","1,896","3,443",10,"1,952"
2020년07월_남_30~39세,"35,776","1,567","2,522","2,130",935,"1,765","1,813","2,867","1,437","1,226","2,181","3,240","2,403","1,631","2,280","1,808","3,917",13,"2,041"
2020년07월_남_40~49세,"36,923","2,633","2,863","2,052","1,393","2,758","1,843","2,901","1,223","1,616","2,150","2,630","2,012","1,652","1,850","1,775","3,539",25,"2,008"
2020년07월_남_50~59세,"35,413","2,475","2,280","1,972","1,367","1,795","1,630","3,007","1,075","1,306","2,225","2,976","2,243","1,440","1,920","1,891","3,648",19,"2,144"
2020년07월_남_60~69세,"29,250","1,764","1,900","1,637","1,172","1,339","1,345","2,348",889,"1,122","2,057","2,363","1,902","1,161","1,706","1,411","3,232",25,"1,877"
2020년07월_남_70~79세,"14,538",943,748,770,506,520,556,"1,216",525,513,"1,077","1,285",988,652,912,805,"1,625",14,883
2020년07월_남_80~89세,"3,744",327,146,199,110,161,126,305,127,135,266,352,257,172,260,176,401,8,216
2020년07월_남_90~99세,379,41,13,22,18,23,20,35,12,12,19,29,16,23,19,17,33,1,26
2020년07월_남_100세 이상,63,4,3,2,0,10,3,5,2,4,4,8,5,0,4,3,4,1,1
2020년07월_여_총인구수,"232,169","16,396","16,540","13,526","8,847","12,999","10,490","18,138","8,020","9,398","14,039","17,593","13,654","10,423","12,393","11,924","23,912",136,"13,741"
2020년07월_여_연령구간인구수,"232,169","16,396","16,540","13,526","8,847","12,999","10,490","18,138","8,020","9,398","14,039","17,593","13,654","10,423","12,393","11,924","23,912",136,"13,741"
2020년07월_여_0~9세,"16,778","1,235","1,989","1,042",595,"1,531","1,163","1,144",709,"1,008",775,877,664,753,529,625,"1,266",2,871
2020년07월_여_10~19세,"18,662","2,155","1,604","1,217","1,155","1,478",900,"1,326",547,940,879,919,685,856,637,753,"1,506",4,"1,101"
2020년07월_여_20~29세,"30,998","1,980","1,721","1,657","1,064","1,159","1,088","2,365","1,047","1,001","1,942","2,631","2,298","1,380","2,185","1,770","3,751",8,"1,951"
2020년07월_여_30~39세,"35,914","1,820","2,909","2,082",948,"2,043","1,859","2,660","1,490","1,442","1,950","3,035","2,375","1,722","2,070","1,762","3,750",13,"1,984"
2020년07월_여_40~49세,"36,644","2,849","2,827","2,233","1,700","2,711","1,697","2,768","1,222","1,643","1,977","2,459","1,829","1,742","1,684","1,885","3,373",26,"2,019"
2020년07월_여_50~59세,"37,319","2,528","2,512","2,170","1,422","1,755","1,593","3,107","1,181","1,397","2,426","2,936","2,154","1,609","1,975","2,096","4,059",11,"2,388"
2020년07월_여_60~69세,"32,267","2,004","1,965","1,867","1,225","1,364","1,364","2,611","1,012","1,184","2,300","2,582","2,034","1,377","1,885","1,761","3,655",29,"2,048"
2020년07월_여_70~79세,"15,526","1,110",668,813,444,564,527,"1,443",574,531,"1,197","1,474","1,075",664,976,876,"1,692",25,873
2020년07월_여_80~89세,"6,420",592,265,344,218,273,232,592,195,195,473,541,452,260,368,323,687,4,406
2020년07월_여_90~99세,"1,458",112,76,93,69,105,66,101,33,53,110,122,79,55,70,64,154,7,89
2020년07월_여_100세 이상,183,11,4,8,7,16,1,21,10,4,10,17,9,5,14,9,19,7,11
