카테고리,충청북도 증평군,충청북도 증평군 증평읍,충청북도 증평군 도안면
2021년07월_계_총인구수,"36,470","34,607","1,863"
2021년07월_계_연령구간인구수,"36,470","34,607","1,863"
2021년07월_계_0~9세,"3,030","2,982",48
2021년07월_계_10~19세,"3,345","3,272",73
2021년07월_계_20~29세,"4,456","4,333",123
2021년07월_계_30~39세,"4,483","4,384",99
2021년07월_계_40~49세,"5,518","5,332",186
2021년07월_계_50~59세,"5,990","5,665",325
2021년07월_계_60~69세,"5,268","4,787",481
2021년07월_계_70~79세,"2,667","2,385",282
2021년07월_계_80~89세,"1,532","1,315",217
2021년07월_계_90~99세,177,148,29
2021년07월_계_100세 이상,4,4,0
2021년07월_남_총인구수,"19,031","18,048",983
2021년07월_남_연령구간인구수,"19,031","18,048",983
2021년07월_남_0~9세,"1,579","1,549",30
2021년07월_남_10~19세,"1,753","1,717",36
2021년07월_남_20~29세,"2,633","2,556",77
2021년07월_남_30~39세,"2,494","2,436",58
2021년07월_남_40~49세,"2,978","2,863",115
2021년07월_남_50~59세,"3,172","2,991",181
2021년07월_남_60~69세,"2,654","2,387",267
2021년07월_남_70~79세,"1,204","1,065",139
2021년07월_남_80~89세,520,447,73
2021년07월_남_90~99세,42,35,7
2021년07월_남_100세 이상,2,2,0
2021년07월_여_총인구수,"17,439","16,559",880
2021년07월_여_연령구간인구수,"17,439","16,559",880
2021년07월_여_0~9세,"1,451","1,433",18
2021년07월_여_10~19세,"1,592","1,555",37
2021년07월_여_20~29세,"1,823","1,777",46
2021년07월_여_30~39세,"1,989","1,948",41
2021년07월_여_40~49세,"2,540","2,469",71
2021년07월_여_50~59세,"2,818","2,674",144
2021년07월_여_60~69세,"2,614","2,400",214
2021년07월_여_70~79세,"1,463","1,320",143
2021년07월_여_80~89세,"1,012",868,144
2021년07월_여_90~99세,135,113,22
2021년07월_여_100세 이상,2,2,0
