카테고리,경기도 시흥시,경기도 시흥시 대야동,경기도 시흥시 신천동,경기도 시흥시 신현동,경기도 시흥시 은행동,경기도 시흥시 매화동,경기도 시흥시 목감동,경기도 시흥시 군자동,경기도 시흥시 월곶동,경기도 시흥시 정왕본동,경기도 시흥시 정왕1동,경기도 시흥시 정왕2동,경기도 시흥시 정왕3동,경기도 시흥시 정왕4동,경기도 시흥시 배곧동,경기도 시흥시 과림동,경기도 시흥시 연성동,경기도 시흥시 장곡동,경기도 시흥시 능곡동
2020년11월_계_총인구수,"497,925","44,457","36,575","10,033","50,490","12,172","42,355","22,289","15,998","20,255","22,380","31,910","22,890","21,370","70,667","1,924","23,903","29,605","18,652"
2020년11월_계_연령구간인구수,"497,925","44,457","36,575","10,033","50,490","12,172","42,355","22,289","15,998","20,255","22,380","31,910","22,890","21,370","70,667","1,924","23,903","29,605","18,652"
2020년11월_계_0~9세,"47,956","3,528","1,740",469,"6,088",719,"6,032","1,610","1,442","1,170","1,336","2,476","1,758","1,669","11,060",46,"1,755","3,566","1,492"
2020년11월_계_10~19세,"50,093","3,645","3,333",769,"5,351","1,219","3,345","2,248","1,477","1,140","1,934","3,623","2,131","2,736","7,830",48,"2,982","3,905","2,377"
2020년11월_계_20~29세,"69,205","6,836","5,902","1,415","6,435","1,660","4,204","2,916","1,824","3,146","3,622","5,130","3,092","3,603","9,080",160,"3,702","3,773","2,705"
2020년11월_계_30~39세,"76,791","6,880","3,950",991,"8,333","1,099","8,543","2,743","2,410","4,071","3,406","4,338","3,211","2,449","14,830",171,"2,599","4,453","2,314"
2020년11월_계_40~49세,"90,216","6,557","5,435","1,357","8,705","1,978","7,405","3,912","3,195","4,234","4,625","6,149","4,595","3,871","14,434",179,"4,313","5,966","3,306"
2020년11월_계_50~59세,"87,388","8,590","8,173","2,233","8,359","2,499","5,753","4,123","2,676","3,788","4,305","6,097","4,538","4,308","8,462",463,"4,821","4,803","3,397"
2020년11월_계_60~69세,"46,630","5,275","4,924","1,630","4,564","1,614","4,379","2,752","1,741","1,770","2,054","2,463","2,232","1,544","3,532",535,"2,047","1,861","1,713"
2020년11월_계_70~79세,"19,384","1,997","2,091",750,"1,738",875,"1,820","1,303",832,644,736,"1,030",858,733,"1,004",217,"1,067",836,853
2020년11월_계_80~89세,"8,826",979,888,361,786,444,735,591,345,252,311,543,397,417,375,84,523,376,419
2020년11월_계_90~99세,"1,337",160,119,50,126,61,125,81,51,37,49,59,77,39,59,18,88,63,75
2020년11월_계_100세 이상,99,10,20,8,5,4,14,10,5,3,2,2,1,1,1,3,6,3,1
2020년11월_남_총인구수,"260,233","22,577","18,966","5,255","25,271","6,367","21,451","11,682","8,324","12,730","13,159","17,147","12,906","10,600","36,199","1,171","12,166","14,983","9,279"
2020년11월_남_연령구간인구수,"260,233","22,577","18,966","5,255","25,271","6,367","21,451","11,682","8,324","12,730","13,159","17,147","12,906","10,600","36,199","1,171","12,166","14,983","9,279"
2020년11월_남_0~9세,"24,444","1,811",928,238,"3,114",360,"3,035",838,724,598,661,"1,239",906,857,"5,598",27,903,"1,848",759
2020년11월_남_10~19세,"25,728","1,882","1,761",401,"2,715",640,"1,722","1,172",783,598,996,"1,862","1,102","1,401","3,905",26,"1,549","2,016","1,197"
2020년11월_남_20~29세,"37,586","3,568","3,218",779,"3,334",947,"2,147","1,614",978,"2,031","2,304","2,953","1,781","1,847","4,735",97,"1,951","1,922","1,380"
2020년11월_남_30~39세,"41,109","3,610","2,189",560,"4,132",574,"4,262","1,533","1,268","2,768","2,132","2,512","1,925","1,247","7,573",116,"1,335","2,169","1,204"
2020년11월_남_40~49세,"48,497","3,334","2,838",701,"4,433","1,050","4,052","2,166","1,756","2,860","2,863","3,359","2,785","1,817","7,674",128,"2,129","2,976","1,576"
2020년11월_남_50~59세,"46,142","4,277","4,202","1,181","4,159","1,384","2,877","2,163","1,438","2,395","2,593","3,248","2,594","2,182","4,275",290,"2,552","2,577","1,755"
2020년11월_남_60~69세,"24,790","2,831","2,632",893,"2,338",862,"2,215","1,386",842,"1,057","1,176","1,345","1,270",818,"1,855",324,"1,078",985,883
2020년11월_남_70~79세,"8,771",914,920,357,804,394,876,584,396,330,329,435,395,281,451,122,455,353,375
2020년11월_남_80~89세,"2,870",321,247,124,221,138,239,208,128,86,95,177,139,137,125,34,197,121,133
2020년11월_남_90~99세,269,28,29,16,20,17,22,16,9,6,9,17,8,13,8,5,15,15,16
2020년11월_남_100세 이상,27,1,2,5,1,1,4,2,2,1,1,0,1,0,0,2,2,1,1
2020년11월_여_총인구수,"237,692","21,880","17,609","4,778","25,219","5,805","20,904","10,607","7,674","7,525","9,221","14,763","9,984","10,770","34,468",753,"11,737","14,622","9,373"
2020년11월_여_연령구간인구수,"237,692","21,880","17,609","4,778","25,219","5,805","20,904","10,607","7,674","7,525","9,221","14,763","9,984","10,770","34,468",753,"11,737","14,622","9,373"
2020년11월_여_0~9세,"23,512","1,717",812,231,"2,974",359,"2,997",772,718,572,675,"1,237",852,812,"5,462",19,852,"1,718",733
2020년11월_여_10~19세,"24,365","1,763","1,572",368,"2,636",579,"1,623","1,076",694,542,938,"1,761","1,029","1,335","3,925",22,"1,433","1,889","1,180"
2020년11월_여_20~29세,"31,619","3,268","2,684",636,"3,101",713,"2,057","1,302",846,"1,115","1,318","2,177","1,311","1,756","4,345",63,"1,751","1,851","1,325"
2020년11월_여_30~39세,"35,682","3,270","1,761",431,"4,201",525,"4,281","1,210","1,142","1,303","1,274","1,826","1,286","1,202","7,257",55,"1,264","2,284","1,110"
2020년11월_여_40~49세,"41,719","3,223","2,597",656,"4,272",928,"3,353","1,746","1,439","1,374","1,762","2,790","1,810","2,054","6,760",51,"2,184","2,990","1,730"
2020년11월_여_50~59세,"41,246","4,313","3,971","1,052","4,200","1,115","2,876","1,960","1,238","1,393","1,712","2,849","1,944","2,126","4,187",173,"2,269","2,226","1,642"
2020년11월_여_60~69세,"21,840","2,444","2,292",737,"2,226",752,"2,164","1,366",899,713,878,"1,118",962,726,"1,677",211,969,876,830
2020년11월_여_70~79세,"10,613","1,083","1,171",393,934,481,944,719,436,314,407,595,463,452,553,95,612,483,478
2020년11월_여_80~89세,"5,956",658,641,237,565,306,496,383,217,166,216,366,258,280,250,50,326,255,286
2020년11월_여_90~99세,"1,068",132,90,34,106,44,103,65,42,31,40,42,69,26,51,13,73,48,59
2020년11월_여_100세 이상,72,9,18,3,4,3,10,8,3,2,1,2,0,1,1,1,4,2,0
