,충청북도 청주시,충청북도 청주시 상당구,충청북도 청주시 상당구 낭성면,충청북도 청주시 상당구 미원면,충청북도 청주시 상당구 가덕면,충청북도 청주시 상당구 남일면,충청북도 청주시 상당구 문의면,충청북도 청주시 상당구 중앙동,충청북도 청주시 상당구 성안동,충청북도 청주시 상당구 탑대성동,충청북도 청주시 상당구 영운동,충청북도 청주시 상당구 금천동,충청북도 청주시 상당구 용담.명암.산성동,충청북도 청주시 상당구 용암1동,충청북도 청주시 상당구 용암2동,충청북도 청주시 서원구,충청북도 청주시 서원구 남이면,충청북도 청주시 서원구 현도면,충청북도 청주시 서원구 사직1동,충청북도 청주시 서원구 사직2동,충청북도 청주시 서원구 사창동,충청북도 청주시 서원구 모충동,충청북도 청주시 서원구 산남동,충청북도 청주시 서원구 분평동,충청북도 청주시 서원구 수곡1동,충청북도 청주시 서원구 수곡2동,충청북도 청주시 서원구 성화.개신.죽림동,충청북도 청주시 흥덕구,충청북도 청주시 흥덕구 오송읍,충청북도 청주시 흥덕구 강내면,충청북도 청주시 흥덕구 옥산면,충청북도 청주시 흥덕구 운천.신봉동,충청북도 청주시 흥덕구 복대1동,충청북도 청주시 흥덕구 복대2동,충청북도 청주시 흥덕구 가경동,충청북도 청주시 흥덕구 봉명1동,충청북도 청주시 흥덕구 봉명2.송정동,충청북도 청주시 흥덕구 강서제1동,충청북도 청주시 흥덕구 강서제2동,충청북도 청주시 청원구,충청북도 청주시 청원구 내수읍,충청북도 청주시 청원구 오창읍,충청북도 청주시 청원구 북이면,충청북도 청주시 청원구 우암동,충청북도 청주시 청원구 내덕1동,충청북도 청주시 청원구 내덕2동,충청북도 청주시 청원구 율량.사천동,충청북도 청주시 청원구 오근장동
2020년03월_계_총인구수,"840,756","181,403","2,281","5,117","4,023","7,059","4,144","5,885","7,136","9,308","11,240","30,627","13,856","47,688","33,039","200,775","10,302","3,466","8,190","14,778","15,221","15,281","27,361","32,008","14,149","13,959","46,060","263,844","21,388","10,896","17,653","17,775","51,692","16,465","51,180","10,014","24,900","28,484","13,397","194,734","19,976","68,782","4,715","12,652","8,959","11,833","49,196","18,621"
2020년03월_계_연령구간인구수,"840,756","181,403","2,281","5,117","4,023","7,059","4,144","5,885","7,136","9,308","11,240","30,627","13,856","47,688","33,039","200,775","10,302","3,466","8,190","14,778","15,221","15,281","27,361","32,008","14,149","13,959","46,060","263,844","21,388","10,896","17,653","17,775","51,692","16,465","51,180","10,014","24,900","28,484","13,397","194,734","19,976","68,782","4,715","12,652","8,959","11,833","49,196","18,621"
2020년03월_계_0~9세,"76,407","15,345",50,108,111,465,121,239,251,475,758,"2,656","1,636","4,740","3,735","15,211",664,103,359,"1,469",768,782,"2,561","2,842",653,767,"4,243","24,707","2,261",747,"2,254","1,038","6,192",723,"4,379",564,"1,916","2,182","2,451","21,144","1,649","10,338",111,585,382,749,"4,648","2,682"
2020년03월_계_10~19세,"87,663","19,471",60,233,137,450,211,450,430,733,"1,002","3,926","1,988","5,963","3,888","21,526",699,138,602,"1,432","1,061","1,119","4,244","4,429","1,059","1,157","5,586","27,039","2,122","1,077","1,273","1,631","6,740","1,207","6,607",615,"2,459","2,442",866,"19,627","1,996","7,296",202,788,614,955,"5,511","2,265"
2020년03월_계_20~29세,"118,932","23,164",180,354,341,779,333,822,976,"1,151","1,394","4,026","1,631","6,582","4,595","29,107","1,205",206,981,"1,838","3,399","2,398","3,676","4,737","2,107","1,820","6,740","40,788","2,669","1,432","2,041","2,657","7,438","3,372","7,610","2,051","4,314","5,219","1,985","25,873","2,397","8,646",378,"2,094","1,159","1,743","7,521","1,935"
2020년03월_계_30~39세,"119,590","21,412",140,288,261,738,268,616,745,932,"1,319","3,422","1,689","6,397","4,597","24,239","1,139",237,830,"2,064","2,105","1,697","3,335","3,702","1,447","1,365","6,318","41,105","3,530","1,176","3,523","2,045","8,697","1,901","6,208","1,660","4,114","4,745","3,506","32,834","2,269","15,870",304,"1,566",927,"1,321","7,317","3,260"
2020년03월_계_40~49세,"136,975","29,337",191,439,391,860,435,807,902,"1,298","1,670","5,516","2,614","8,495","5,719","32,277","1,333",371,"1,114","2,125","1,962","1,997","5,371","6,017","1,918","1,794","8,275","43,337","3,740","1,597","2,443","2,644","10,124","2,161","8,915","1,399","4,086","4,441","1,787","32,024","3,225","12,074",453,"1,643","1,217","1,791","8,173","3,448"
2020년03월_계_50~59세,"136,865","31,638",472,995,912,"1,386",794,"1,009","1,242","1,721","1,965","5,197","2,132","8,046","5,767","35,140","2,241",644,"1,645","2,493","2,279","2,880","4,509","5,598","2,684","2,901","7,266","42,576","2,913","2,084","2,689","3,681","7,151","3,064","9,462","1,626","4,094","4,497","1,315","27,511","3,549","7,018",949,"2,132","1,622","2,014","7,964","2,263"
2020년03월_계_60~69세,"91,603","22,014",563,"1,215",891,"1,235",833,918,"1,289","1,503","1,668","3,269","1,191","4,520","2,919","24,183","1,666",768,"1,367","1,958","1,972","2,465","2,115","2,572","2,270","2,281","4,749","25,964","2,151","1,484","1,866","2,394","3,283","2,345","5,133","1,244","2,395","2,871",798,"19,442","2,461","4,335","1,050","1,892","1,577","1,666","4,945","1,516"
2020년03월_계_70~79세,"46,412","11,995",350,837,572,638,612,656,805,969,"1,005","1,815",647,"1,906","1,183","12,296",795,551,814,897,"1,197","1,287",979,"1,315","1,357","1,198","1,906","11,828","1,252",795,944,"1,083","1,359","1,193","1,921",593,991,"1,295",402,"10,293","1,481","2,017",717,"1,241",969,"1,068","2,022",778
2020년03월_계_80~89세,"22,907","6,057",233,540,361,441,460,329,423,447,404,697,288,890,544,"5,918",498,387,414,432,423,573,498,698,574,590,831,"5,701",652,446,543,519,618,446,833,239,457,684,264,"5,231",813,"1,031",476,647,437,472,949,406
2020년03월_계_90~99세,"3,213",915,40,100,45,61,73,35,67,75,54,98,38,143,86,826,59,57,55,64,50,77,70,96,74,84,140,761,93,53,72,78,85,51,108,23,71,106,21,711,126,153,67,60,51,51,138,65
2020년03월_계_100세 이상,189,55,2,8,1,6,4,4,6,4,1,5,2,6,6,52,3,4,9,6,5,6,3,2,6,2,6,38,5,5,5,5,5,2,4,0,3,2,2,44,10,4,8,4,4,3,8,3
2020년03월_남_총인구수,"423,467","90,322","1,191","2,605","2,061","3,598","2,142","2,908","3,621","4,576","5,541","14,993","6,816","24,001","16,269","99,676","5,362","1,786","4,169","7,164","7,564","7,627","13,679","15,652","7,115","6,916","22,642","133,733","10,570","5,554","9,062","8,871","26,283","8,393","25,053","5,319","13,184","14,397","7,047","99,736","10,280","36,513","2,502","6,375","4,543","6,133","24,233","9,157"
2020년03월_남_연령구간인구수,"423,467","90,322","1,191","2,605","2,061","3,598","2,142","2,908","3,621","4,576","5,541","14,993","6,816","24,001","16,269","99,676","5,362","1,786","4,169","7,164","7,564","7,627","13,679","15,652","7,115","6,916","22,642","133,733","10,570","5,554","9,062","8,871","26,283","8,393","25,053","5,319","13,184","14,397","7,047","99,736","10,280","36,513","2,502","6,375","4,543","6,133","24,233","9,157"
2020년03월_남_0~9세,"38,929","7,789",27,55,61,235,62,129,143,250,377,"1,347",835,"2,428","1,840","7,725",320,48,169,740,390,397,"1,278","1,461",343,387,"2,192","12,583","1,135",356,"1,142",539,"3,137",370,"2,278",293,967,"1,120","1,246","10,832",850,"5,294",54,286,190,391,"2,391","1,376"
2020년03월_남_10~19세,"45,705","10,169",31,128,73,225,109,243,218,359,507,"2,013","1,015","3,194","2,054","11,256",402,83,305,702,534,562,"2,215","2,342",566,611,"2,934","14,093","1,074",562,695,835,"3,576",629,"3,411",313,"1,260","1,273",465,"10,187","1,049","3,808",100,380,322,486,"2,896","1,146"
2020년03월_남_20~29세,"64,815","12,559",102,204,193,452,199,447,535,647,731,"2,118",874,"3,612","2,445","15,793",696,119,539,964,"1,761","1,316","2,005","2,546","1,184","1,033","3,630","22,091","1,290",780,"1,086","1,424","4,048","1,948","4,070","1,123","2,410","2,779","1,133","14,372","1,407","4,959",232,"1,137",669,"1,015","3,974",979
2020년03월_남_30~39세,"62,293","10,868",80,185,150,409,160,313,434,522,713,"1,696",796,"3,190","2,220","12,379",625,143,449,977,"1,180",941,"1,632","1,786",796,741,"3,109","21,499","1,715",621,"1,870","1,132","4,378","1,086","3,003",950,"2,392","2,502","1,850","17,547","1,203","8,668",202,887,538,773,"3,717","1,559"
2020년03월_남_40~49세,"69,254","14,612",122,268,234,462,272,420,503,666,878,"2,646","1,235","4,158","2,748","15,885",673,227,616,"1,073","1,022","1,069","2,544","2,757","1,008",913,"3,983","21,955","1,987",849,"1,323","1,317","5,027","1,114","4,127",779,"2,202","2,244",986,"16,802","1,715","6,513",302,928,672,980,"3,902","1,790"
2020년03월_남_50~59세,"68,547","15,883",252,529,507,710,445,492,640,842,958,"2,587","1,099","4,028","2,794","17,281","1,184",372,853,"1,164","1,066","1,376","2,319","2,788","1,308","1,399","3,452","21,333","1,523","1,091","1,387","1,774","3,691","1,466","4,503",867,"2,075","2,261",695,"14,050","1,886","3,837",555,"1,088",821,997,"3,752","1,114"
2020년03월_남_60~69세,"44,908","10,908",316,647,469,649,438,443,598,688,810,"1,523",568,"2,292","1,467","11,696",899,394,711,953,874,"1,176","1,052","1,232","1,062","1,147","2,196","12,792","1,038",751,938,"1,171","1,605","1,094","2,501",636,"1,224","1,416",418,"9,512","1,242","2,164",563,897,719,815,"2,403",709
2020년03월_남_70~79세,"20,660","5,276",169,375,254,286,275,291,358,427,411,809,287,816,518,"5,443",388,261,355,429,551,564,442,500,621,482,850,"5,369",584,392,435,497,593,532,849,266,482,569,170,"4,572",654,939,306,520,439,486,886,342
2020년03월_남_80~89세,"7,654","2,030",83,183,111,149,160,124,169,160,144,232,100,259,156,"2,044",158,129,152,154,173,206,180,227,216,185,264,"1,869",203,144,172,168,212,143,288,86,160,214,79,"1,711",244,306,164,240,164,178,286,129
2020년03월_남_90~99세,653,218,9,31,9,19,21,6,22,15,12,21,7,22,24,158,16,9,15,7,12,18,12,13,10,17,29,142,18,6,12,14,16,11,23,6,12,19,5,135,26,24,21,11,7,10,23,13
2020년03월_남_100세 이상,49,10,0,0,0,2,1,0,1,0,0,1,0,2,3,16,1,1,5,1,1,2,0,0,1,1,3,7,3,2,2,0,0,0,0,0,0,0,0,16,4,1,3,1,2,2,3,0
2020년03월_여_총인구수,"417,289","91,081","1,090","2,512","1,962","3,461","2,002","2,977","3,515","4,732","5,699","15,634","7,040","23,687","16,770","101,099","4,940","1,680","4,021","7,614","7,657","7,654","13,682","16,356","7,034","7,043","23,418","130,111","10,818","5,342","8,591","8,904","25,409","8,072","26,127","4,695","11,716","14,087","6,350","94,998","9,696","32,269","2,213","6,277","4,416","5,700","24,963","9,464"
2020년03월_여_연령구간인구수,"417,289","91,081","1,090","2,512","1,962","3,461","2,002","2,977","3,515","4,732","5,699","15,634","7,040","23,687","16,770","101,099","4,940","1,680","4,021","7,614","7,657","7,654","13,682","16,356","7,034","7,043","23,418","130,111","10,818","5,342","8,591","8,904","25,409","8,072","26,127","4,695","11,716","14,087","6,350","94,998","9,696","32,269","2,213","6,277","4,416","5,700","24,963","9,464"
