,경상북도 칠곡군,경상북도 칠곡군 왜관읍,경상북도 칠곡군 북삼읍,경상북도 칠곡군 석적읍,경상북도 칠곡군 지천면,경상북도 칠곡군 동명면,경상북도 칠곡군 가산면,경상북도 칠곡군 약목면,경상북도 칠곡군 기산면
2021년03월_계_총인구수,"114,381","33,241","24,402","30,859","4,186","5,309","3,474","9,705","3,205"
2021년03월_계_연령구간인구수,"114,381","33,241","24,402","30,859","4,186","5,309","3,474","9,705","3,205"
2021년03월_계_0~9세,"9,311","2,281","1,871","4,354",73,117,85,309,221
2021년03월_계_10~19세,"11,462","3,364","3,139","3,721",108,168,134,659,169
2021년03월_계_20~29세,"11,831","3,807","2,901","2,917",298,406,238,"1,047",217
2021년03월_계_30~39세,"14,467","3,390","2,464","6,815",258,332,218,674,316
2021년03월_계_40~49세,"20,624","5,413","5,169","7,058",358,486,349,"1,373",418
2021년03월_계_50~59세,"19,711","6,272","4,884","3,172",797,"1,092",716,"2,215",563
2021년03월_계_60~69세,"14,157","4,556","2,312","1,649","1,049","1,360",882,"1,737",612
2021년03월_계_70~79세,"7,689","2,468","1,050",754,701,778,526,"1,031",381
2021년03월_계_80~89세,"4,489","1,491",550,375,473,478,269,591,262
2021년03월_계_90~99세,621,188,62,43,69,92,57,67,43
2021년03월_계_100세 이상,19,11,0,1,2,0,0,2,3
2021년03월_남_총인구수,"59,593","16,638","12,720","16,659","2,254","2,710","1,890","5,047","1,675"
2021년03월_남_연령구간인구수,"59,593","16,638","12,720","16,659","2,254","2,710","1,890","5,047","1,675"
2021년03월_남_0~9세,"4,821","1,170",972,"2,264",36,59,42,153,125
2021년03월_남_10~19세,"6,044","1,750","1,652","1,976",60,90,67,355,94
2021년03월_남_20~29세,"6,732","2,178","1,692","1,497",181,254,161,633,136
2021년03월_남_30~39세,"7,876","1,808","1,279","3,730",157,199,132,407,164
2021년03월_남_40~49세,"11,100","2,744","2,560","4,036",248,308,213,741,250
2021년03월_남_50~59세,"10,678","3,184","2,673","1,891",480,555,415,"1,180",300
2021년03월_남_60~69세,"7,361","2,265","1,231",813,591,719,489,919,334
2021년03월_남_70~79세,"3,368","1,010",461,326,319,374,257,450,171
2021년03월_남_80~89세,"1,466",479,184,117,166,142,95,195,88
2021년03월_남_90~99세,145,49,16,9,16,10,19,14,12
2021년03월_남_100세 이상,2,1,0,0,0,0,0,0,1
2021년03월_여_총인구수,"54,788","16,603","11,682","14,200","1,932","2,599","1,584","4,658","1,530"
2021년03월_여_연령구간인구수,"54,788","16,603","11,682","14,200","1,932","2,599","1,584","4,658","1,530"
2021년03월_여_0~9세,"4,490","1,111",899,"2,090",37,58,43,156,96
2021년03월_여_10~19세,"5,418","1,614","1,487","1,745",48,78,67,304,75
2021년03월_여_20~29세,"5,099","1,629","1,209","1,420",117,152,77,414,81
2021년03월_여_30~39세,"6,591","1,582","1,185","3,085",101,133,86,267,152
2021년03월_여_40~49세,"9,524","2,669","2,609","3,022",110,178,136,632,168
2021년03월_여_50~59세,"9,033","3,088","2,211","1,281",317,537,301,"1,035",263
2021년03월_여_60~69세,"6,796","2,291","1,081",836,458,641,393,818,278
2021년03월_여_70~79세,"4,321","1,458",589,428,382,404,269,581,210
2021년03월_여_80~89세,"3,023","1,012",366,258,307,336,174,396,174
2021년03월_여_90~99세,476,139,46,34,53,82,38,53,31
2021년03월_여_100세 이상,17,10,0,1,2,0,0,2,2
