,강원도 평창군,강원도 평창군 평창읍,강원도 평창군 미탄면,강원도 평창군 방림면,강원도 평창군 방림면계촌출장소,강원도 평창군 대화면,강원도 평창군 봉평면,강원도 평창군 용평면,강원도 평창군 진부면,강원도 평창군 대관령면
2020년06월_계_총인구수,"41,739","8,588","1,664",870,"1,629","5,338","5,696","3,132","8,839","5,983"
2020년06월_계_연령구간인구수,"41,739","8,588","1,664",870,"1,629","5,338","5,696","3,132","8,839","5,983"
2020년06월_계_0~9세,"1,950",435,42,27,49,234,285,134,439,305
2020년06월_계_10~19세,"2,988",733,79,46,72,346,441,220,684,367
2020년06월_계_20~29세,"3,396",782,105,48,93,409,424,212,747,576
2020년06월_계_30~39세,"3,243",715,73,40,87,349,502,186,651,640
2020년06월_계_40~49세,"5,409","1,109",190,75,147,659,775,397,"1,154",903
2020년06월_계_50~59세,"8,151","1,608",361,180,369,986,"1,163",672,"1,682","1,130"
2020년06월_계_60~69세,"8,588","1,651",412,235,447,"1,184","1,164",683,"1,754","1,058"
2020년06월_계_70~79세,"5,040",921,261,138,234,707,618,366,"1,126",669
2020년06월_계_80~89세,"2,590",555,115,72,113,402,297,235,504,297
2020년06월_계_90~99세,343,71,26,9,17,57,27,26,79,31
2020년06월_계_100세 이상,41,8,0,0,1,5,0,1,19,7
2020년06월_남_총인구수,"21,339","4,363",878,451,858,"2,700","2,982","1,570","4,435","3,102"
2020년06월_남_연령구간인구수,"21,339","4,363",878,451,858,"2,700","2,982","1,570","4,435","3,102"
2020년06월_남_0~9세,966,219,19,19,22,116,128,63,232,148
2020년06월_남_10~19세,"1,586",372,43,25,33,177,251,119,355,211
2020년06월_남_20~29세,"1,958",448,63,32,57,238,246,116,419,339
2020년06월_남_30~39세,"1,755",376,46,17,47,188,271,91,344,375
2020년06월_남_40~49세,"2,956",587,119,39,80,375,421,218,614,503
2020년06월_남_50~59세,"4,336",864,197,93,199,517,615,360,882,609
2020년06월_남_60~69세,"4,445",854,234,133,258,609,616,351,887,503
2020년06월_남_70~79세,"2,330",439,119,59,119,318,316,163,511,286
2020년06월_남_80~89세,919,189,35,33,41,145,111,80,170,115
2020년06월_남_90~99세,77,13,3,1,2,16,7,8,16,11
2020년06월_남_100세 이상,11,2,0,0,0,1,0,1,5,2
2020년06월_여_총인구수,"20,400","4,225",786,419,771,"2,638","2,714","1,562","4,404","2,881"
2020년06월_여_연령구간인구수,"20,400","4,225",786,419,771,"2,638","2,714","1,562","4,404","2,881"
2020년06월_여_0~9세,984,216,23,8,27,118,157,71,207,157
2020년06월_여_10~19세,"1,402",361,36,21,39,169,190,101,329,156
2020년06월_여_20~29세,"1,438",334,42,16,36,171,178,96,328,237
2020년06월_여_30~39세,"1,488",339,27,23,40,161,231,95,307,265
2020년06월_여_40~49세,"2,453",522,71,36,67,284,354,179,540,400
2020년06월_여_50~59세,"3,815",744,164,87,170,469,548,312,800,521
2020년06월_여_60~69세,"4,143",797,178,102,189,575,548,332,867,555
2020년06월_여_70~79세,"2,710",482,142,79,115,389,302,203,615,383
2020년06월_여_80~89세,"1,671",366,80,39,72,257,186,155,334,182
2020년06월_여_90~99세,266,58,23,8,15,41,20,18,63,20
2020년06월_여_100세 이상,30,6,0,0,1,4,0,0,14,5
