,충청남도 공주시,충청남도 공주시 유구읍,충청남도 공주시 이인면,충청남도 공주시 탄천면,충청남도 공주시 계룡면,충청남도 공주시 반포면,충청남도 공주시 의당면,충청남도 공주시 정안면,충청남도 공주시 우성면,충청남도 공주시 사곡면,충청남도 공주시 신풍면,충청남도 공주시 중학동,충청남도 공주시 웅진동,충청남도 공주시 금학동,충청남도 공주시 옥룡동,충청남도 공주시 신관동,충청남도 공주시 월송동
2020년09월_계_총인구수,"105,192","7,513","3,310","2,986","5,609","4,247","4,726","4,700","5,281","2,978","3,272","4,722","8,306","5,498","8,022","19,506","14,516"
2020년09월_계_연령구간인구수,"105,192","7,513","3,310","2,986","5,609","4,247","4,726","4,700","5,281","2,978","3,272","4,722","8,306","5,498","8,022","19,506","14,516"
2020년09월_계_0~9세,"5,945",268,106,66,179,165,200,125,169,80,85,194,450,380,322,"1,468","1,688"
2020년09월_계_10~19세,"8,351",419,134,133,287,199,372,221,298,157,91,352,725,572,566,"2,091","1,734"
2020년09월_계_20~29세,"11,379",496,218,188,338,349,468,295,386,198,173,577,933,775,883,"3,230","1,872"
2020년09월_계_30~39세,"9,624",489,200,185,310,319,383,284,348,152,189,396,850,529,700,"2,285","2,005"
2020년09월_계_40~49세,"13,477",813,276,234,518,484,598,428,551,266,313,600,"1,167",791,"1,004","3,035","2,399"
2020년09월_계_50~59세,"18,679","1,371",616,506,"1,055",964,977,834,964,539,635,820,"1,416",896,"1,578","3,250","2,258"
2020년09월_계_60~69세,"18,090","1,723",740,641,"1,348",970,835,"1,108","1,090",657,859,798,"1,399",837,"1,449","2,299","1,337"
2020년09월_계_70~79세,"11,485","1,122",559,540,884,496,517,734,824,493,539,598,865,444,968,"1,183",719
2020년09월_계_80~89세,"7,095",715,406,429,603,255,323,571,558,391,334,328,442,240,491,585,424
2020년09월_계_90~99세,"1,006",90,50,61,82,45,52,96,86,41,49,57,53,32,59,76,77
2020년09월_계_100세 이상,61,7,5,3,5,1,1,4,7,4,5,2,6,2,2,4,3
2020년09월_남_총인구수,"52,656","3,780","1,683","1,547","2,851","2,242","2,458","2,433","2,742","1,500","1,463","2,357","4,084","2,760","4,041","9,551","7,164"
2020년09월_남_연령구간인구수,"52,656","3,780","1,683","1,547","2,851","2,242","2,458","2,433","2,742","1,500","1,463","2,357","4,084","2,760","4,041","9,551","7,164"
2020년09월_남_0~9세,"3,097",148,47,34,92,102,94,69,89,45,44,103,237,200,173,765,855
2020년09월_남_10~19세,"4,308",215,87,67,149,114,191,117,143,75,44,190,354,287,295,"1,069",911
2020년09월_남_20~29세,"6,328",309,118,122,186,203,284,191,245,110,106,321,508,386,511,"1,718","1,010"
2020년09월_남_30~39세,"5,128",293,118,110,165,186,206,169,210,97,99,232,481,279,402,"1,134",947
2020년09월_남_40~49세,"7,105",463,176,145,313,259,349,270,338,157,131,312,604,418,553,"1,478","1,139"
2020년09월_남_50~59세,"9,666",671,352,296,607,514,526,436,553,306,276,418,716,467,817,"1,564","1,147"
2020년09월_남_60~69세,"9,019",886,382,342,686,509,437,588,559,335,387,386,641,430,696,"1,075",680
2020년09월_남_70~79세,"5,252",511,262,263,428,235,251,350,393,219,239,260,370,215,411,526,319
2020년09월_남_80~89세,"2,475",259,122,156,204,104,109,214,184,147,119,120,157,73,169,206,132
2020년09월_남_90~99세,265,21,19,12,19,16,11,29,28,8,18,15,15,4,14,13,23
2020년09월_남_100세 이상,13,4,0,0,2,0,0,0,0,1,0,0,1,1,0,3,1
2020년09월_여_총인구수,"52,536","3,733","1,627","1,439","2,758","2,005","2,268","2,267","2,539","1,478","1,809","2,365","4,222","2,738","3,981","9,955","7,352"
2020년09월_여_연령구간인구수,"52,536","3,733","1,627","1,439","2,758","2,005","2,268","2,267","2,539","1,478","1,809","2,365","4,222","2,738","3,981","9,955","7,352"
2020년09월_여_0~9세,"2,848",120,59,32,87,63,106,56,80,35,41,91,213,180,149,703,833
2020년09월_여_10~19세,"4,043",204,47,66,138,85,181,104,155,82,47,162,371,285,271,"1,022",823
2020년09월_여_20~29세,"5,051",187,100,66,152,146,184,104,141,88,67,256,425,389,372,"1,512",862
2020년09월_여_30~39세,"4,496",196,82,75,145,133,177,115,138,55,90,164,369,250,298,"1,151","1,058"
2020년09월_여_40~49세,"6,372",350,100,89,205,225,249,158,213,109,182,288,563,373,451,"1,557","1,260"
2020년09월_여_50~59세,"9,013",700,264,210,448,450,451,398,411,233,359,402,700,429,761,"1,686","1,111"
2020년09월_여_60~69세,"9,071",837,358,299,662,461,398,520,531,322,472,412,758,407,753,"1,224",657
2020년09월_여_70~79세,"6,233",611,297,277,456,261,266,384,431,274,300,338,495,229,557,657,400
2020년09월_여_80~89세,"4,620",456,284,273,399,151,214,357,374,244,215,208,285,167,322,379,292
2020년09월_여_90~99세,741,69,31,49,63,29,41,67,58,33,31,42,38,28,45,63,54
2020년09월_여_100세 이상,48,3,5,3,3,1,1,4,7,3,5,2,5,1,2,1,2
