카테고리,강원도 양양군,강원도 양양군 양양읍,강원도 양양군 서면,강원도 양양군 손양면,강원도 양양군 현북면,강원도 양양군 현남면,강원도 양양군 강현면
2021년05월_계_총인구수,"28,006","12,710","2,828","2,289","2,584","3,029","4,566"
2021년05월_계_연령구간인구수,"28,006","12,710","2,828","2,289","2,584","3,029","4,566"
2021년05월_계_0~9세,"1,322",852,57,60,79,96,178
2021년05월_계_10~19세,"1,817","1,128",162,89,95,119,224
2021년05월_계_20~29세,"2,374","1,258",210,189,151,157,409
2021년05월_계_30~39세,"2,313","1,269",154,143,199,218,330
2021년05월_계_40~49세,"3,492","1,917",300,230,237,316,492
2021년05월_계_50~59세,"4,993","2,180",523,434,466,500,890
2021년05월_계_60~69세,"5,772","2,113",666,506,665,742,"1,080"
2021년05월_계_70~79세,"3,651","1,243",476,373,423,509,627
2021년05월_계_80~89세,"1,930",631,240,234,232,314,279
2021년05월_계_90~99세,329,115,40,29,35,55,55
2021년05월_계_100세 이상,13,4,0,2,2,3,2
2021년05월_남_총인구수,"14,269","6,443","1,463","1,156","1,332","1,567","2,308"
2021년05월_남_연령구간인구수,"14,269","6,443","1,463","1,156","1,332","1,567","2,308"
2021년05월_남_0~9세,674,433,32,28,41,50,90
2021년05월_남_10~19세,974,613,93,39,53,61,115
2021년05월_남_20~29세,"1,403",747,126,109,95,99,227
2021년05월_남_30~39세,"1,263",656,93,78,121,123,192
2021년05월_남_40~49세,"1,896",960,169,142,144,204,277
2021년05월_남_50~59세,"2,673","1,148",299,239,227,287,473
2021년05월_남_60~69세,"2,911","1,042",331,258,353,390,537
2021년05월_남_70~79세,"1,700",587,212,167,197,242,295
2021년05월_남_80~89세,708,231,103,89,92,106,87
2021년05월_남_90~99세,66,25,5,7,9,5,15
2021년05월_남_100세 이상,1,1,0,0,0,0,0
2021년05월_여_총인구수,"13,737","6,267","1,365","1,133","1,252","1,462","2,258"
2021년05월_여_연령구간인구수,"13,737","6,267","1,365","1,133","1,252","1,462","2,258"
2021년05월_여_0~9세,648,419,25,32,38,46,88
2021년05월_여_10~19세,843,515,69,50,42,58,109
2021년05월_여_20~29세,971,511,84,80,56,58,182
2021년05월_여_30~39세,"1,050",613,61,65,78,95,138
2021년05월_여_40~49세,"1,596",957,131,88,93,112,215
2021년05월_여_50~59세,"2,320","1,032",224,195,239,213,417
2021년05월_여_60~69세,"2,861","1,071",335,248,312,352,543
2021년05월_여_70~79세,"1,951",656,264,206,226,267,332
2021년05월_여_80~89세,"1,222",400,137,145,140,208,192
2021년05월_여_90~99세,263,90,35,22,26,50,40
2021년05월_여_100세 이상,12,3,0,2,2,3,2
