카테고리,부산광역시 영도구,부산광역시 영도구 남항동,부산광역시 영도구 영선제1동,부산광역시 영도구 영선제2동,부산광역시 영도구 신선동,부산광역시 영도구 봉래제1동,부산광역시 영도구 봉래제2동,부산광역시 영도구 청학제1동,부산광역시 영도구 청학제2동,부산광역시 영도구 동삼제1동,부산광역시 영도구 동삼제2동,부산광역시 영도구 동삼제3동
2020년02월_계_총인구수,"116,155","10,857","4,204","9,094","9,490","7,402","5,468","7,011","18,846","29,430","3,593","10,760"
2020년02월_계_연령구간인구수,"116,155","10,857","4,204","9,094","9,490","7,402","5,468","7,011","18,846","29,430","3,593","10,760"
2020년02월_계_0~9세,"5,673",408,210,439,255,386,166,406,"1,115","1,677",193,418
2020년02월_계_10~19세,"7,864",554,267,628,529,446,301,477,"1,477","2,399",207,579
2020년02월_계_20~29세,"12,388","1,074",465,911,837,742,521,640,"2,048","3,530",608,"1,012"
2020년02월_계_30~39세,"11,428","1,053",408,852,717,813,451,724,"1,995","3,051",347,"1,017"
2020년02월_계_40~49세,"15,915","1,430",538,"1,163","1,205",998,730,"1,064","2,779","4,228",468,"1,312"
2020년02월_계_50~59세,"20,462","2,009",753,"1,616","1,772","1,233",979,"1,125","3,291","5,266",484,"1,934"
2020년02월_계_60~69세,"21,589","2,146",808,"1,692","1,870","1,416","1,059","1,243","3,315","5,047",661,"2,332"
2020년02월_계_70~79세,"14,427","1,487",525,"1,222","1,573",877,906,924,"1,983","2,971",445,"1,514"
2020년02월_계_80~89세,"5,553",605,196,480,634,410,315,340,733,"1,117",151,572
2020년02월_계_90~99세,728,83,25,78,85,53,32,56,96,129,27,64
2020년02월_계_100세 이상,128,8,9,13,13,28,8,12,14,15,2,6
2020년02월_남_총인구수,"57,304","5,432","2,030","4,439","4,765","3,640","2,727","3,422","9,345","14,384","1,879","5,241"
2020년02월_남_연령구간인구수,"57,304","5,432","2,030","4,439","4,765","3,640","2,727","3,422","9,345","14,384","1,879","5,241"
2020년02월_남_0~9세,"2,858",207,113,221,138,187,80,214,554,836,102,206
2020년02월_남_10~19세,"4,087",287,141,348,280,230,154,240,787,"1,213",107,300
2020년02월_남_20~29세,"6,740",564,243,488,445,394,298,326,"1,097","1,945",373,567
2020년02월_남_30~39세,"6,163",569,222,454,422,441,275,375,"1,081","1,580",192,552
2020년02월_남_40~49세,"8,376",803,265,581,701,551,407,567,"1,411","2,099",270,721
2020년02월_남_50~59세,"10,369","1,101",373,800,983,634,519,569,"1,660","2,521",254,955
2020년02월_남_60~69세,"10,329","1,042",362,812,900,661,476,597,"1,557","2,444",324,"1,154"
2020년02월_남_70~79세,"6,242",629,231,523,641,388,378,406,920,"1,327",192,607
2020년02월_남_80~89세,"1,969",220,71,190,238,135,126,113,256,394,53,173
2020년02월_남_90~99세,137,8,5,19,11,15,10,12,16,25,11,5
2020년02월_남_100세 이상,34,2,4,3,6,4,4,3,6,0,1,1
2020년02월_여_총인구수,"58,851","5,425","2,174","4,655","4,725","3,762","2,741","3,589","9,501","15,046","1,714","5,519"
2020년02월_여_연령구간인구수,"58,851","5,425","2,174","4,655","4,725","3,762","2,741","3,589","9,501","15,046","1,714","5,519"
2020년02월_여_0~9세,"2,815",201,97,218,117,199,86,192,561,841,91,212
2020년02월_여_10~19세,"3,777",267,126,280,249,216,147,237,690,"1,186",100,279
2020년02월_여_20~29세,"5,648",510,222,423,392,348,223,314,951,"1,585",235,445
2020년02월_여_30~39세,"5,265",484,186,398,295,372,176,349,914,"1,471",155,465
2020년02월_여_40~49세,"7,539",627,273,582,504,447,323,497,"1,368","2,129",198,591
2020년02월_여_50~59세,"10,093",908,380,816,789,599,460,556,"1,631","2,745",230,979
2020년02월_여_60~69세,"11,260","1,104",446,880,970,755,583,646,"1,758","2,603",337,"1,178"
2020년02월_여_70~79세,"8,185",858,294,699,932,489,528,518,"1,063","1,644",253,907
2020년02월_여_80~89세,"3,584",385,125,290,396,275,189,227,477,723,98,399
2020년02월_여_90~99세,591,75,20,59,74,38,22,44,80,104,16,59
2020년02월_여_100세 이상,94,6,5,10,7,24,4,9,8,15,1,5
