,경상북도 봉화군,경상북도 봉화군 봉화읍,경상북도 봉화군 물야면,경상북도 봉화군 봉성면,경상북도 봉화군 법전면,경상북도 봉화군 춘양면,경상북도 봉화군 소천면,경상북도 봉화군 재산면,경상북도 봉화군 명호면,경상북도 봉화군 상운면,경상북도 봉화군 석포면
2021년08월_계_총인구수,"30,969","9,761","3,098","2,075","2,035","4,342","2,197","1,506","2,235","1,704","2,016"
2021년08월_계_연령구간인구수,"30,969","9,761","3,098","2,075","2,035","4,342","2,197","1,506","2,235","1,704","2,016"
2021년08월_계_0~9세,"1,268",563,90,51,65,166,51,28,56,23,175
2021년08월_계_10~19세,"1,833",904,126,85,88,215,85,65,100,35,130
2021년08월_계_20~29세,"1,865",817,119,117,103,246,92,62,100,82,127
2021년08월_계_30~39세,"1,807",730,144,105,98,222,97,53,89,56,213
2021년08월_계_40~49세,"3,076","1,231",229,175,135,382,171,115,205,121,312
2021년08월_계_50~59세,"5,559","1,717",567,342,359,825,423,329,411,266,320
2021년08월_계_60~69세,"7,075","1,734",841,530,495,"1,024",617,414,576,456,388
2021년08월_계_70~79세,"4,655","1,143",546,359,341,679,368,237,400,374,208
2021년08월_계_80~89세,"3,302",790,369,271,308,497,254,179,254,257,123
2021년08월_계_90~99세,503,128,63,38,40,84,35,23,40,32,20
2021년08월_계_100세 이상,26,4,4,2,3,2,4,1,4,2,0
2021년08월_남_총인구수,"15,627","4,816","1,559","1,007","1,036","2,163","1,110",763,"1,175",873,"1,125"
2021년08월_남_연령구간인구수,"15,627","4,816","1,559","1,007","1,036","2,163","1,110",763,"1,175",873,"1,125"
2021년08월_남_0~9세,654,291,44,27,36,93,25,12,32,7,87
2021년08월_남_10~19세,968,449,76,44,45,114,48,44,58,24,66
2021년08월_남_20~29세,"1,122",467,79,72,67,143,57,35,70,53,79
2021년08월_남_30~39세,988,368,80,62,52,122,49,29,50,38,138
2021년08월_남_40~49세,"1,787",647,136,110,82,220,106,62,131,82,211
2021년08월_남_50~59세,"3,021",915,286,180,209,438,230,178,235,149,201
2021년08월_남_60~69세,"3,695",869,453,262,275,524,338,224,310,230,210
2021년08월_남_70~79세,"2,108",505,249,161,145,307,168,109,190,183,91
2021년08월_남_80~89세,"1,162",284,137,81,114,180,79,63,93,97,34
2021년08월_남_90~99세,121,21,19,7,11,22,10,7,6,10,8
2021년08월_남_100세 이상,1,0,0,1,0,0,0,0,0,0,0
2021년08월_여_총인구수,"15,342","4,945","1,539","1,068",999,"2,179","1,087",743,"1,060",831,891
2021년08월_여_연령구간인구수,"15,342","4,945","1,539","1,068",999,"2,179","1,087",743,"1,060",831,891
2021년08월_여_0~9세,614,272,46,24,29,73,26,16,24,16,88
2021년08월_여_10~19세,865,455,50,41,43,101,37,21,42,11,64
2021년08월_여_20~29세,743,350,40,45,36,103,35,27,30,29,48
2021년08월_여_30~39세,819,362,64,43,46,100,48,24,39,18,75
2021년08월_여_40~49세,"1,289",584,93,65,53,162,65,53,74,39,101
2021년08월_여_50~59세,"2,538",802,281,162,150,387,193,151,176,117,119
2021년08월_여_60~69세,"3,380",865,388,268,220,500,279,190,266,226,178
2021년08월_여_70~79세,"2,547",638,297,198,196,372,200,128,210,191,117
2021년08월_여_80~89세,"2,140",506,232,190,194,317,175,116,161,160,89
2021년08월_여_90~99세,382,107,44,31,29,62,25,16,34,22,12
2021년08월_여_100세 이상,25,4,4,1,3,2,4,1,4,2,0
